model_selection_rank,source_notebook,model_family,model_group,model,recommended_threshold_label,threshold,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,roc_auc,pr_auc_average_precision,brier_score,true_positives,false_positives,false_negatives,true_negatives,threshold_selection_note,clinical_tradeoff_note
18,WP3.5,PyTorch MLP - wide_regularised,pytorch_mlp_wide_regularised,PyTorch MLP - wide_regularised,balanced precision-recall threshold,0.6,0.5195752440201652,0.5197982616160532,0.8816707175314382,0.5196867288917498,0.7007344895737457,0.7913032143976816,0.5805126404245702,0.1765139549970626,4844,4479,4475,33373,Usable balanced precision-recall threshold selected.,recall-leaning or balanced threshold
19,WP3.5,PyTorch MLP - current_reference,pytorch_mlp_current_reference,PyTorch MLP - current_reference,balanced precision-recall threshold,0.62,0.5159426492617163,0.5174374932932718,0.8804818767832612,0.5166889900884007,0.6989596850382664,0.7887248300027611,0.580068701473473,0.1793198436498642,4822,4524,4497,33328,Usable balanced precision-recall threshold selected.,recall-leaning or balanced threshold
20,WP3.3,Regularised Random Forest,regularised_random_forest,Regularised Random Forest balanced precision-recall threshold,balanced precision-recall threshold,0.53,0.5384,0.4858,0.8975,0.5107,0.6916,0.789,0.5798,0.1521,4527,3881,4792,33971,Usable balanced precision-recall threshold selected.,precision-leaning threshold
21,WP3.4,Calibrated Targeted CatBoost,calibrated_targeted_catboost,Calibrated Targeted CatBoost balanced precision-recall threshold,balanced precision-recall threshold,0.25,0.5292,0.5099,0.8883,0.5194,0.6991,0.79,0.5785,0.1211,4752,4228,4567,33624,Usable balanced precision-recall threshold selected.,precision-leaning threshold
22,WP3.5,PyTorch MLP - small_regularised,pytorch_mlp_small_regularised,PyTorch MLP - small_regularised,balanced precision-recall threshold,0.62,0.5209112920977328,0.5078871123511106,0.8849994716263342,0.5143167617495246,0.6964432919887225,0.7901581066485192,0.578025138590698,0.1741457283496856,4733,4353,4586,33499,Usable balanced precision-recall threshold selected.,precision-leaning threshold
23,WP3.5,Processed-feature TabTransformer,tabtransformer_style,Processed-feature TabTransformer - tabtransformer_screen_08_d32_h4_l1_drop0p2_wd0p0005,balanced precision-recall threshold,0.61,0.520392749244713,0.5175448009443073,0.8825689527633943,0.5189648679184377,0.7000568768538509,0.7879345615423327,0.5722086460601895,0.1767484694719314,4823,4445,4496,33407,Usable balanced precision-recall threshold selected.,precision-leaning threshold
24,WP3.2,Tuned logistic regression,tuned_logistic_regression,Tuned logistic regression balanced precision-recall threshold,balanced precision-recall threshold,0.61,0.5102,0.5006,0.8817,0.5054,0.6911,0.7799,0.5528,0.1802,4665,4478,4654,33374,Usable balanced precision-recall threshold selected.,precision-leaning threshold
25,WP3.2,Calibrated tuned logistic regression,calibrated_tuned_logistic_regression,Calibrated tuned logistic regression,closest usable precision-recall threshold,0.5,0.7313,0.2774,0.9749,0.4022,0.6261,0.7797,0.5528,0.1235,2585,950,6734,36902,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,precision-leaning threshold
26,WP3.2,Logistic regression,logistic_regression,Logistic regression balanced precision-recall threshold,balanced precision-recall threshold,0.61,0.5112,0.5082,0.8803,0.5097,0.6943,0.7799,0.5527,0.1803,4736,4529,4583,33323,Usable balanced precision-recall threshold selected.,precision-leaning threshold
27,WP3.5,Sequence-subset Tabular MLP,sequence_subset_tabular_mlp,Sequence-subset Tabular MLP,balanced precision-recall threshold,0.7,0.4048042704626334,0.4044444444444444,0.8916949975716367,0.4046242774566474,0.6480697210080406,0.7729044304139011,0.4431808178302385,0.1831737458705902,455,669,670,5508,Usable balanced precision-recall threshold selected.,precision-leaning threshold
28,WP3.5,Hybrid Tabular + Hourly Clinical LSTM,hybrid_tabular_hourly_clinical_lstm,Hybrid Tabular + Hourly Clinical LSTM,balanced precision-recall threshold,0.63,0.4042553191489361,0.4053333333333333,0.8912093249150073,0.4047936085219707,0.6482713291241703,0.7627300559422949,0.4349040962534598,0.1869153976440429,456,672,669,5505,Usable balanced precision-recall threshold selected.,recall-leaning or balanced threshold
29,WP3.5,Hybrid Tabular + Hourly Clinical GRU,hybrid_tabular_hourly_clinical_gru,Hybrid Tabular + Hourly Clinical GRU,balanced precision-recall threshold,0.66,0.3919156414762741,0.3964444444444444,0.8879715072041444,0.3941670349094123,0.6422079758242945,0.7627240120159013,0.4323421513553908,0.1700544208288192,446,692,679,5485,Usable balanced precision-recall threshold selected.,recall-leaning or balanced threshold
30,WP3.2,Reference baseline,reference_baseline,Reference baseline,reference threshold,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.1976,0.1585,0,0,9319,37852,Recommended threshold selected from saved model outputs.,recall-leaning or balanced threshold
31,WP3.5,Hourly Clinical GRU,hourly_clinical_gru,Hourly Clinical GRU,closest usable precision-recall threshold,0.5,0.1752772518258047,0.576,0.5063946899789542,0.2687681459975114,0.5411973449894771,0.5500150018887271,0.171979929731826,0.2372464835643768,648,3049,477,3128,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,recall-leaning or balanced threshold
32,WP3.5,Hourly Clinical LSTM,hourly_clinical_lstm,Hourly Clinical LSTM,closest usable precision-recall threshold,0.5,0.1743519781718963,0.568,0.5101181803464465,0.2668058455114822,0.5390590901732233,0.5516173618980807,0.1711627050275798,0.2432122379541397,639,3026,486,3151,Fallback: closest usable precision-recall balance because the saved balanced row was degenerate or unavailable.,recall-leaning or balanced threshold
