csv_path,sheet_name,rows,columns,rows_written,note
/scratch/DissProject/outputs/WP3_6/csv_tables/final_model_comparison.csv,6_final_model_comparison,100.0,32.0,100,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/high_risk_strata.csv,6_high_risk_strata,96.0,13.0,96,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/recommended_model_comparison.csv,6_recommended_model_comparison,32.0,36.0,32,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/subgroup_performance.csv,wp3_6_subgroup_performance,60.0,19.0,60,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_all_model_performance_rows.csv,all_model_performance_rows,92.0,26.0,92,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_best_model_high_risk_strata.csv,model_high_risk_strata,8.0,10.0,8,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_best_model_selection_summary.csv,best_model_selection_summary,1.0,14.0,1,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_best_model_subgroup_performance.csv,best_model_subgroup_performance,60.0,19.0,60,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_borderline_threshold_error_analysis.csv,borderline_threshold_error_anal,3.0,10.0,3,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_class_imbalance_summary.csv,6_class_imbalance_summary,1.0,9.0,1,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_distinguishing_families.csv,6_cluster_distinguishing_famili,32.0,8.0,32,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_error_profile.csv,6_cluster_error_profile,4.0,11.0,4,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_family_centres.csv,6_cluster_family_centres,2.0,9.0,2,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_family_exploratory_tests.csv,cluster_family_exploratory_test,8.0,6.0,8,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_feature_family_map.csv,cluster_feature_family_map,8.0,2.0,8,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_fixed_k_family_centres.csv,fixed_k_family_centres,35.0,10.0,35,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_fixed_k_interpretation.csv,cluster_fixed_k_interpretation,35.0,14.0,35,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_fixed_k_pca_coordinates.csv,fixed_k_pca_coordinates,330197.0,8.0,200000,truncated_for_excel
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_fixed_k_performance_profiles.csv,fixed_k_performance_profiles,35.0,20.0,35,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_fixed_k_selection.csv,cluster_fixed_k_selection,7.0,6.0,7,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_interpretation_summary.csv,6_cluster_interpretation_summar,4.0,21.0,4,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_k_selection.csv,6_cluster_k_selection,7.0,5.0,7,complete
/scratch/DissProject/outputs/WP3_6/csv_tables/t3_6_cluster_outcome_exploratory_tests.csv,cluster_outcome_exploratory_tes,2.0,7.0,2,complete
