source_csv_file,archive_sheet_name,archive_status,archive_note,rows_estimated,rows_written_to_excel,columns,file_size_mb
t3_6_probability_calibration_summary.csv,t3_6_probability_calibration_su,written,,31,31,6.0,0.004
t3_6_probability_ensemble_performance.csv,t3_6_probability_ensemble_perfo,written,,8,8,25.0,0.006
t3_6_probability_ensemble_predictions.csv,t3_6_probability_ensemble_predi,written,,377368,377368,12.0,115.645
t3_6_probability_ensemble_thresholds.csv,t3_6_probability_ensemble_thres,written,,792,792,23.0,0.417
t3_6_psychiatric_outcome_window_error_reclassification.csv,t3_6_psychiatric_outcome_window,written,,12,12,14.0,0.002
t3_6_psychiatric_outcome_window_score_transfer.csv,t3_6_psychiatric_outcome_wind_2,written,,15,15,21.0,0.007
t3_6_readmission_timing_error_mix.csv,t3_6_readmission_timing_error_m,written,,20,20,6.0,0.002
t3_6_recommended_model_performance_comparison.csv,t3_6_recommended_model_performa,written,,32,32,36.0,0.017
t3_6_reduced_feature_metric_changes_vs_primary.csv,t3_6_reduced_feature_metric_cha,written,,8,8,15.0,0.002
t3_6_reduced_feature_model_performance_comparison.csv,t3_6_reduced_feature_model_perf,written,,8,8,26.0,0.004
t3_6_reduced_feature_performance_comparison.csv,t3_6_reduced_feature_performanc,written,,12,12,27.0,0.006
t3_6_reduced_feature_removed_features.csv,t3_6_reduced_feature_removed_fe,written,,645,645,2.0,0.041
t3_6_reduced_feature_set_summary.csv,t3_6_reduced_feature_set_summar,written,,14,14,2.0,0.0
t3_6_reproducibility_audit_table.csv,t3_6_reproducibility_audit_tabl,written,,19,19,2.0,0.0
t3_6_risk_strata_error_mix.csv,t3_6_risk_strata_error_mix,written,,4,4,9.0,0.001
t3_6_subgroup_error_burden.csv,t3_6_subgroup_error_burden,error,No columns to parse from file,0,0,,0.0
t3_6_subgroup_performance_with_confidence_intervals.csv,t3_6_subgroup_performance_with_,written,,60,60,27.0,0.025
t3_6_subgroup_specific_model_performance.csv,t3_6_subgroup_specific_model_pe,written,,18,18,28.0,0.009
t3_6_subgroup_specific_model_thresholds.csv,t3_6_subgroup_specific_model_th,written,,891,891,18.0,0.261
t3_6_threshold_tradeoff_summary.csv,t3_6_threshold_tradeoff_summary,written,,1041,1041,14.0,0.173
t3_6_top_n_shap_feature_names.csv,t3_6_top_n_shap_feature_names,written,,2889,2889,3.0,0.12
t3_6_top_n_shap_feature_sensitivity.csv,t3_6_top_n_shap_feature_sensiti,written,,13,13,22.0,0.005
