subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value
discharge_pathway,discharged_home_flag,false_negative,14459,4331,1340,0.309397367813438,0.3065230756184944,1.0093770825871557,0.6794417131666505
demographics,race_WHITE - RUSSIAN,false_negative,500,4331,46,0.010621103671207574,0.010599732886731255,1.002016162549065,1.0
care_process,quiet_risk_summary_score_any,false_negative,47171,4331,4331,1.0,1.0,1.0,
demographics,age_40_to_64,false_negative,21361,4331,1961,0.45278226737474025,0.4528417883869327,0.9998685611316825,1.0
demographics,language_English,false_negative,43738,4331,4015,0.9270376356499653,0.9272222339997032,0.9998009125073053,0.9853332707766138
discharge_pathway,home_discharge_with_psych_risk,false_negative,2307,4331,211,0.048718540752713,0.04890716753937801,0.9961431668167425,0.9813060117716994
diagnosis,has_bipolar_disorder,false_negative,3801,4331,346,0.07988917109212652,0.080579169404931,0.9914370138349645,0.8841031782423737
discharge_pathway,home_discharge_without_followup_order_flag,false_negative,8116,4331,738,0.17039944585546063,0.17205486421742172,0.990378543672737,0.7781245523278826
demographics,language_Chinese,false_negative,308,4331,28,0.0064650196259524355,0.0065294354582264525,0.9901345479733842,1.0
demographics,insurance_grouped_Medicaid,false_negative,11809,4331,1053,0.24313091664742553,0.25034449131881875,0.9711854068232458,0.25784878469823336
demographics,race_BLACK/AFRICAN AMERICAN,false_negative,6481,4331,572,0.13207111521588547,0.13739373767781052,0.9612600795939721,0.29624197909802436
demographics,gender_M,false_negative,23471,4331,2065,0.4767951974139921,0.49757266116893856,0.9582423525719153,0.004320758507694966
demographics,marital_status_SINGLE,false_negative,22190,4331,1938,0.44747171553913645,0.47041614551313304,0.9512252498285988,0.0015856703994859523
diagnosis,depression_and_substance_use_flag,false_negative,5254,4331,454,0.10482567536365735,0.11138199317377202,0.9411366449522423,0.15742208610196412
diagnosis,has_severe_mental_illness,false_negative,6453,4331,554,0.12791503117063033,0.13680015263615358,0.9350503541530765,0.07801069172973679
care_process,orders_last_24h_before_discharge_high,false_negative,4765,4331,407,0.09397367813438005,0.10101545441054885,0.9302901093970287,0.11246042773503225
prior_utilisation,previous_psych_admissions_90d_any,false_negative,13509,4331,1151,0.2657584853382591,0.28638358313370504,0.9279808654890087,0.001730366607487797
demographics,language_Spanish,false_negative,1361,4331,115,0.02655275917801893,0.028852472917682476,0.9202940508349235,0.36752908155301245
diagnosis,has_substance_use,false_negative,19942,4331,1684,0.38882475178942505,0.42275974645438935,0.9197298348540252,2.270813602937592e-06
