subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value
demographics,race_WHITE - RUSSIAN,true_negative,500,33354,391,0.011722731906218144,0.010599732886731255,1.105945973496432,0.0002612012400713698
demographics,language_Kabuverdianu,true_negative,294,33354,228,0.006835761827666847,0.006232642937397978,1.096767759091404,0.011678018145584421
demographics,insurance_grouped_Other / unknown,true_negative,2243,33354,1708,0.05120825088445164,0.04755040172987641,1.0769257255775606,7.636670118168582e-09
discharge_pathway,home_discharge_with_psych_risk,true_negative,2307,33354,1753,0.052557414403070095,0.04890716753937801,1.0746362352870478,1.2870992178302722e-08
discharge_pathway,discharged_home_flag,true_negative,14459,33354,10977,0.32910595430832884,0.3065230756184944,1.0736743184644983,2.7391649694487376e-61
demographics,race_OTHER,true_negative,1419,33354,1077,0.03228998021226839,0.0300820419325433,1.0733972209957099,1.4760520211002934e-05
demographics,language_Chinese,true_negative,308,33354,233,0.0069856688852911195,0.0065294354582264525,1.0698733343768423,0.06450088571259818
demographics,insurance_grouped_Private,true_negative,11924,33354,8942,0.26809378185524974,0.25278242988276695,1.0605712666801397,1.5642191665995484e-32
demographics,marital_status_MARRIED,true_negative,14808,33354,11094,0.3326137794567368,0.3139216891734328,1.059543800023888,5.2250710754210055e-42
care_process,num_care_team_touchpoints_high,true_negative,5029,33354,3760,0.11273010733345326,0.10661211337474295,1.0573855424590026,2.505267750200164e-11
care_process,care_team_touchpoints_last_12h_before_discharge_high,true_negative,4750,33354,3550,0.10643401091323379,0.10069746242394692,1.0569681534290845,1.40004803390229e-10
care_process,orders_last_12h_before_discharge_any,true_negative,43122,33354,32070,0.9615038676020867,0.9141633630832503,1.0517856068516773,0.0
care_process,care_team_touchpoints_last_12h_before_discharge_any,true_negative,43117,33354,32065,0.9613539605444624,0.914057365754383,1.0517435738303416,0.0
care_process,late_order_type_diversity_last_12h_any,true_negative,43044,33354,32010,0.9597049829105955,0.9125098047529202,1.0517201874564561,0.0
discharge_pathway,protective_aftercare_present_flag,true_negative,34278,33354,25295,0.7583798045211969,0.7266752877827479,1.0436295512885634,3.17799120556029e-127
demographics,gender_F,true_negative,23700,33354,17314,0.5190981591413324,0.5024273388310615,1.0331805596985564,2.563809327193143e-29
care_process,late_order_type_diversity_last_12h_high,true_negative,9714,33354,7095,0.2127181147688433,0.2059316105234148,1.0329551360676454,1.5982403040463743e-08
care_process,orders_last_24h_before_discharge_any,true_negative,44410,33354,32407,0.9716076032859627,0.9414682749994701,1.0320131108894877,0.0
care_process,late_medication_change_intensity_score_high,true_negative,5054,33354,3677,0.11024165017689033,0.10714210001907952,1.02892933923508,0.0007645460324935715
care_process,num_total_poe_orders_any,true_negative,44816,33354,32509,0.9746657072614979,0.9500752581034958,1.0258826329264574,0.0
care_process,num_care_team_touchpoints_any,true_negative,44925,33354,32585,0.9769442945373868,0.9523859998728033,1.0257860727350712,0.0
care_process,orders_last_12h_before_discharge_high,true_negative,4729,33354,3430,0.10283624153025124,0.1002522736427042,1.0257746562113517,0.0038966946734616086
demographics,insurance_grouped_Medicare,true_negative,21195,33354,15365,0.46066438807939075,0.44932267706853785,1.0252417952391102,1.5433138167217825e-14
care_process,late_medication_change_intensity_score_any,true_negative,29135,33354,21104,0.6327277088205313,0.6176464353098302,1.0244173246189558,1.293155048573256e-25
demographics,race_WHITE - OTHER EUROPEAN,true_negative,1262,33354,910,0.027283084487617678,0.026753725806109685,1.0197863536968412,0.28207932402839175
care_process,num_total_poe_orders_high,true_negative,4742,33354,3415,0.10238652035737843,0.10052786669775922,1.0184889396410581,0.0385511950708358
demographics,language_Spanish,true_negative,1361,33354,976,0.02926185764825808,0.028852472917682476,1.014188895757518,0.4265776193833001
demographics,race_WHITE,true_negative,30368,33354,21541,0.6458295856568927,0.6437853766085094,1.0031752958713545,0.15274448179703903
care_process,quiet_risk_summary_score_any,true_negative,47171,33354,33354,1.0,1.0,1.0,
medical_complexity,medical_complexity_no_aftercare_flag,true_negative,4284,33354,3023,0.09063380703963543,0.09081851137351339,0.9979662259259203,0.842027518382649
discharge_pathway,discharged_to_facility_flag,true_negative,16552,33354,11665,0.3497331654374288,0.35089355748235146,0.9966930369048425,0.418013456299972
demographics,language_English,true_negative,43738,33354,30721,0.9210589434550579,0.9272222339997032,0.9933529521633028,1.3857787930440417e-15
diagnosis,has_anxiety_ptsd,true_negative,15048,33354,10385,0.3113569586856149,0.31900956095906385,0.9760113701594325,3.210522165193319e-08
demographics,gender_M,true_negative,23471,33354,16040,0.4809018408586676,0.49757266116893856,0.9664957068358488,2.563809327193143e-29
demographics,age_under_40,true_negative,11027,33354,7513,0.22525034478623254,0.2337665090839711,0.9635697845208465,1.2171624831800939e-11
demographics,race_HISPANIC/LATINO - PUERTO RICAN,true_negative,1226,33354,828,0.0248246087425796,0.025990545038265037,0.9551399828680442,0.014646117046994013
diagnosis,has_substance_use,true_negative,19942,33354,13461,0.40357978053606763,0.42275974645438935,0.9546315227994607,3.6850264874896867e-39
diagnosis,has_depression,true_negative,19231,33354,12968,0.3887989446543143,0.4076869262894575,0.9536703769064874,2.0614301396149936e-38
demographics,marital_status_DIVORCED,true_negative,4289,33354,2890,0.08664627930682976,0.0909245087023807,0.9529474565592135,5.619805411023405e-07
discharge_pathway,had_substance_use_followup_order,true_negative,307,33354,206,0.006176170774120046,0.00650823599245299,0.9489776924625951,0.18331596456720897
demographics,marital_status_SINGLE,true_negative,22190,33354,14520,0.4353300953408886,0.47041614551313304,0.9254148682886462,2.79424807139362e-124
demographics,age_40_to_64,true_negative,21361,33354,13899,0.41671163878395395,0.4528417883869327,0.9202146300771449,2.2421028324016655e-132
demographics,race_HISPANIC OR LATINO,true_negative,550,33354,357,0.010703363914373088,0.011659706175404379,0.9179788712816236,0.0030854050722745724
medical_complexity,charlson_3plus,true_negative,11644,33354,7517,0.22537027043233196,0.24684657946619745,0.9129973399659508,2.61088748409998e-63
diagnosis,new_psychosis_this_admission_flag,true_negative,1452,33354,937,0.028092582598788753,0.03078162430306756,0.9126413317957743,1.7493319159777492e-07
demographics,race_BLACK/AFRICAN AMERICAN,true_negative,6481,33354,4102,0.12298375007495353,0.13739373767781052,0.8951190363810574,3.2966692634126215e-45
prior_utilisation,previous_total_admissions_any,true_negative,29723,33354,18752,0.5622114289140733,0.6301117211846261,0.8922408677894477,0.0
demographics,insurance_grouped_Medicaid,true_negative,11809,33354,7339,0.22003357918090782,0.25034449131881875,0.8789231910866799,3.970202572508262e-123
medical_complexity,charlson_5plus,true_negative,2707,33354,1671,0.05009893865803202,0.05738695384876301,0.873002229567059,4.957838800504188e-26
prior_utilisation,previous_nonpsych_admissions_365d_any,true_negative,7621,33354,4681,0.14034298734784434,0.16156112865955777,0.8686680299416305,3.5274073211040885e-84
prior_utilisation,previous_nonpsych_admissions_365d_high,true_negative,7621,33354,4681,0.14034298734784434,0.16156112865955777,0.8686680299416305,3.5274073211040885e-84
diagnosis,has_bipolar_disorder,true_negative,3801,33354,2315,0.06940696768003837,0.080579169404931,0.8613512424191239,1.6292681926536731e-43
diagnosis,new_self_harm_this_admission_flag,true_negative,2147,33354,1286,0.038556095220963,0.04551525301562401,0.8471027329613627,2.5221946834686635e-29
diagnosis,has_severe_mental_illness,true_negative,6453,33354,3854,0.11554836001678959,0.13680015263615358,0.8446508120799598,1.3943997355678358e-96
diagnosis,depression_and_substance_use_flag,true_negative,5254,33354,3075,0.09219284043892786,0.11138199317377202,0.8277176391976906,5.501642071420595e-94
diagnosis,has_psychotic_disorder,true_negative,3064,33354,1781,0.05339689392576603,0.06495516312988912,0.8220577295601532,2.847074119957978e-56
diagnosis,psychosis_and_substance_use_flag,true_negative,1077,33354,615,0.018438568087785573,0.02283182463801912,0.8075818897575983,4.5425641525550694e-23
discharge_pathway,home_discharge_without_discharge_planning_order_flag,true_negative,309,33354,175,0.005246747016849553,0.006550634923999915,0.8009524386142728,6.987809239474893e-08
diagnosis,has_self_harm_or_suicidal_ideation,true_negative,3648,33354,2021,0.060592432691731125,0.07733565114159123,0.7834993537559345,4.031448327622764e-99
prior_utilisation,previous_icu_admissions_any,true_negative,9509,33354,5139,0.15407447382622774,0.201585720039855,0.7643124413562928,0.0
prior_utilisation,previous_icu_admissions_high,true_negative,9509,33354,5139,0.15407447382622774,0.201585720039855,0.7643124413562928,0.0
diagnosis,has_personality_disorder,true_negative,904,33354,487,0.014600947412604185,0.01916431705921011,0.7618819584070265,4.323612847795562e-29
prior_utilisation,previous_ed_visits_365d_any,true_negative,19619,33354,10557,0.3165137614678899,0.41591231900956094,0.7610107876141411,0.0
diagnosis,self_harm_and_substance_use_flag,true_negative,1867,33354,998,0.02992144870180488,0.03957940259905451,0.75598535442573,1.55625809686693e-62
discharge_pathway,low_aftercare_quality_flag,true_negative,5719,33354,2992,0.08970438328236494,0.12123974475843209,0.7398925448177017,6.362648639732029e-233
prior_utilisation,previous_psych_admissions_365d_any,true_negative,19427,33354,10038,0.30095340888649036,0.41184202158105615,0.7307496397068326,0.0
discharge_pathway,discharged_against_advice,true_negative,527,33354,237,0.007105594531390538,0.011172118462614742,0.6360113845165524,1.1082125759612004e-38
care_process,quiet_risk_summary_score_high,true_negative,5811,33354,2538,0.07609282245008095,0.12319009560959064,0.617686203371669,0.0
prior_utilisation,previous_psych_admissions_90d_any,true_negative,13509,33354,5887,0.17650056964681898,0.28638358313370504,0.6163082664009252,0.0
discharge_pathway,discharged_to_psych_facility_flag,true_negative,571,33354,238,0.007135575942915392,0.012104894956647093,0.5894785513191978,9.17909940048874e-53
prior_utilisation,previous_total_admissions_high,true_negative,5064,33354,1465,0.04392276788391197,0.10735409467681414,0.409139195073462,0.0
prior_utilisation,previous_psych_admissions_365d_high,true_negative,6826,33354,1391,0.04170414343107273,0.14470755336965507,0.2881960371794802,0.0
prior_utilisation,previous_psych_admissions_90d_high,true_negative,5289,33354,933,0.027972656952689332,0.11212397447584321,0.2494797128219528,0.0
prior_utilisation,previous_ed_visits_365d_high,true_negative,4734,33354,801,0.024015110631408525,0.10035827097157152,0.2392937861415656,0.0
discharge_pathway,discharged_to_psych_facility_flag,true_positive,571,4988,274,0.054931836407377706,0.012104894956647093,4.537985385590917,3.4102718004016024e-187
prior_utilisation,previous_ed_visits_365d_high,true_positive,4734,4988,1962,0.3933440256615878,0.10035827097157152,3.919398190638521,0.0
prior_utilisation,previous_psych_admissions_90d_high,true_positive,5289,4988,2180,0.4370489174017642,0.11212397447584321,3.8979078243067913,0.0
care_process,quiet_risk_summary_score_high,true_positive,5811,4988,2187,0.4384522854851644,0.12319009560959064,3.5591520837412993,0.0
prior_utilisation,previous_psych_admissions_365d_high,true_positive,6826,4988,2560,0.5132317562149158,0.14470755336965507,3.5466825626155574,0.0
prior_utilisation,previous_total_admissions_high,true_positive,5064,4988,1684,0.3376102646351243,0.10735409467681414,3.1448289480851987,0.0
diagnosis,new_self_harm_this_admission_flag,true_positive,2147,4988,633,0.12690457097032878,0.04551525301562401,2.788176766297801,1.6166970460172874e-186
discharge_pathway,low_aftercare_quality_flag,true_positive,5719,4988,1652,0.33119486768243783,0.12123974475843209,2.731735111636348,0.0
diagnosis,has_self_harm_or_suicidal_ideation,true_positive,3648,4988,1035,0.20749799518845227,0.07733565114159123,2.683083314428312,1.5817079422016516e-289
diagnosis,self_harm_and_substance_use_flag,true_positive,1867,4988,509,0.1020449077786688,0.03957940259905451,2.5782326431856375,3.9254989021949945e-126
diagnosis,has_psychotic_disorder,true_positive,3064,4988,712,0.14274258219727345,0.06495516312988912,2.197555595570361,1.4873386949999216e-122
prior_utilisation,previous_psych_admissions_90d_any,true_positive,13509,4988,3136,0.6287089013632718,0.28638358313370504,2.195338484433111,0.0
diagnosis,psychosis_and_substance_use_flag,true_positive,1077,4988,239,0.04791499599037691,0.02283182463801912,2.0986056414689593,8.289672083216692e-36
diagnosis,new_psychosis_this_admission_flag,true_positive,1452,4988,309,0.06194867682437851,0.03078162430306756,2.0125213736107157,3.875362378181701e-41
diagnosis,has_personality_disorder,true_positive,904,4988,178,0.035685645549318364,0.01916431705921011,1.8620880378394873,3.713390488219784e-19
diagnosis,has_severe_mental_illness,true_positive,6453,4988,1250,0.25060144346431434,0.13680015263615358,1.831879852728215,8.06382820237074e-135
discharge_pathway,discharged_against_advice,true_positive,527,4988,102,0.02044907778668805,0.011172118462614742,1.8303670745272524,7.000023318663019e-11
prior_utilisation,previous_psych_admissions_365d_any,true_positive,19427,4988,3607,0.7231355252606255,0.41184202158105615,1.755856584241981,0.0
prior_utilisation,previous_ed_visits_365d_any,true_positive,19619,4988,3474,0.6964715316760225,0.41591231900956094,1.6745633631015677,0.0
prior_utilisation,previous_icu_admissions_any,true_positive,9509,4988,1665,0.3338011226944667,0.201585720039855,1.6558768281229035,1.4411215261231611e-133
prior_utilisation,previous_icu_admissions_high,true_positive,9509,4988,1665,0.3338011226944667,0.201585720039855,1.6558768281229035,1.4411215261231611e-133
diagnosis,depression_and_substance_use_flag,true_positive,5254,4988,910,0.18243785084202085,0.11138199317377202,1.63794744234278,1.1546742599612084e-63
diagnosis,has_bipolar_disorder,true_positive,3801,4988,634,0.12710505212510023,0.080579169404931,1.577393426412287,3.6085358992673153e-37
demographics,race_BLACK/AFRICAN AMERICAN,true_positive,6481,4988,1037,0.2078989574979952,0.13739373767781052,1.513161815173265,1.1440332196215779e-52
demographics,insurance_grouped_Medicaid,true_positive,11809,4988,1773,0.3554530874097835,0.25034449131881875,1.419855837599026,3.005321326279729e-73
demographics,race_HISPANIC OR LATINO,true_positive,550,4988,82,0.01643945469125902,0.011659706175404379,1.4099373040752352,0.001131407137816774
discharge_pathway,home_discharge_without_discharge_planning_order_flag,true_positive,309,4988,46,0.009222133119486768,0.006550634923999915,1.4078227876353084,0.017290480152734163
demographics,age_under_40,true_positive,11027,4988,1579,0.3165597433841219,0.2337665090839711,1.3541706407157355,3.1359835800104084e-48
demographics,marital_status_SINGLE,true_positive,22190,4988,3089,0.6192862870890137,0.47041614551313304,1.316464779102112,8.886833930935711e-110
prior_utilisation,previous_total_admissions_any,true_positive,29723,4988,3961,0.7941058540497193,0.6301117211846261,1.2602619937886255,8.067505191148746e-142
demographics,age_40_to_64,true_positive,21361,4988,2835,0.568364073777065,0.4528417883869327,1.2551051787902219,3.456997887896815e-67
medical_complexity,medical_complexity_no_aftercare_flag,true_positive,4284,4988,558,0.11186848436246993,0.09081851137351339,1.2317806432917995,5.180485032030644e-08
prior_utilisation,previous_nonpsych_admissions_365d_any,true_positive,7621,4988,991,0.19867682437850842,0.16156112865955777,1.2297315946409424,5.857496375584193e-14
prior_utilisation,previous_nonpsych_admissions_365d_high,true_positive,7621,4988,991,0.19867682437850842,0.16156112865955777,1.2297315946409424,5.857496375584193e-14
diagnosis,has_substance_use,true_positive,19942,4988,2464,0.49398556535685645,0.42275974645438935,1.1684782420744295,5.7317518424119255e-27
diagnosis,has_depression,true_positive,19231,4988,2344,0.4699278267842823,0.4076869262894575,1.1526683748760533,3.5785698411322504e-21
demographics,marital_status_DIVORCED,true_positive,4289,4988,513,0.1028468323977546,0.0909245087023807,1.1311233226939805,0.0021331400796399187
demographics,gender_M,true_positive,23471,4988,2790,0.5593424218123496,0.49757266116893856,1.1241421916113647,3.2113159119995326e-20
demographics,insurance_grouped_Other / unknown,true_positive,2243,4988,263,0.05272654370489174,0.04755040172987641,1.1088559041923534,0.07485672758157302
demographics,race_HISPANIC/LATINO - PUERTO RICAN,true_positive,1226,4988,143,0.028668805132317562,0.025990545038265037,1.1030474770771221,0.22623229951161597
diagnosis,has_anxiety_ptsd,true_positive,15048,4988,1706,0.34202085004009625,0.31900956095906385,1.072133540486535,0.00024144151958613533
medical_complexity,charlson_5plus,true_positive,2707,4988,302,0.06054530874097835,0.05738695384876301,1.0550361132695567,0.32609878891913724
medical_complexity,charlson_3plus,true_positive,11644,4988,1291,0.2588211708099439,0.24684657946619745,1.0485102583541621,0.03970794767083636
demographics,language_English,true_positive,43738,4988,4751,0.952485966319166,0.9272222339997032,1.027246685199172,4.670674497378421e-13
care_process,quiet_risk_summary_score_any,true_positive,47171,4988,4988,1.0,1.0,1.0,
demographics,race_WHITE,true_positive,30368,4988,2938,0.5890136327185245,0.6437853766085094,0.914922354747284,1.5094902126450515e-17
demographics,language_Spanish,true_positive,1361,4988,131,0.026263031275060144,0.028852472917682476,0.9102523499455268,0.2667403247055559
demographics,race_WHITE - OTHER EUROPEAN,true_positive,1262,4988,121,0.02425821972734563,0.026753725806109685,0.9067230449751352,0.2675947282176354
demographics,race_OTHER,true_positive,1419,4988,134,0.0268644747393745,0.0300820419325433,0.8930402663361765,0.1728851536120461
demographics,insurance_grouped_Private,true_positive,11924,4988,1117,0.22393744987971131,0.25278242988276695,0.8858900912676839,7.827547047621314e-07
demographics,gender_F,true_positive,23700,4988,2198,0.44065757818765033,0.5024273388310615,0.8770573257674958,3.2113159119995326e-20
care_process,num_total_poe_orders_any,true_positive,44816,4988,3971,0.7961106655974338,0.9500752581034958,0.8379448457447463,0.0
care_process,num_care_team_touchpoints_any,true_positive,44925,4988,3978,0.797514033680834,0.9523859998728033,0.8373852973346381,0.0
discharge_pathway,had_substance_use_followup_order,true_positive,307,4988,27,0.00541299117882919,0.00650823599245299,0.8317140289789959,0.3554074344232705
demographics,insurance_grouped_Medicare,true_positive,21195,4988,1835,0.3678829190056135,0.44932267706853785,0.8187499491584711,2.664520961200799e-34
discharge_pathway,discharged_to_facility_flag,true_positive,16552,4988,1413,0.2832798716920609,0.35089355748235146,0.8073099823336277,4.321673589273332e-26
care_process,orders_last_24h_before_discharge_any,true_positive,44410,4988,3748,0.7514033680834001,0.9414682749994701,0.7981186281437078,0.0
care_process,late_medication_change_intensity_score_any,true_positive,29135,4988,2329,0.4669206094627105,0.6176464353098302,0.7559674641827876,1.4952304341989011e-118
care_process,late_medication_change_intensity_score_high,true_positive,5054,4988,401,0.08039294306335204,0.10714210001907952,0.7503394375230271,1.2357231375636442e-10
demographics,race_WHITE - RUSSIAN,true_positive,500,4988,39,0.007818765036086608,0.010599732886731255,0.7376379310344827,0.05058071582094279
care_process,orders_last_12h_before_discharge_high,true_positive,4729,4988,356,0.07137129109863673,0.1002522736427042,0.711916932208457,8.250623239727791e-13
demographics,marital_status_MARRIED,true_positive,14808,4988,1107,0.22193263833199678,0.3139216891734328,0.7069681579388587,1.7617074678621375e-49
care_process,num_total_poe_orders_high,true_positive,4742,4988,347,0.06956696070569367,0.10052786669775922,0.6920166814526099,1.7912481981247894e-14
demographics,language_Chinese,true_positive,308,4988,22,0.004410585404971933,0.0065294354582264525,0.6754926108374384,0.06122856485428975
care_process,late_order_type_diversity_last_12h_high,true_positive,9714,4988,687,0.13773055332798717,0.2059316105234148,0.6688169581052588,2.8082025275901543e-36
care_process,care_team_touchpoints_last_12h_before_discharge_any,true_positive,43117,4988,2989,0.5992381716118684,0.914057365754383,0.6555804854953602,0.0
care_process,orders_last_12h_before_discharge_any,true_positive,43122,4988,2989,0.5992381716118684,0.9141633630832503,0.655504470875735,0.0
care_process,late_order_type_diversity_last_12h_any,true_positive,43044,4988,2981,0.5976343223736968,0.9125098047529202,0.6549346859188192,0.0
discharge_pathway,protective_aftercare_present_flag,true_positive,34278,4988,2323,0.4657177225340818,0.7266752877827479,0.6408883449925658,0.0
discharge_pathway,discharged_home_flag,true_positive,14459,4988,967,0.19386527666399359,0.3065230756184944,0.6324655208186764,2.8218637894559762e-74
discharge_pathway,home_discharge_with_psych_risk,true_positive,2307,4988,149,0.02987169206094627,0.04890716753937801,0.6107835224130457,5.490192540215854e-11
care_process,num_care_team_touchpoints_high,true_positive,5029,4988,311,0.062349639133921414,0.10661211337474295,0.5848269690964818,1.16974926830661e-26
care_process,care_team_touchpoints_last_12h_before_discharge_high,true_positive,4750,4988,291,0.058340016038492384,0.10069746242394692,0.5793593466424682,9.863653235952399e-26
care_process,orders_last_24h_before_discharge_high,true_positive,4765,4988,269,0.05392943063352045,0.10101545441054885,0.5338730687122336,2.4416595951403205e-31
medical_complexity,had_icu_stay,true_positive,8070,4988,446,0.08941459502806737,0.17107968879184243,0.5226488057086699,7.410401710402846e-59
discharge_pathway,home_discharge_without_followup_order_flag,true_positive,8116,4988,432,0.08660785886126704,0.17205486421742172,0.5033734980710729,5.4900746436612e-64
demographics,marital_status_WIDOWED,true_positive,4495,4988,233,0.0467121090617482,0.09529159865171398,0.4902017567412067,6.15028783138872e-35
demographics,language_Kabuverdianu,true_positive,294,4988,14,0.0028067361668003207,0.006232642937397978,0.4503284072249589,0.0015996796391245026
medical_complexity,age_65plus_x_charlson,true_positive,11407,4988,476,0.0954290296712109,0.24182230607788685,0.39462459530294464,1.2914729654426232e-143
diagnosis,has_cognitive_delirium,true_positive,6322,4988,246,0.049318364073777064,0.13402302261982998,0.367984269491322,8.565047537929523e-77
demographics,age_65plus,true_positive,14783,4988,574,0.11507618283881316,0.31339170252909626,0.3671960103287327,1.749376026446222e-223
medical_complexity,vital_instability_near_discharge_score,true_positive,1529,4988,53,0.010625501202886928,0.03241398316762418,0.32780609368304725,5.891765415684461e-20
prior_utilisation,low_psych_history_but_prior_admissions,true_positive,10296,4988,354,0.07097032878909383,0.21826969960356998,0.3251497066152239,4.659909491789467e-156
demographics,language_Russian,true_positive,569,4988,19,0.003809141940657578,0.012062496025100167,0.3157838918853403,2.4341312485762215e-08
demographics,marital_status_Unknown,true_positive,1389,4988,46,0.009222133119486768,0.029446057959339425,0.3131873588043991,6.094761223976756e-19
demographics,age_70plus,true_positive,11090,4988,367,0.0735765838011227,0.23510207542769923,0.3129559093311775,8.666204439530243e-178
demographics,race_UNKNOWN,true_positive,1278,4988,32,0.006415396952686447,0.027092917258485085,0.23679240192110518,2.9137698887801816e-21
demographics,age_80plus,true_positive,5476,4988,131,0.026263031275060144,0.1160882745754807,0.22623328127754969,3.5741440982011064e-97
