subgroup_family,subgroup_name,metric,bootstrap_iterations_used,bootstrap_mean,ci_lower_2_5,ci_upper_97_5
care_process,care_team_touchpoints_last_12h_before_discharge_any,readmission_rate,50,0.16705986037989654,0.163734721803465,0.17017417723867617
care_process,care_team_touchpoints_last_12h_before_discharge_any,roc_auc,50,0.7587503511384438,0.752255293790933,0.7641605813938023
care_process,care_team_touchpoints_last_12h_before_discharge_any,pr_auc_average_precision,50,0.4251816048976878,0.4131440561550914,0.43603844466574687
care_process,care_team_touchpoints_last_12h_before_discharge_any,precision,50,0.43726139355299215,0.42688536391953824,0.4486665737426459
care_process,care_team_touchpoints_last_12h_before_discharge_any,recall_sensitivity,50,0.41575705934467116,0.4071651417204678,0.42466391974283735
care_process,care_team_touchpoints_last_12h_before_discharge_any,specificity,50,0.8926845487445965,0.8903960836818778,0.8953403536826634
care_process,care_team_touchpoints_last_12h_before_discharge_any,f1_score,50,0.4262256844298312,0.41684877662066255,0.4363290171351308
care_process,late_medication_change_intensity_score_any,readmission_rate,50,0.17813900806590013,0.17483010125278875,0.18257422344259483
care_process,late_medication_change_intensity_score_any,roc_auc,50,0.7658192647444919,0.7597770196150506,0.7715319949148703
care_process,late_medication_change_intensity_score_any,pr_auc_average_precision,50,0.4679431681841512,0.4558770162585811,0.47809471060482445
care_process,late_medication_change_intensity_score_any,precision,50,0.4515102874469437,0.43880384655374205,0.46128723096492646
care_process,late_medication_change_intensity_score_any,recall_sensitivity,50,0.4476983134285505,0.4357796049504097,0.45542946942043155
care_process,late_medication_change_intensity_score_any,specificity,50,0.8821142805622135,0.8786790840561505,0.8861888185091643
care_process,late_medication_change_intensity_score_any,f1_score,50,0.4495782280764352,0.4388683493892146,0.45860998590170726
care_process,late_order_type_diversity_last_12h_any,readmission_rate,50,0.16685438156305174,0.16380157513242263,0.16988720843787752
care_process,late_order_type_diversity_last_12h_any,roc_auc,50,0.7584236872586313,0.753022166904346,0.7641449143957711
care_process,late_order_type_diversity_last_12h_any,pr_auc_average_precision,50,0.4241845871705559,0.41377445749874636,0.4340531696043958
care_process,late_order_type_diversity_last_12h_any,precision,50,0.43672720102609314,0.42603387121355296,0.44468119429699887
care_process,late_order_type_diversity_last_12h_any,recall_sensitivity,50,0.4148209633074268,0.4055317656295329,0.4262103401540683
care_process,late_order_type_diversity_last_12h_any,specificity,50,0.8928540061660359,0.889165528178101,0.8951104706260542
care_process,late_order_type_diversity_last_12h_any,f1_score,50,0.42547551097400826,0.41757101468218377,0.4340778223232305
care_process,num_care_team_touchpoints_any,readmission_rate,50,0.18325297718419586,0.1794735670562048,0.1866972732331664
care_process,num_care_team_touchpoints_any,roc_auc,50,0.7824346818136421,0.776700257371023,0.7866649289083945
care_process,num_care_team_touchpoints_any,pr_auc_average_precision,50,0.534188160601392,0.5251167596394168,0.5430979585979907
care_process,num_care_team_touchpoints_any,precision,50,0.49106981919290993,0.4827586206896552,0.5018305919130537
care_process,num_care_team_touchpoints_any,recall_sensitivity,50,0.4806468838122198,0.47035934392599943,0.48984471572502564
care_process,num_care_team_touchpoints_any,specificity,50,0.8882344422002173,0.8841940614782041,0.8913119472583282
care_process,num_care_team_touchpoints_any,f1_score,50,0.4857867756746408,0.4774451432256969,0.4935641920738373
care_process,num_total_poe_orders_any,readmission_rate,50,0.1838820956801143,0.180441694930382,0.18800930471260263
care_process,num_total_poe_orders_any,roc_auc,50,0.7838205045578891,0.7780152951113302,0.7900898044664578
care_process,num_total_poe_orders_any,pr_auc_average_precision,50,0.5377389947932247,0.527454254267094,0.5497148331303147
care_process,num_total_poe_orders_any,precision,50,0.4942387184764943,0.48277237052575117,0.5068206879689452
care_process,num_total_poe_orders_any,recall_sensitivity,50,0.4832744974460102,0.4716282212322209,0.4977283655293748
care_process,num_total_poe_orders_any,specificity,50,0.8885794320420511,0.8858724759065603,0.8917873525668989
care_process,num_total_poe_orders_any,f1_score,50,0.48867588380261345,0.47796638303477623,0.49904900720743955
care_process,orders_last_12h_before_discharge_any,readmission_rate,50,0.1675223783683503,0.16442767033068967,0.17055853160799592
care_process,orders_last_12h_before_discharge_any,roc_auc,50,0.7579717927653382,0.7523611909234785,0.7640016894210111
care_process,orders_last_12h_before_discharge_any,pr_auc_average_precision,50,0.425487594826933,0.4132824350289366,0.43632669023956366
care_process,orders_last_12h_before_discharge_any,precision,50,0.4375134693162939,0.4279996880540427,0.4487806107351847
care_process,orders_last_12h_before_discharge_any,recall_sensitivity,50,0.4140644106609511,0.4010257682829974,0.42531995024421054
care_process,orders_last_12h_before_discharge_any,specificity,50,0.8928756635144244,0.8887542105007474,0.8958147184755441
care_process,orders_last_12h_before_discharge_any,f1_score,50,0.4254446059486224,0.4143391742598051,0.4357418556209644
care_process,orders_last_24h_before_discharge_any,readmission_rate,50,0.18028417023192975,0.17715041657284394,0.1829762440891691
care_process,orders_last_24h_before_discharge_any,roc_auc,50,0.7790303865061873,0.7736942745620076,0.7830189945730315
care_process,orders_last_24h_before_discharge_any,pr_auc_average_precision,50,0.5180892821795647,0.5071591136816223,0.5268689334255962
care_process,orders_last_24h_before_discharge_any,precision,50,0.48365604414051594,0.47102495213390155,0.4962432295687482
care_process,orders_last_24h_before_discharge_any,recall_sensitivity,50,0.46932118190549404,0.4552022074992019,0.47850480065391887
care_process,orders_last_24h_before_discharge_any,specificity,50,0.8897994774231056,0.8862177444089023,0.8933229609836806
care_process,orders_last_24h_before_discharge_any,f1_score,50,0.4763579680370167,0.46634279011805696,0.4860347903657449
care_process,quiet_risk_summary_score_any,readmission_rate,50,0.19732589938733544,0.19508702380700005,0.1996724682538
care_process,quiet_risk_summary_score_any,roc_auc,50,0.8016120683976827,0.795633778433047,0.8064074245139093
care_process,quiet_risk_summary_score_any,pr_auc_average_precision,50,0.5964017664729169,0.5868907541256576,0.6071344234666305
care_process,quiet_risk_summary_score_any,precision,50,0.5258923631946316,0.5157828769561773,0.5361804563898426
care_process,quiet_risk_summary_score_any,recall_sensitivity,50,0.5354444909446489,0.5242167624918181,0.5448585866953164
care_process,quiet_risk_summary_score_any,specificity,50,0.8813315366004147,0.8784935521187134,0.8839372113665684
care_process,quiet_risk_summary_score_any,f1_score,50,0.5306165099628146,0.5214694439092746,0.5400671951459552
demographics,age_40_to_64,readmission_rate,50,0.22474228734609802,0.22038762230232667,0.22959248162539206
demographics,age_40_to_64,roc_auc,50,0.797187865846017,0.7885108136902322,0.8051875465640062
demographics,age_40_to_64,pr_auc_average_precision,50,0.6115051932355082,0.598774141072125,0.6234744054660863
demographics,age_40_to_64,precision,50,0.517452052958593,0.503644351191358,0.5299814512332116
demographics,age_40_to_64,recall_sensitivity,50,0.5924580133809841,0.5788269323747077,0.6031326383622563
demographics,age_40_to_64,specificity,50,0.8398299446746281,0.8334975030737819,0.8446889238905428
demographics,age_40_to_64,f1_score,50,0.5523974752353814,0.5407183189826386,0.5626310285373932
demographics,age_65plus,readmission_rate,50,0.1454427382804573,0.14064465940607454,0.14973449232226205
demographics,age_65plus,roc_auc,50,0.7358002788318132,0.7229607753657676,0.7447483794309159
demographics,age_65plus,pr_auc_average_precision,50,0.3919674965864575,0.37324261302760486,0.41287756539196485
demographics,age_65plus,precision,50,0.45474464452400665,0.42878283701486375,0.47806940047241564
demographics,age_65plus,recall_sensitivity,50,0.266116752535267,0.24555348326820972,0.28238094415186615
demographics,age_65plus,specificity,50,0.9456923660158766,0.9421460269956066,0.9495635696821516
demographics,age_65plus,f1_score,50,0.33570503080934744,0.31278231879798685,0.3514329661056444
demographics,gender_F,readmission_rate,50,0.18882362869198313,0.1837331223628692,0.19259915611814346
demographics,gender_F,roc_auc,50,0.797873024831821,0.7904261715403773,0.8040245447089589
demographics,gender_F,pr_auc_average_precision,50,0.5815331483269426,0.5705008655069764,0.5912211217012593
demographics,gender_F,precision,50,0.5342127228422925,0.5231075684010222,0.5489236237836788
demographics,gender_F,recall_sensitivity,50,0.49315466261248053,0.47417163140094354,0.5030430939559211
demographics,gender_F,specificity,50,0.8999054106343451,0.8958592369990314,0.9043140403463379
demographics,gender_F,f1_score,50,0.5128301416784974,0.49767579063695483,0.5204003237989938
demographics,gender_M,readmission_rate,50,0.20747390396659707,0.20354266967747434,0.21147053811086022
demographics,gender_M,roc_auc,50,0.8042679216347934,0.7987506516020781,0.8105607007842066
demographics,gender_M,pr_auc_average_precision,50,0.611383509502829,0.6003081198494802,0.6236300244021346
demographics,gender_M,precision,50,0.5210133288218733,0.5079390321645779,0.5323175290547967
demographics,gender_M,recall_sensitivity,50,0.5738718982493699,0.5614357558873183,0.5846917269301283
demographics,gender_M,specificity,50,0.8618764926559002,0.8554238990094097,0.866335413838577
demographics,gender_M,f1_score,50,0.5461363091522853,0.5365050107924217,0.5558851785035533
demographics,insurance_grouped_Medicaid,readmission_rate,50,0.23974934372089085,0.23197137776272336,0.24659793377932085
demographics,insurance_grouped_Medicaid,roc_auc,50,0.8030043615163437,0.7946656739341136,0.8109756865341773
demographics,insurance_grouped_Medicaid,pr_auc_average_precision,50,0.640320130240006,0.6280522804068548,0.654566259666155
demographics,insurance_grouped_Medicaid,precision,50,0.5189447969036005,0.5055495619829228,0.5363790721957973
demographics,insurance_grouped_Medicaid,recall_sensitivity,50,0.6267132484885992,0.6098843431175515,0.6416881791886847
demographics,insurance_grouped_Medicaid,specificity,50,0.8167875825571059,0.811503708411411,0.8254151555168997
demographics,insurance_grouped_Medicaid,f1_score,50,0.567717984694588,0.5573028500333592,0.5812799340147824
demographics,insurance_grouped_Medicare,readmission_rate,50,0.1876480301958009,0.1831788157584336,0.19230714791224346
demographics,insurance_grouped_Medicare,roc_auc,50,0.7698525027536967,0.7613715736902779,0.7771611213918973
demographics,insurance_grouped_Medicare,pr_auc_average_precision,50,0.5296391423076908,0.5151562542613172,0.5449998333905953
demographics,insurance_grouped_Medicare,precision,50,0.4967673125348776,0.4806078703805467,0.5133618997056967
demographics,insurance_grouped_Medicare,recall_sensitivity,50,0.4635528510840321,0.4515210575892158,0.480028654157577
demographics,insurance_grouped_Medicare,specificity,50,0.8915209674856167,0.8866217099035423,0.896290799584884
demographics,insurance_grouped_Medicare,f1_score,50,0.47955715126567144,0.46835105657601483,0.49231516728193103
demographics,insurance_grouped_Private,readmission_rate,50,0.1763518953371352,0.1701148943307615,0.18431524656155654
demographics,insurance_grouped_Private,roc_auc,50,0.8255473410416869,0.8164430944015428,0.8333480219360879
demographics,insurance_grouped_Private,pr_auc_average_precision,50,0.6190056223630226,0.6010235699906731,0.6343202531584805
demographics,insurance_grouped_Private,precision,50,0.5598669344787869,0.5423521315877812,0.5790162392837399
demographics,insurance_grouped_Private,recall_sensitivity,50,0.5310670367094987,0.5142965690378785,0.5449936452703535
demographics,insurance_grouped_Private,specificity,50,0.910605400398327,0.9057334669572852,0.9168643786074503
demographics,insurance_grouped_Private,f1_score,50,0.5450231542672317,0.5316822649453515,0.5571361119316104
demographics,language_English,readmission_rate,50,0.2005903333485756,0.19807661530019663,0.20293794869449908
demographics,language_English,roc_auc,50,0.8019344147037036,0.7984498826533398,0.8072595155755717
demographics,language_English,pr_auc_average_precision,50,0.6015904398226344,0.5924717029605908,0.6114665453397311
demographics,language_English,precision,50,0.528193246909352,0.5186342428966724,0.5363090747928727
demographics,language_English,recall_sensitivity,50,0.5416797952314043,0.5321993490465686,0.5506227126474605
demographics,language_English,specificity,50,0.8785904456564343,0.8755216020177196,0.8818976673604729
demographics,language_English,f1_score,50,0.534844243433459,0.5249134062499357,0.5428802710272806
demographics,marital_status_MARRIED,readmission_rate,50,0.17451512695840088,0.16893571042679634,0.17977444624527283
demographics,marital_status_MARRIED,roc_auc,50,0.7729880629618684,0.763620548414128,0.782400922426692
demographics,marital_status_MARRIED,pr_auc_average_precision,50,0.5164479934843694,0.5012705421066598,0.5330358033531957
demographics,marital_status_MARRIED,precision,50,0.4970105732520404,0.4767481534045733,0.5112279190004309
demographics,marital_status_MARRIED,recall_sensitivity,50,0.4289259379591014,0.41468304181958837,0.4447798317892214
demographics,marital_status_MARRIED,specificity,50,0.9082250044009623,0.9030818725252229,0.9129779531402539
demographics,marital_status_MARRIED,f1_score,50,0.46041579805450733,0.44475667254345147,0.4768507374873945
demographics,marital_status_SINGLE,readmission_rate,50,0.2257539432176656,0.22178684091933304,0.22971270842721947
demographics,marital_status_SINGLE,roc_auc,50,0.8167492242403138,0.810396799834363,0.8239512885187671
demographics,marital_status_SINGLE,pr_auc_average_precision,50,0.6524992312573404,0.6416933404697707,0.6659020695281277
demographics,marital_status_SINGLE,precision,50,0.5372575677223679,0.5238850643996402,0.5509043138818064
demographics,marital_status_SINGLE,recall_sensitivity,50,0.6147435789162123,0.6028556771276992,0.6275743674862071
demographics,marital_status_SINGLE,specificity,50,0.8456145814510806,0.8409274303109462,0.8515997880933003
demographics,marital_status_SINGLE,f1_score,50,0.5733738938516713,0.5611407706038856,0.5859601917353648
demographics,race_WHITE,readmission_rate,50,0.19570205479452057,0.19134615384615383,0.19930930584826134
demographics,race_WHITE,roc_auc,50,0.7810622282087363,0.7746139301665025,0.7884806850592359
demographics,race_WHITE,pr_auc_average_precision,50,0.5555721503280409,0.5462469822002152,0.568224792767423
demographics,race_WHITE,precision,50,0.5035544160568368,0.49405802801028376,0.5146954161851276
demographics,race_WHITE,recall_sensitivity,50,0.49558253940403135,0.48550477315011,0.5070805691328328
demographics,race_WHITE,specificity,50,0.8811120277524996,0.87724481808703,0.8844713496998392
demographics,race_WHITE,f1_score,50,0.4995156263278663,0.49084507947110284,0.5095333393235728
diagnosis,has_anxiety_ptsd,readmission_rate,50,0.20953216374269007,0.2045604066985646,0.21568314726209464
diagnosis,has_anxiety_ptsd,roc_auc,50,0.8000696998104404,0.7909690012813877,0.8082781417453185
diagnosis,has_anxiety_ptsd,pr_auc_average_precision,50,0.5961584467625827,0.5805824637347551,0.6104178041959646
diagnosis,has_anxiety_ptsd,precision,50,0.52855891771214,0.5139917898216613,0.5494523091071827
diagnosis,has_anxiety_ptsd,recall_sensitivity,50,0.5404645235482831,0.5278513059117923,0.5573332157060685
diagnosis,has_anxiety_ptsd,specificity,50,0.872205701271674,0.8660236769523436,0.8795512324494953
diagnosis,has_anxiety_ptsd,f1_score,50,0.5344002832660082,0.5228580022446316,0.5464534055282604
diagnosis,has_depression,readmission_rate,50,0.21831834017991789,0.21346003847953826,0.2232827206073527
diagnosis,has_depression,roc_auc,50,0.7993549548948904,0.7923096537438771,0.8051698552728117
diagnosis,has_depression,pr_auc_average_precision,50,0.6168022668775669,0.6043585405489683,0.6282298806288027
diagnosis,has_depression,precision,50,0.5320549212727247,0.5167781340983261,0.5469200667685475
diagnosis,has_depression,recall_sensitivity,50,0.5605416875678899,0.5478646785270695,0.5767866233031673
diagnosis,has_depression,specificity,50,0.8622961086494374,0.8565873401611838,0.867348386178374
diagnosis,has_depression,f1_score,50,0.545895995632472,0.5349780981920008,0.5577702721325513
diagnosis,has_substance_use,readmission_rate,50,0.20831009928793506,0.2026840336977234,0.2134953866212015
diagnosis,has_substance_use,roc_auc,50,0.8087707695861502,0.8016304749450283,0.8146230230242573
diagnosis,has_substance_use,pr_auc_average_precision,50,0.611649513231019,0.5982103201617172,0.6232750718559777
diagnosis,has_substance_use,precision,50,0.5132164409694081,0.4995254830566386,0.5259496471204577
diagnosis,has_substance_use,recall_sensitivity,50,0.5929478029616864,0.5797155348108516,0.6045552443324985
diagnosis,has_substance_use,specificity,50,0.8520220448517404,0.8474720631815977,0.857666628115004
diagnosis,has_substance_use,f1_score,50,0.5501870703139623,0.5379186589612759,0.5607611790738375
discharge_pathway,discharged_home_flag,readmission_rate,50,0.15900684694653847,0.1547600110657722,0.16298845010028357
discharge_pathway,discharged_home_flag,roc_auc,50,0.7630540260423099,0.7537610411219355,0.7726780854449784
discharge_pathway,discharged_home_flag,pr_auc_average_precision,50,0.42692064039649774,0.40490723439390386,0.44733899223822965
discharge_pathway,discharged_home_flag,precision,50,0.4482975879043744,0.42957185328155634,0.4689118272508091
discharge_pathway,discharged_home_flag,recall_sensitivity,50,0.41734201854244823,0.39515413742788347,0.43525593737222296
discharge_pathway,discharged_home_flag,specificity,50,0.9028944817363102,0.8983300116106677,0.9069621855093509
discharge_pathway,discharged_home_flag,f1_score,50,0.4322254242406627,0.4123115168172912,0.4471042744518354
discharge_pathway,discharged_to_facility_flag,readmission_rate,50,0.19932938617689705,0.19271387143547608,0.20511720637989367
discharge_pathway,discharged_to_facility_flag,roc_auc,50,0.7392246574174344,0.7318825585469497,0.7464629159464798
discharge_pathway,discharged_to_facility_flag,pr_auc_average_precision,50,0.4959723742416292,0.481165237646111,0.5091799355072121
discharge_pathway,discharged_to_facility_flag,precision,50,0.46997074862615973,0.45354284868563055,0.48265754490265006
discharge_pathway,discharged_to_facility_flag,recall_sensitivity,50,0.4301597066088205,0.4143630282677317,0.44597062355284567
discharge_pathway,discharged_to_facility_flag,specificity,50,0.8792307749659507,0.8747222274883109,0.884191937201829
discharge_pathway,discharged_to_facility_flag,f1_score,50,0.4491474387587735,0.43379438290743044,0.4610824644332376
discharge_pathway,protective_aftercare_present_flag,readmission_rate,50,0.17251589941070072,0.1694388529085711,0.1759043701499504
discharge_pathway,protective_aftercare_present_flag,roc_auc,50,0.7425452118659172,0.7384143444224166,0.7494261495269537
discharge_pathway,protective_aftercare_present_flag,pr_auc_average_precision,50,0.4135276850577855,0.4022177985729466,0.4256846041746469
discharge_pathway,protective_aftercare_present_flag,precision,50,0.4307065286012434,0.41930402308071724,0.44044687815856404
discharge_pathway,protective_aftercare_present_flag,recall_sensitivity,50,0.3911125530757249,0.37949927653831067,0.4014674076422469
discharge_pathway,protective_aftercare_present_flag,specificity,50,0.8922193792497528,0.8892349652438437,0.8955614252200116
discharge_pathway,protective_aftercare_present_flag,f1_score,50,0.4099378424302951,0.3988112253045502,0.4181046117555862
medical_complexity,charlson_3plus,readmission_rate,50,0.2168945379594641,0.2069284610099622,0.22328023016145654
medical_complexity,charlson_3plus,roc_auc,50,0.7480556038845327,0.7389614666461967,0.757343774251607
medical_complexity,charlson_3plus,pr_auc_average_precision,50,0.49232325304136393,0.4742157041287271,0.5125008811901277
medical_complexity,charlson_3plus,precision,50,0.446132111964967,0.4263306405615815,0.46792276178713205
medical_complexity,charlson_3plus,recall_sensitivity,50,0.5071751202300251,0.4897388031188488,0.5309141596279776
