subgroup_family,subgroup_name,readmitted_30d,readmitted_365d_psych,readmitted_60d_psych,readmitted_90d_psych,readmitted_60d_psych_minus_30d,readmitted_90d_psych_minus_30d,readmitted_365d_psych_minus_30d
care_process,care_team_touchpoints_last_12h_before_discharge_any,0.1671498480877612,0.3619685970730802,0.2208873530162117,0.2536586497205279,0.0537375049284505,0.08650880163276667,0.194818748985319
care_process,care_team_touchpoints_last_12h_before_discharge_high,0.15452631578947368,0.3374736842105263,0.2071578947368421,0.24021052631578949,0.05263157894736842,0.08568421052631581,0.18294736842105264
care_process,late_medication_change_intensity_score_any,0.1787540758537841,0.3721297408615068,0.2324008923974601,0.2651106916080316,0.05364681654367598,0.08635661575424747,0.19337566500772269
care_process,late_medication_change_intensity_score_high,0.17530668777206174,0.334784329244163,0.22180451127819548,0.24990106846062524,0.04649782350613374,0.0745943806885635,0.15947764147210128
care_process,late_order_type_diversity_last_12h_any,0.16720100362419849,0.3621178329151566,0.2209134838769631,0.253717126661091,0.05371248025276462,0.08651612303689249,0.1949168292909581
care_process,late_order_type_diversity_last_12h_high,0.17284331892114474,0.3820259419394688,0.23203623635989293,0.26734609841465923,0.05919291743874819,0.09450277949351449,0.20918262301832408
care_process,num_care_team_touchpoints_any,0.18357262103505842,0.37340011129660544,0.23597106288258207,0.2677573734001113,0.05239844184752365,0.08418475236505288,0.18982749026154702
care_process,num_care_team_touchpoints_high,0.17220123284947306,0.30224696758798963,0.2157486577848479,0.23762179359713662,0.043547424935374834,0.06542056074766356,0.13004573473851658
care_process,num_total_poe_orders_any,0.18363977151017494,0.37354962513388074,0.23603177436629774,0.2678507675830061,0.052392002856122805,0.08421099607283114,0.1899098536237058
care_process,num_total_poe_orders_high,0.1792492619148039,0.31147195276254747,0.2231126107127794,0.2492619148038802,0.043863348797975515,0.07001265288907632,0.13222269084774357
care_process,orders_last_12h_before_discharge_any,0.16713046704698298,0.36192662677983395,0.2208617411066277,0.25362923797597514,0.05373127405964473,0.08649877092899216,0.19479615973285097
care_process,orders_last_12h_before_discharge_high,0.16959187989004018,0.3495453584267287,0.22013110594205962,0.25354197504757875,0.05053922605201944,0.08395009515753857,0.1799534785366885
care_process,orders_last_24h_before_discharge_any,0.18007205584327854,0.37108759288448545,0.232740373789687,0.26478270659761316,0.05266831794640847,0.08471065075433462,0.1910155370412069
care_process,orders_last_24h_before_discharge_high,0.14186778593913957,0.3171038824763903,0.18551941238195174,0.21448058761804828,0.043651626442812175,0.07261280167890871,0.17523609653725075
care_process,quiet_risk_summary_score_any,0.1975578215428971,0.38434631447287526,0.2489665260435437,0.28027813699094783,0.05140870450064658,0.08272031544805072,0.18678849292997815
care_process,quiet_risk_summary_score_high,0.414730683187059,0.5427637239717776,0.44708311822405783,0.4692823954568921,0.032352435036998806,0.054551712269833075,0.1280330407847186
demographics,age_40_to_64,0.22452132390805674,0.43874350451757876,0.28673751228875055,0.3219886709423716,0.062216188380693815,0.09746734703431487,0.21422218060952203
demographics,age_65plus,0.14503145504971926,0.3127917202191707,0.18859500777920585,0.21673543935601705,0.04356355272948659,0.07170398430629779,0.16776026516945142
demographics,age_70plus,0.13706041478809738,0.30324616771866547,0.17962128043282236,0.20820559062218214,0.04256086564472497,0.07114517583408475,0.1661857529305681
demographics,age_80plus,0.12783053323593865,0.2949233016800584,0.17092768444119796,0.20051132213294376,0.04309715120525931,0.0726807888970051,0.16709276844411977
demographics,age_under_40,0.21574317584111727,0.37489797769112176,0.2567334723859617,0.2846649133943956,0.04099029654484446,0.06892173755327832,0.1591548018500045
demographics,gender_F,0.18835443037974683,0.36658227848101266,0.2361181434599156,0.2652320675105485,0.047763713080168774,0.07687763713080167,0.17822784810126582
demographics,gender_M,0.20685100762643263,0.40228366920881087,0.26194026671211285,0.29547100677431726,0.055089259085680214,0.08861999914788463,0.19543266158237824
demographics,insurance_grouped_Medicaid,0.23930900160894233,0.47023456685578796,0.3047675501735964,0.3454145143534592,0.06545854856465408,0.10610551274451688,0.23092556524684563
demographics,insurance_grouped_Medicare,0.18759141306912008,0.3890068412361406,0.24085869308799246,0.27497051191318705,0.053267280018872376,0.08737909884406697,0.20141542816702052
demographics,insurance_grouped_Other / unknown,0.18323673651359787,0.29068212215782435,0.21533660276415514,0.23004904146232724,0.032099866250557274,0.04681230494872937,0.10744538564422648
demographics,insurance_grouped_Private,0.17661858436766187,0.30862126803086215,0.21444146259644414,0.23465280107346528,0.037822878228782275,0.058034216705803415,0.13200268366320028
demographics,language_Chinese,0.16233766233766234,0.3116883116883117,0.19480519480519481,0.2305194805194805,0.03246753246753248,0.06818181818181818,0.14935064935064934
demographics,language_English,0.20042068681695552,0.387169052082857,0.25200054872193517,0.2831405185422287,0.05157986190497965,0.0827198317252732,0.1867483652659015
demographics,language_Kabuverdianu,0.14285714285714285,0.36054421768707484,0.20408163265306123,0.22789115646258504,0.06122448979591838,0.08503401360544219,0.217687074829932
demographics,language_Russian,0.1335676625659051,0.31282952548330406,0.16695957820738136,0.20210896309314588,0.033391915641476255,0.06854130052724078,0.17926186291739896
demographics,language_Spanish,0.1807494489346069,0.3938280675973549,0.2417340191036003,0.27920646583394565,0.06098457016899339,0.09845701689933875,0.213078618662748
demographics,marital_status_DIVORCED,0.21310328747959897,0.431102821170436,0.27232455117743065,0.30869666588948474,0.05922126369783168,0.09559337840988577,0.21799953369083705
demographics,marital_status_MARRIED,0.17456780118854673,0.3448136142625608,0.22285251215559157,0.25033765532144786,0.04828471096704484,0.07576985413290113,0.17024581307401407
