subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,pr_auc_difference_from_overall,recall_difference_from_overall,subgroup_size_flag,event_support_flag,interpretation_reliability
discharge_pathway,discharged_against_advice,included,527,167,0.31688804554079697,0.38666274506215054,0.38,0.6790086493679308,0.4783574156122221,0.20705692810901183,0.4533333333333333,0.6107784431137725,0.6583333333333333,0.5204081632653061,0.6345558882235529,237,123,65,102,-0.11812161868386872,0.07552787974860453,small,moderate_event_support,supporting_interpretation
discharge_pathway,had_substance_use_followup_order,included,307,60,0.19543973941368079,0.27156408953924166,0.38,0.7485155195681512,0.4558065568400266,0.14231381080587405,0.39705882352941174,0.45,0.8340080971659919,0.421875,0.642004048582996,206,41,33,27,-0.14067247745606426,-0.08525056336516795,small,limited_event_support,supporting_interpretation
discharge_pathway,home_discharge_with_psych_risk,included,2307,360,0.15604681404421328,0.23537683216777638,0.38,0.7718455743879472,0.4337629135512745,0.11751340052745077,0.43440233236151604,0.41388888888888886,0.9003595274781715,0.4238975817923186,0.6571242081835302,1753,194,211,149,-0.16271612074481634,-0.1213616744762791,moderate,moderate_event_support,main_interpretation
discharge_pathway,discharged_home_flag,included,14459,2307,0.15955460266961755,0.22655932107679042,0.38,0.7641259049867692,0.429842835640321,0.11811775928612464,0.45144724556489263,0.41915908105765065,0.9033080974325214,0.4347044279613396,0.661233589245086,10977,1175,1340,967,-0.16663619865576984,-0.11609148230751731,large,high_event_support,main_interpretation
discharge_pathway,protective_aftercare_present_flag,included,34278,5927,0.17290973802438883,0.23908909249897137,0.38,0.7428777460489998,0.41507309006903736,0.12894392546095265,0.4318646588585239,0.3919352117428716,0.8922083877111918,0.4109322483637007,0.6420717997270318,25295,3056,3604,2323,-0.18140594422705347,-0.14331535162229636,large,high_event_support,main_interpretation
discharge_pathway,home_discharge_without_followup_order_flag,included,8116,1170,0.1441596845736816,0.2094814261501949,0.38,0.7553834095008871,0.39505955233229884,0.11077555124839213,0.4467425025853154,0.36923076923076925,0.9229772530953066,0.4043051006083294,0.646104011163038,6411,535,738,432,-0.201419481963792,-0.1660197941343987,large,high_event_support,main_interpretation
medical_complexity,medical_complexity_no_aftercare_flag,included,4284,825,0.19257703081232494,0.26266572938617005,0.38,0.860348147564106,0.6846955053307239,0.10612133536241299,0.5613682092555332,0.6763636363636364,0.8739520092512287,0.6135239142385926,0.7751578228074325,3023,436,267,558,0.08821647103463304,0.14111307299846843,moderate,high_event_support,main_interpretation
medical_complexity,charlson_3plus,included,11644,2539,0.21805221573342495,0.2901369301248895,0.38,0.7484960697685032,0.49304749729810815,0.1495252722846027,0.44841959013546373,0.5084679007483262,0.8255903349807798,0.4765596160944998,0.667029117864553,7517,1588,1248,1291,-0.10343153699798269,-0.026782662616841812,large,high_event_support,main_interpretation
medical_complexity,had_icu_stay,included,8070,1247,0.15452292441140025,0.2009203808297973,0.38,0.7937492896626239,0.470254563353439,0.10853522975973444,0.48903508771929827,0.35765838011226947,0.93170159753774,0.413154238073182,0.6446799888250048,6357,466,801,446,-0.12622447094265182,-0.1775921832528985,large,high_event_support,main_interpretation
medical_complexity,vital_instability_near_discharge_score,included,1529,155,0.1013734466971877,0.14835149029556435,0.38,0.8690566746490115,0.4540588074811952,0.0738142630998809,0.4732142857142857,0.3419354838709677,0.9570596797671034,0.3970037453183521,0.6494975818190356,1315,59,102,53,-0.14242022681489563,-0.19331507949420024,moderate,moderate_event_support,main_interpretation
medical_complexity,charlson_5plus,included,2707,602,0.22238640561507203,0.2974744393166645,0.38,0.7274934699063297,0.441298180039508,0.15839240468969382,0.41032608695652173,0.5016611295681063,0.7938242280285036,0.4514200298953662,0.6477426787983049,1671,434,300,302,-0.15518085425658285,-0.033589433797061696,moderate,high_event_support,main_interpretation
medical_complexity,age_65plus_x_charlson,included,11407,1736,0.15218725344086964,0.2175943754030564,0.38,0.7301742894215068,0.3820892503632611,0.11844632749898586,0.4335154826958106,0.27419354838709675,0.9356840037224693,0.3359209597741708,0.6049387760547831,9049,622,1260,476,-0.21438978393282976,-0.2610570149780712,large,high_event_support,main_interpretation
overall,all_test_admissions,included,47171,9319,0.1975578215428971,0.2634639407639277,0.38,0.80138249913702,0.5964790342960908,0.12278740412405476,0.5258275353152013,0.535250563365168,0.8811687625488746,0.5304972081893113,0.7082096629570213,33354,4498,4331,4988,0.0,0.0,large,high_event_support,main_interpretation
prior_utilisation,previous_psych_admissions_90d_high,included,5289,2383,0.4505577613915674,0.5496181364517175,0.38,0.7428474347573819,0.7133764475314095,0.21265444879017917,0.5249217433180833,0.9148132605958875,0.3210598761183758,0.6670746634026927,0.6179365683571316,933,1973,203,2180,0.11689741323531866,0.37956269723071956,large,high_event_support,main_interpretation
prior_utilisation,previous_ed_visits_365d_high,included,4734,2161,0.4564850021123785,0.547011192103384,0.38,0.7197210270827604,0.6902641872452628,0.21901775393374961,0.5254418853776112,0.9079130032392411,0.3113097551496308,0.665648854961832,0.609611379194436,801,1772,199,1962,0.093785152949172,0.3726624398740731,moderate,high_event_support,main_interpretation
prior_utilisation,previous_total_admissions_high,included,5064,2035,0.4018562401263823,0.4903856486193119,0.38,0.7489113832461473,0.6825283350278294,0.20349579898587808,0.5184729064039408,0.8275184275184275,0.4836579729283592,0.637516562559152,0.6555882002233934,1465,1564,351,1684,0.08604930073173855,0.29226786415325956,large,high_event_support,main_interpretation
prior_utilisation,previous_psych_admissions_365d_high,included,6826,2879,0.42176970407266334,0.5222559348489536,0.38,0.7323547071641241,0.6816163102861432,0.2135174148666576,0.5003909304143862,0.8891976380687738,0.3524195591588548,0.6404002501563477,0.6208085986138143,1391,2556,319,2560,0.08513727599005239,0.35394707470360587,large,high_event_support,main_interpretation
