subgroup_family,subgroup_name,subgroup_value,admissions,readmissions,readmission_rate,mean_predicted_probability,threshold,roc_auc,pr_auc_average_precision,brier_score,precision,recall_sensitivity,specificity,f1_score,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,model_variant,threshold_role,threshold_selection_metric,training_rows,training_events,test_rows,test_events,common_id_rows,local_matrix_test_rows,selected_threshold,threshold_selection_note,selected_threshold_training_f1,selected_threshold_training_precision,selected_threshold_training_recall,target_recall,selected_threshold_training_specificity,selected_threshold_training_predicted_positive_rate
diagnosis_transfer_learning,has_psychotic_disorder,global_warm_start_fine_tuned_lightgbm_training_recall_80_threshold,3064,946,0.3087467362924282,0.41131445684500717,0.51,0.8682115642225003,0.8232901128972192,0.1301071719844158,0.7293478260869565,0.7093023255813954,0.8824362606232294,0.7191854233654876,0.7958692931023124,1869,249,275,671,global_warm_start_fine_tuned_lightgbm_training_recall_80_threshold,subgroup_recall_target_threshold,training_recall_target_80,12373,3924,3064,946,3064,3064,0.51,Threshold selected on training subgroup predictions to meet recall target 0.80 with highest available precision.,0.7977157360406092,0.7944893832153691,0.8009683995922529,0.8,0.9037755947449402,0.3197284409601552
diagnosis_transfer_learning,has_bipolar_disorder,saved_global_model,3801,980,0.2578268876611418,0.3299757567925284,0.38,0.8174409856108342,0.695519311030472,0.13754407708401742,0.5561403508771929,0.6469387755102041,0.8206309819213045,0.5981132075471698,0.7337848787157543,2315,506,346,634,saved_global_model,fixed_final_model_threshold,fixed_final_model_threshold,191320,38039,3801,980,3801,3801,,,,,,,,
diagnosis_transfer_learning,has_bipolar_disorder,subgroup_only_lightgbm_fixed_threshold,3801,980,0.2578268876611418,0.37131109240162896,0.38,0.7942327586830549,0.6713256470496763,0.15420771981162656,0.4757213230119634,0.689795918367347,0.7359092520382843,0.5630987088713036,0.7128525852028156,2076,745,304,676,subgroup_only_lightgbm_fixed_threshold,fixed_final_model_threshold,fixed_final_model_threshold,15552,4021,3801,980,3801,3801,,,,,,,,
diagnosis_transfer_learning,has_bipolar_disorder,subgroup_only_lightgbm_training_f1_threshold,3801,980,0.2578268876611418,0.37131109240162896,0.52,0.7942327586830549,0.6713256470496763,0.15420771981162656,0.5859802847754655,0.5459183673469388,0.8660049627791563,0.5652403592181722,0.7059616650630476,2443,378,445,535,subgroup_only_lightgbm_training_f1_threshold,subgroup_selected_threshold,training_f1,15552,4021,3801,980,3801,3801,0.52,Threshold selected by maximising training-subgroup F1 among usable thresholds.,0.8720209723546235,0.8371082132235187,0.9099726436209898,,,
diagnosis_transfer_learning,has_bipolar_disorder,subgroup_only_lightgbm_training_recall_60_threshold,3801,980,0.2578268876611418,0.37131109240162896,0.71,0.7942327586830549,0.6713256470496763,0.15420771981162656,0.780040733197556,0.39081632653061227,0.9617157036511875,0.5207341944255608,0.6762660150908999,2713,108,597,383,subgroup_only_lightgbm_training_recall_60_threshold,subgroup_recall_target_threshold,training_recall_target_60,15552,4021,3801,980,3801,3801,0.71,Threshold selected on training subgroup predictions to meet recall target 0.60 with highest available precision.,0.7392660823057495,0.9180811808118081,0.6187515543397165,0.6,0.9807475500823866,0.17425411522633744
diagnosis_transfer_learning,has_bipolar_disorder,subgroup_only_lightgbm_training_recall_70_threshold,3801,980,0.2578268876611418,0.37131109240162896,0.67,0.7942327586830549,0.6713256470496763,0.15420771981162656,0.7336860670194003,0.42448979591836733,0.9464728819567529,0.5378151260504201,0.6854813389375601,2670,151,564,416,subgroup_only_lightgbm_training_recall_70_threshold,subgroup_recall_target_threshold,training_recall_target_70,15552,4021,3801,980,3801,3801,0.67,Threshold selected on training subgroup predictions to meet recall target 0.70 with highest available precision.,0.7902863559797867,0.9071865936190783,0.7000746083063915,0.7,0.9750238487555286,0.1995241769547325
diagnosis_transfer_learning,has_bipolar_disorder,subgroup_only_lightgbm_training_recall_80_threshold,3801,980,0.2578268876611418,0.37131109240162896,0.61,0.7942327586830549,0.6713256470496763,0.15420771981162656,0.672106824925816,0.46224489795918366,0.9216589861751152,0.5477629987908101,0.6919519420671494,2600,221,527,453,subgroup_only_lightgbm_training_recall_80_threshold,subgroup_recall_target_threshold,training_recall_target_80,15552,4021,3801,980,3801,3801,0.61,Threshold selected on training subgroup predictions to meet recall target 0.80 with highest available precision.,0.8431193854966801,0.8846994535519126,0.8052723203183287,0.8,0.9634030006070592,0.2353395061728395
diagnosis_transfer_learning,has_bipolar_disorder,global_warm_start_fine_tuned_lightgbm_fixed_threshold,3801,980,0.2578268876611418,0.4023328696950673,0.38,0.8112859819574764,0.6879314514334713,0.15879129431011957,0.4521633150517977,0.7571428571428571,0.6813186813186813,0.5661961083555894,0.7192307692307692,1922,899,238,742,global_warm_start_fine_tuned_lightgbm_fixed_threshold,fixed_final_model_threshold,fixed_final_model_threshold,15552,4021,3801,980,3801,3801,,,,,,,,
diagnosis_transfer_learning,has_bipolar_disorder,global_warm_start_fine_tuned_lightgbm_training_f1_threshold,3801,980,0.2578268876611418,0.4023328696950673,0.52,0.8112859819574764,0.6879314514334713,0.15879129431011957,0.572926596758818,0.613265306122449,0.8411910669975186,0.5924100542138985,0.7272281865599838,2373,448,379,601,global_warm_start_fine_tuned_lightgbm_training_f1_threshold,subgroup_selected_threshold,training_f1,15552,4021,3801,980,3801,3801,0.52,Threshold selected by maximising training-subgroup F1 among usable thresholds.,0.7546180431414611,0.7244851258581235,0.787366326784382,,,
diagnosis_transfer_learning,has_bipolar_disorder,global_warm_start_fine_tuned_lightgbm_training_recall_60_threshold,3801,980,0.2578268876611418,0.4023328696950673,0.65,0.8112859819574764,0.6879314514334713,0.15879129431011957,0.6930983847283406,0.4816326530612245,0.9259127968805388,0.5683323299217339,0.7037727249708816,2612,209,508,472,global_warm_start_fine_tuned_lightgbm_training_recall_60_threshold,subgroup_recall_target_threshold,training_recall_target_60,15552,4021,3801,980,3801,3801,0.65,Threshold selected on training subgroup predictions to meet recall target 0.60 with highest available precision.,0.6982181040627228,0.8179692718770875,0.6090524745088286,0.6,0.9527361026797329,0.19251543209876543
