model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role,evaluation_subset,subset_admissions
Hybrid Tabular + Hourly Clinical GRU,0.5,0.726650232812928,0.6810378285035886,0.30687361419068737,0.6151111111111112,0.7469645458960661,0.40946745562130177,0.7627240120159013,0.43234215135539084,0.17005442082881927,4614,1563,433,692,4.547916055991664,0.2526262780011166,0.0698592050030129,0.009567132977679116,default,admissions_with_first72h_hourly_clinical_sequence,7302
Hybrid Tabular + Hourly Clinical GRU,0.6,0.7801972062448644,0.6632516323997626,0.3492462311557789,0.49422222222222223,0.8322810425773028,0.4092749355907251,0.7627240120159013,0.43234215135539084,0.17005442082881927,5141,1036,569,556,4.547916055991664,0.2526262780011166,0.0698592050030129,0.009567132977679116,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302
Hybrid Tabular + Hourly Clinical GRU,0.66,0.8122432210353328,0.6422079758242945,0.39191564147627417,0.39644444444444443,0.8879715072041444,0.3941670349094123,0.7627240120159013,0.43234215135539084,0.17005442082881927,5485,692,679,446,4.547916055991664,0.2526262780011166,0.0698592050030129,0.009567132977679116,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302
