epoch,training_loss,validation_pr_auc_average_precision,validation_roc_auc
1,1.183952453185101,0.1722298324817158,0.5583838824336075
2,1.1801315327079929,0.17003055099664088,0.553720623945343
3,1.1824022993749501,0.17520446169920692,0.5617029595633469
4,1.1794188655152613,0.1752264651479173,0.560474369044773
5,1.1787112610680717,0.1746007110024811,0.5619286681921155
6,1.18088520789633,0.17306935560685377,0.5577023781063943
7,1.1786720241819109,0.16858334008590903,0.5509836605342223
8,1.1797867599798708,0.17004413986121406,0.554658704909721
9,1.1772879021508353,0.16817596454733966,0.5529548346306653
10,1.176430113461553,0.16815554033038912,0.553762875900098
11,1.1792626478234116,0.1706796904954437,0.5553850882562332
12,1.1773268665586198,0.16762829220944508,0.5500736015916509
