epoch,training_loss,validation_pr_auc_average_precision,validation_roc_auc
1,1.1852250464108525,0.1702530517305213,0.562421899560317
2,1.1814567288573907,0.171182820658699,0.5613132783226018
3,1.1817138559964238,0.17255708476405948,0.5603913975895807
4,1.1810321272635946,0.17191721320064718,0.5622522349751611
5,1.178109570425384,0.17753431210391563,0.563684422995922
6,1.181298708429142,0.17349675043591245,0.5632152730527102
7,1.1782265755594994,0.1748314756078575,0.5648175635027176
8,1.17857918690662,0.1762261500538866,0.5631929430040834
9,1.1767524456491276,0.1742246369012447,0.5601455481326387
10,1.1741915381684596,0.16910172286471647,0.5600378384863204
11,1.1740418623904794,0.17128286041529775,0.5619862446900458
12,1.1749091148376465,0.17182633584202398,0.5631914105497657
13,1.1730804224403537,0.17413243126454506,0.5697485636524604
