model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role,evaluation_subset,subset_admissions
Hybrid Tabular + Hourly Clinical LSTM,0.5,0.7065187619830183,0.690585289514867,0.298015873015873,0.6675555555555556,0.7136150234741784,0.4120713305898491,0.7627300559422949,0.4349040962534598,0.18691539764404297,4408,1769,374,751,3.615333230001852,0.24862117299926467,0.06584640800429042,0.009017585319678228,default,admissions_with_first72h_hourly_clinical_sequence,7302
Hybrid Tabular + Hourly Clinical LSTM,0.63,0.8163516844700082,0.6482713291241703,0.40425531914893614,0.4053333333333333,0.8912093249150073,0.4047936085219707,0.7627300559422949,0.4349040962534598,0.18691539764404297,5505,672,669,456,3.615333230001852,0.24862117299926467,0.06584640800429042,0.009017585319678228,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302
Hybrid Tabular + Hourly Clinical LSTM,0.63,0.8163516844700082,0.6482713291241703,0.40425531914893614,0.4053333333333333,0.8912093249150073,0.4047936085219707,0.7627300559422949,0.4349040962534598,0.18691539764404297,5505,672,669,456,3.615333230001852,0.24862117299926467,0.06584640800429042,0.009017585319678228,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302
