model,threshold_role,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms
Targeted LightGBM default threshold,default,0.5,0.8394,0.6722,0.6548,0.3958,0.9486,0.4933,0.7999,0.5945,0.1212,35908,1944,5631,3688,52.8694,0.5462,0.1231,0.0026
Targeted LightGBM official balanced precision-recall threshold,official,0.39,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,34059,3793,4648,4671,52.8694,0.5462,0.1231,0.0026
Targeted LightGBM training Youden threshold,recall sensitivity,0.29,0.7727,0.7192,0.4467,0.6306,0.8077,0.523,0.7999,0.5945,0.1212,30573,7279,3442,5877,52.8694,0.5462,0.1231,0.0026
Targeted LightGBM balanced precision-recall threshold,balanced precision-recall,0.39,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,34059,3793,4648,4671,52.8694,0.5462,0.1231,0.0026
Targeted LightGBM exploratory held-out F1 threshold,exploratory,0.35,0.8069,0.7097,0.5105,0.549,0.8704,0.5291,0.7999,0.5945,0.1212,32947,4905,4203,5116,52.8694,0.5462,0.1231,0.0026
