hyperparameter,candidate_values
n_estimators,"[350, 425, 500, 575, 650]"
learning_rate,"[0.014, 0.017, 0.02, 0.024]"
num_leaves,"[127, 159, 191, 223]"
min_child_samples,"[100, 125, 150, 175]"
max_depth,"[-1, 6, 8, 10]"
subsample,"[0.75, 0.85, 0.95]"
colsample_bytree,"[0.8, 0.9, 1.0]"
reg_alpha,"[0.0, 0.5, 1.0, 1.5]"
reg_lambda,"[33.75, 45.0, 67.5, 90.0]"
scale_pos_weight_multiplier,"[0.25, 0.3, 0.35, 0.4, 0.45, 0.5]"
