config_number,subsample,reg_lambda,reg_alpha,num_leaves,n_estimators,min_child_samples,max_depth,learning_rate,colsample_bytree,scale_pos_weight_multiplier,effective_scale_pos_weight,best_iteration,training_roc_auc,validation_roc_auc,training_pr_auc_average_precision,validation_pr_auc_average_precision,validation_brier_score,elapsed_seconds
29,0.75,33.75,0.0,223,575,100,-1,0.024,0.9,0.4,1.6118299639843319,385,0.9737649674630452,0.7939616148968787,0.89983879941824,0.5952588658305039,0.12102577243008109,29.763133124004526
22,0.95,45.0,0.0,191,650,100,10,0.014,0.9,0.3,1.2088724729882487,631,0.8899303349270499,0.7958795964088494,0.7269683770762131,0.5951787329924676,0.1189936525492069,19.70869158199639
4,0.95,67.5,0.0,191,500,125,-1,0.02,0.9,0.5,2.014787454980415,500,0.9606147463340572,0.7953307760990603,0.8557350573188425,0.594411770381072,0.12559782479393708,29.13997543699952
8,0.75,90.0,0.5,223,575,125,-1,0.02,1.0,0.3,1.2088724729882487,565,0.9537754665540831,0.7951279851715582,0.8493739723123338,0.5943757274498702,0.11887593606137731,35.85485111700109
30,0.95,33.75,1.5,159,650,175,-1,0.024,1.0,0.35,1.4103512184862903,472,0.9645223137539313,0.7939629170646494,0.8757464071157648,0.5943631696356553,0.1199754156664321,27.90546275599627
47,0.75,33.75,1.5,127,425,100,10,0.017,0.8,0.35,1.4103512184862903,414,0.8809199908537717,0.7963912615315794,0.7081840706390441,0.5942964295593186,0.12066767623379673,13.084710213996004
2,0.85,67.5,0.0,191,425,100,-1,0.017,0.8,0.45,1.8133087094823734,425,0.9344479094315898,0.7955734257619458,0.794514076299576,0.5938765563148426,0.12438397433857502,24.721396089000336
16,0.95,33.75,0.0,223,500,175,-1,0.014,0.8,0.45,1.8133087094823734,494,0.9477157616921851,0.7950952077485282,0.8220642829680751,0.5937933536816614,0.1241647870511098,28.485377782002615
3,0.85,45.0,0.0,191,425,125,10,0.017,0.9,0.35,1.4103512184862903,420,0.8767434326040874,0.7959060118121994,0.7001744900948814,0.5935866474213312,0.12078412721342291,12.9581180890018
38,0.85,33.75,0.0,127,350,100,10,0.017,0.9,0.5,2.014787454980415,348,0.8775985895473997,0.7958813946405331,0.698454362018313,0.5935862735601011,0.12884018765977098,11.535292437998578
19,0.75,90.0,0.5,127,650,175,-1,0.017,0.8,0.25,1.0073937274902074,648,0.9192771611603503,0.796171840061405,0.7763293662541272,0.593578662008065,0.11846659052583948,26.829806875997747
49,0.95,45.0,0.0,191,575,150,-1,0.014,1.0,0.25,1.0073937274902074,571,0.9365683133627541,0.7955223311789401,0.8117779464274388,0.5935430856211651,0.11850750150310778,32.72847075800382
46,0.95,45.0,1.0,127,500,150,-1,0.014,1.0,0.35,1.4103512184862903,499,0.9106889449782766,0.7955637029092575,0.7525347778943541,0.5935321397979584,0.1205872753738498,23.863871789995756
15,0.85,67.5,0.0,159,650,100,10,0.014,1.0,0.3,1.2088724729882487,585,0.877474361504973,0.7957864852124402,0.7025923060268014,0.593410140639596,0.11926831855073729,19.970113032999507
21,0.95,33.75,0.0,159,350,100,-1,0.014,0.9,0.45,1.8133087094823734,350,0.9096234350346383,0.7964379163425664,0.7441826420456503,0.5932669455074238,0.12512915792514995,19.550791964000382
32,0.75,67.5,1.0,191,425,100,-1,0.014,0.8,0.5,2.014787454980415,425,0.9192051214612874,0.7962240135834204,0.7590007140004424,0.5931374498632441,0.12763192245385155,24.805605321998883
48,0.85,67.5,1.5,191,650,125,10,0.014,1.0,0.25,1.0073937274902074,606,0.8720675841003036,0.7959995198597389,0.6940902877192174,0.5930549773816204,0.11859036070050541,19.72014232500078
40,0.75,67.5,0.0,159,500,125,10,0.014,0.8,0.4,1.6118299639843319,496,0.8685217748463894,0.7961988135366566,0.6842509148100226,0.5930331826660309,0.12319066275581705,14.325639326998498
36,0.75,90.0,1.5,191,500,125,10,0.024,0.9,0.5,2.014787454980415,469,0.8939881432707777,0.7957633190277182,0.7230640820593515,0.5927988808201384,0.1285480534739483,14.232647057004215
34,0.75,33.75,1.5,127,350,175,-1,0.02,0.9,0.3,1.2088724729882487,350,0.910913649153017,0.7950389541008307,0.7566796118718726,0.5927826028396926,0.11924088484556142,16.20257004599989
18,0.85,90.0,0.0,159,425,150,-1,0.02,0.9,0.35,1.4103512184862903,425,0.9209589821238858,0.7952538365862041,0.7705976610615267,0.5927019392068473,0.12065487994733759,21.199937608005712
11,0.95,67.5,1.5,159,650,125,8,0.014,0.8,0.3,1.2088724729882487,645,0.85139143267872,0.7957275156148208,0.6611290397361943,0.5925677842350622,0.11944582595993991,13.212748703001125
7,0.85,90.0,0.5,223,500,100,-1,0.017,1.0,0.5,2.014787454980415,496,0.9477496914177161,0.7953076843239253,0.8223120588922058,0.5924369820440147,0.12656572807228017,33.474364818997856
9,0.95,45.0,1.0,159,500,100,8,0.014,0.8,0.35,1.4103512184862903,500,0.8497588598313781,0.7956753792975986,0.6593310839142629,0.5924274708814934,0.12114330796794182,11.110810835001757
10,0.85,90.0,0.0,191,650,125,8,0.024,1.0,0.3,1.2088724729882487,541,0.8636888336147612,0.7952243207834,0.6810798827046421,0.5921992723824928,0.11948805496515968,12.158970755001064
6,0.85,67.5,0.0,159,425,150,10,0.02,0.8,0.4,1.6118299639843319,425,0.8763074605692079,0.7957158333096773,0.6955119300135437,0.592188758322012,0.12333275935336294,11.620731758994225
27,0.75,90.0,1.5,191,575,100,8,0.017,0.9,0.25,1.0073937274902074,572,0.849647931701262,0.7957413433963868,0.6602656189503071,0.5921593696647264,0.11873388506692006,12.802275570000347
5,0.85,33.75,1.5,159,500,125,8,0.024,0.9,0.3,1.2088724729882487,315,0.8529205712551661,0.794990240624606,0.6645760968089557,0.591948880150506,0.11953845765040519,8.252815635998559
45,0.75,67.5,1.5,127,500,150,-1,0.014,0.9,0.4,1.6118299639843319,500,0.9033270157073534,0.7958281297779092,0.7348027476035102,0.5919195737248804,0.12296588375035993,22.50000599100167
24,0.75,90.0,1.5,159,575,125,-1,0.014,1.0,0.45,1.8133087094823734,571,0.9223661687850302,0.7947190548851438,0.768654146899356,0.5916322608427002,0.1251540470507254,30.895341057999758
39,0.95,67.5,0.0,191,500,150,10,0.024,1.0,0.45,1.8133087094823734,480,0.8951069699767354,0.7943987092119353,0.7272567866011949,0.5912730404539558,0.12590696868933807,13.510416193996207
31,0.75,67.5,1.0,127,650,125,8,0.02,1.0,0.5,2.014787454980415,645,0.8758784533179947,0.7946461334899804,0.6944821773969017,0.590652313213596,0.1294405387370852,13.552764594998735
1,0.95,67.5,1.5,159,425,150,8,0.02,0.9,0.45,1.8133087094823734,424,0.8528475505618459,0.7951834575185932,0.659209652346325,0.5903388594230902,0.12677646218799637,9.009189807002258
14,0.75,90.0,0.0,223,425,175,-1,0.017,1.0,0.4,1.6118299639843319,425,0.9162829462391766,0.7948113847808905,0.7560269030141552,0.5898604712450175,0.12309174869262733,23.127697755000554
17,0.85,33.75,1.0,159,575,150,8,0.017,1.0,0.5,2.014787454980415,488,0.8600373718304655,0.7944862768941205,0.6696898227815594,0.589653758320093,0.13006140837700744,11.439348088999395
23,0.95,90.0,0.5,159,425,150,-1,0.014,0.9,0.5,2.014787454980415,425,0.8999102567990966,0.7949889880632265,0.7216748143387162,0.5895660667148653,0.12880604821116992,21.3696210220005
12,0.75,90.0,1.5,223,350,175,8,0.017,0.9,0.45,1.8133087094823734,350,0.8327031352282989,0.7941419713339299,0.628860833002887,0.5871638469139124,0.12740108859663957,7.912835171999177
37,0.75,33.75,1.5,191,500,175,6,0.017,1.0,0.25,1.0073937274902074,500,0.8253272915458538,0.7936276708716641,0.6235430771325702,0.5870438865802482,0.11949404979090233,7.634569901005307
13,0.95,67.5,1.5,191,650,150,6,0.024,0.9,0.5,2.014787454980415,643,0.8487935711268834,0.7937255132776404,0.6514232817800331,0.5868585208428732,0.13060567294446407,8.672218092993717
50,0.75,45.0,1.5,127,425,150,6,0.02,0.9,0.45,1.8133087094823734,422,0.8274246552010823,0.793982722416363,0.6234020190627347,0.5868226579706322,0.12763269713043268,6.459108973002003
26,0.75,67.5,0.0,127,425,150,6,0.02,0.8,0.4,1.6118299639843319,425,0.8235928447871618,0.7936903485470307,0.6184018920885275,0.5861456480853173,0.12464482183337619,6.038263607995759
20,0.85,33.75,0.0,159,500,150,6,0.02,1.0,0.5,2.014787454980415,485,0.8355766899225362,0.7939426094482243,0.6335887142434811,0.5861107342537526,0.13101228330308898,7.4441492820042185
