mean_predicted_probability,observed_readmission_rate
0.0372,0.0199
0.0763,0.0543
0.1022,0.0714
0.1289,0.0935
0.1599,0.1213
0.1969,0.1389
0.2448,0.1844
0.3155,0.2423
0.4442,0.3487
0.767,0.7009
