csv_path,sheet_name,rows,columns,rows_written,note
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_calibration_table.csv,random_forest_calibration_table,10,2,10,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_confusion_matrices.csv,random_forest_confusion_matrice,5,6,5,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_feature_importance.csv,random_forest_feature_importanc,973,2,973,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_hyperparameter_screening.csv,random_forest_hyperparameter_sc,12,14,12,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_lowest_feature_importance.csv,forest_lowest_feature_importanc,100,2,100,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_near_zero_feature_importance.csv,near_zero_feature_importance,21,2,21,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_performance.csv,3_random_forest_performance,5,19,5,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_test_predictions.csv,random_forest_test_predictions,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_test_threshold_comparison.csv,forest_test_threshold_compariso,19,10,19,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_threshold_search_training.csv,forest_threshold_search_trainin,99,8,99,complete
/scratch/DissProject/outputs/WP3_3/random_forest/t3_3_random_forest_zero_feature_importance.csv,forest_zero_feature_importance,6,2,6,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_calibration_table.csv,random_forest_calibration_tab_1,10,2,10,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_confusion_matrices.csv,random_forest_confusion_matri_1,5,6,5,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_derived_config.csv,random_forest_derived_config,7,2,7,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_feature_importance.csv,random_forest_feature_importa_1,973,2,973,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_performance.csv,regularised_random_forest_perfo,5,19,5,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_test_predictions.csv,random_forest_test_prediction_1,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_test_threshold_comparison.csv,forest_test_threshold_compari_1,19,10,19,complete
/scratch/DissProject/outputs/WP3_3/regularised_random_forest/t3_3_regularised_random_forest_threshold_search_training.csv,forest_threshold_search_train_1,99,8,99,complete
/scratch/DissProject/outputs/WP3_3/t3_3_output_file_summary.csv,3_output_file_summary,33,3,33,complete
/scratch/DissProject/outputs/WP3_3/t3_3_random_forest_generalisation_comparison.csv,random_forest_generalisation_co,2,8,2,complete
/scratch/DissProject/outputs/WP3_3/t3_3_random_forest_sensitivity_comparison.csv,random_forest_sensitivity_compa,10,20,10,complete
/scratch/DissProject/outputs/WP3_3/wp3_3_csv_table_workbook_index.csv,3_table_workbook_index,23,6,23,complete
