C,mean_cv_average_precision,std_cv_average_precision,fold_1_average_precision,fold_2_average_precision,fold_3_average_precision,selection_source
0.01,0.5570269589991627,0.006043550316510045,0.5507476637930829,0.5651880196930028,0.5551451935114019,cross_validation
0.03,0.5567960710970529,0.006226979530192361,0.5506356270377833,0.5653260277852384,0.5544265584681367,cross_validation
0.003,0.5566872762874598,0.0059202443102692156,0.5502893607911374,0.5645631931990467,0.5552092748721956,cross_validation
0.3,0.5566738775421366,0.006342752439505241,0.5505114023178874,0.5653999080730635,0.5541103222354589,cross_validation
1.0,0.5566642031590592,0.006346676085036895,0.5505114023178874,0.5653999080730635,0.5540812990862267,cross_validation
0.1,0.5566624173754054,0.006352520490536191,0.5504842613199438,0.5653999080730635,0.5541030827332089,cross_validation
