threshold,precision,recall_sensitivity,precision_recall_gap,f1_score,youden_index,sensitivity,specificity
0.01,0.1994651424975748,1.0,0.8005348575024251,0.3325901444409471,0.004012238959818948,1.0,0.004012238959818895
0.02,0.20003681110643667,1.0,0.7999631888935633,0.3333844583017454,0.007567800314455253,1.0,0.007567800314455151
0.03,0.20057897345580714,1.0,0.7994210265441929,0.3341370753453236,0.0109211187296534,1.0,0.010921118729653382
0.04,0.20113805832020054,0.9998685559557297,0.7987304976355292,0.33490509965526805,0.014358283971595887,0.9998685559557297,0.014489728015866284
0.05,0.2016811179168987,0.9997634007203133,0.7980822828034146,0.33565162133060317,0.017678210775049497,0.9997634007203133,0.017914810054736073
0.060000000000000005,0.20222633521609173,0.9995793790583348,0.7973530438422431,0.3363959285325642,0.02099103477561215,0.9995793790583348,0.02141165571727742
0.06999999999999999,0.20279858310394128,0.9993690685875023,0.796570485483561,0.33717531963581693,0.024447193077817397,0.9993690685875023,0.025078124490315174
0.08,0.20337132766094076,0.9990798916901075,0.7957085640291667,0.33795001533953734,0.027883200645555384,0.9990798916901075,0.02880330895544784
0.09,0.2041195684875575,0.9988170036015668,0.7946974351140093,0.3389673246347719,0.03234366378776077,0.9988170036015668,0.033526660186193984
0.09999999999999999,0.20492413614486435,0.9984226714687557,0.7934985353238914,0.3400530955226954,0.03709674066193691,0.9984226714687557,0.03867406919318115
0.11,0.20589336183093473,0.997791740056258,0.7918983782253233,0.3413495696594149,0.04276143623517137,0.997791740056258,0.044969696178913235
0.12,0.20702568441739225,0.9969767869817818,0.7899511025643896,0.3428561096445232,0.049298992604135616,0.9969767869817818,0.052322205622353714
0.13,0.20843215046249167,0.9957937905833487,0.7873616401208571,0.34471179222102905,0.05729521606987342,0.9957937905833487,0.06150142548652475
0.14,0.2100820737219711,0.9945582165672073,0.7844761428452363,0.34689002892889725,0.0665240831782028,0.9945582165672073,0.0719658666109955
0.15000000000000002,0.21207306940920218,0.9931123320802334,0.7810392626710312,0.34951034135013487,0.07744111386010166,0.9931123320802334,0.08432878177986834
0.16,0.21430318613369134,0.9903782959594101,0.7760751098257187,0.35236073178944216,0.08928814127618123,0.9903782959594101,0.09890984531677116
0.17,0.21692788519864356,0.9871447724703594,0.7702168872717158,0.3556915382356563,0.10282773382891008,0.9871447724703594,0.11568296135855063
0.18000000000000002,0.21983473017291033,0.983306606377665,0.7634718762047547,0.35933424598314,0.11730233970403936,0.983306606377665,0.13399573332637443
0.19,0.22317475722339042,0.9793369962407004,0.75616223901731,0.3635112850186864,0.13337435246880425,0.9793369962407004,0.15403735622810394
0.2,0.2265640756109933,0.9745787218381136,0.7480146462271202,0.3676574137435165,0.14893823149684482,0.9745787218381136,0.17435950965873134
0.21000000000000002,0.23029845060483242,0.9694524041115697,0.7391539535067373,0.37218291735211895,0.16537362070070993,0.9694524041115697,0.19592121658914022
0.22,0.23422127610609286,0.9631956676043009,0.728974391498208,0.3768126375547648,0.1816898058210401,0.9631956676043009,0.2184941382167392
0.23,0.23824952055556647,0.956912642288178,0.7186631217326115,0.3815113719735877,0.19764697987731172,0.956912642288178,0.24073433758913368
0.24000000000000002,0.24251677852348993,0.9499461079418492,0.7074293294183592,0.38639000422371805,0.21361870924272797,0.9499461079418492,0.2636726013008788
0.25,0.247018786296406,0.9426378190804174,0.6956190327840115,0.39145623860522494,0.22955531048509248,0.9426378190804174,0.2869174914046751
0.26,0.25179800096270916,0.9351192197481533,0.683321218785444,0.39676086265455335,0.2455556078197343,0.9351192197481533,0.31043638807158097
0.27,0.2568702429076077,0.9271274218565156,0.670257178948908,0.4022836415070665,0.26150024040545516,0.9271274218565156,0.3343728185489395
0.28,0.26227564679752685,0.9188990246851915,0.6566233778876647,0.40807653915977377,0.27747575630881083,0.9188990246851915,0.35857673162361936
0.29000000000000004,0.2673622659313631,0.9087252556586661,0.641362989727303,0.4131645630139606,0.29076216825709644,0.9087252556586661,0.3820369125984303
0.3,0.27268593129198515,0.8985251978232867,0.6258392665313015,0.4183962639474602,0.3037809046623601,0.8985251978232867,0.40525570683907336
0.31,0.2778563674046781,0.8881411183259287,0.6102847509212506,0.4232867873229466,0.31531082624798046,0.8881411183259287,0.42716970792205167
0.32,0.2836755324119301,0.877888482872841,0.5942129504609109,0.42879338460945826,0.3277550677724699,0.877888482872841,0.4498665848996288
0.33,0.28973949092697665,0.8672152264780882,0.5774757355511115,0.43435839702948786,0.33964820903952764,0.8672152264780882,0.47243298256143945
0.34,0.29570825196421274,0.8558584610531297,0.560150209088917,0.4395479768317874,0.34999667779232113,0.8558584610531297,0.4941382167391914
0.35000000000000003,0.30212221793871236,0.8446857172901496,0.5425634993514372,0.4450585220583143,0.36047697648078647,0.8446857172901496,0.5157912591906368
0.36000000000000004,0.30850981002802863,0.8333552406740451,0.5248454306460164,0.4503128751127558,0.3698144234820906,0.8333552406740451,0.5364591828080454
0.37,0.3152078476490357,0.821078366939194,0.5058705192901582,0.45553724311946675,0.3784011923382975,0.821078366939194,0.5573228253991036
0.38,0.3223745535667529,0.8091695365282999,0.48679498296154705,0.4610614299195614,0.3870754739895639,0.8091695365282999,0.577905937461264
0.39,0.3300027181299266,0.7979179263387576,0.467915208208831,0.4669035642315443,0.3958915825649043,0.7979179263387576,0.5979736562261467
0.4,0.3373309287646528,0.7867714713846315,0.44944054261997873,0.4722031571722718,0.4032144747575219,0.7867714713846315,0.6164430033728903
0.41000000000000003,0.34486954486954485,0.7748889297825915,0.43001938491304664,0.47730934587762835,0.4095859894312106,0.7748889297825915,0.6346970596486192
0.42000000000000004,0.35245304109056447,0.7626120560477405,0.41015901495717605,0.48209730358552494,0.4149042514274679,0.7626120560477405,0.6522921953797274
