work_package,model_family,model,threshold_role,threshold,true_positives,false_negatives,true_negatives,false_positives,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,source_file
WP3.4,XGBoost,XGBoost exploratory held-out F1 threshold,exploratory,0.59,4848,4471,33672,4180,0.8166,0.7049,0.537,0.5202,0.8896,0.5285,0.7982,0.5912,0.166,287.9421,0.3218,0.0819,0.0017,t3_4_xgboost_performance.csv
WP3.4,Targeted XGBoost,Targeted XGBoost default threshold,default,0.5,3158,6161,36616,1236,0.8432,0.6531,0.7187,0.3389,0.9673,0.4606,0.7988,0.5933,0.1185,253.0198,0.299,0.0709,0.0015,t3_4_xgboost_targeted_performance.csv
WP3.4,Targeted XGBoost,Targeted XGBoost official balanced precision-recall threshold,official,0.31,4923,4396,33512,4340,0.8148,0.7068,0.5315,0.5283,0.8853,0.5299,0.7988,0.5933,0.1185,253.0198,0.299,0.0709,0.0015,t3_4_xgboost_targeted_performance.csv
WP3.4,Targeted XGBoost,Targeted XGBoost training Youden threshold,recall sensitivity,0.23,6092,3227,29710,8142,0.759,0.7193,0.428,0.6537,0.7849,0.5173,0.7988,0.5933,0.1185,253.0198,0.299,0.0709,0.0015,t3_4_xgboost_targeted_performance.csv
WP3.4,Targeted XGBoost,Targeted XGBoost balanced precision-recall threshold,balanced precision-recall,0.31,4923,4396,33512,4340,0.8148,0.7068,0.5315,0.5283,0.8853,0.5299,0.7988,0.5933,0.1185,253.0198,0.299,0.0709,0.0015,t3_4_xgboost_targeted_performance.csv
WP3.4,Targeted XGBoost,Targeted XGBoost exploratory held-out F1 threshold,exploratory,0.31,4923,4396,33512,4340,0.8148,0.7068,0.5315,0.5283,0.8853,0.5299,0.7988,0.5933,0.1185,253.0198,0.299,0.0709,0.0015,t3_4_xgboost_targeted_performance.csv
WP3.4,Calibrated Targeted XGBoost,Calibrated Targeted XGBoost default threshold,default,0.5,3005,6314,36679,1173,0.8413,0.6457,0.7192,0.3225,0.969,0.4453,0.7932,0.5844,0.1204,14.9382,0.2857,0.0716,0.0015,t3_4_calibrated_targeted_xgboost_performance.csv
WP3.4,Calibrated Targeted XGBoost,Calibrated Targeted XGBoost official balanced precision-recall threshold,official,0.25,4761,4558,33741,4111,0.8162,0.7011,0.5366,0.5109,0.8914,0.5234,0.7932,0.5844,0.1204,14.9382,0.2857,0.0716,0.0015,t3_4_calibrated_targeted_xgboost_performance.csv
WP3.4,Calibrated Targeted XGBoost,Calibrated Targeted XGBoost validation Youden threshold,recall sensitivity,0.16,6181,3138,29051,8801,0.7469,0.7154,0.4126,0.6633,0.7675,0.5087,0.7932,0.5844,0.1204,14.9382,0.2857,0.0716,0.0015,t3_4_calibrated_targeted_xgboost_performance.csv
WP3.4,Calibrated Targeted XGBoost,Calibrated Targeted XGBoost balanced precision-recall threshold,balanced precision-recall,0.25,4761,4558,33741,4111,0.8162,0.7011,0.5366,0.5109,0.8914,0.5234,0.7932,0.5844,0.1204,14.9382,0.2857,0.0716,0.0015,t3_4_calibrated_targeted_xgboost_performance.csv
