model_family,model,threshold_role,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,official_threshold
Calibrated Targeted CatBoost,Calibrated Targeted CatBoost official balanced precision-recall threshold,official,0.25,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,33624,4228,4567,4752,28.5832,0.8627,0.2353,0.005,True
Calibrated Targeted CatBoost,Calibrated Targeted CatBoost validation Youden threshold,recall sensitivity,0.18,0.7685,0.7104,0.4386,0.6143,0.8064,0.5118,0.79,0.5785,0.1211,30525,7327,3594,5725,28.5832,0.8627,0.2353,0.005,False
Calibrated Targeted CatBoost,Calibrated Targeted CatBoost balanced precision-recall threshold,balanced precision-recall,0.25,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,33624,4228,4567,4752,28.5832,0.8627,0.2353,0.005,False
Calibrated Targeted CatBoost,Calibrated Targeted CatBoost exploratory held-out F1 threshold,exploratory,0.25,0.8136,0.6991,0.5292,0.5099,0.8883,0.5194,0.79,0.5785,0.1211,33624,4228,4567,4752,28.5832,0.8627,0.2353,0.005,False
LightGBM,LightGBM default threshold,default,0.5,0.7784,0.7185,0.4552,0.6196,0.8174,0.5248,0.7997,0.592,0.1595,30942,6910,3545,5774,54.9898,0.5869,0.1461,0.0031,False
LightGBM,LightGBM official balanced precision-recall threshold,official,0.6,0.8204,0.7017,0.5495,0.5054,0.898,0.5266,0.7997,0.592,0.1595,33991,3861,4609,4710,54.9898,0.5869,0.1461,0.0031,True
LightGBM,LightGBM training Youden threshold,recall sensitivity,0.45,0.7466,0.7207,0.4138,0.6779,0.7636,0.5139,0.7997,0.592,0.1595,28903,8949,3002,6317,54.9898,0.5869,0.1461,0.0031,False
LightGBM,LightGBM balanced precision-recall threshold,balanced precision-recall,0.6,0.8204,0.7017,0.5495,0.5054,0.898,0.5266,0.7997,0.592,0.1595,33991,3861,4609,4710,54.9898,0.5869,0.1461,0.0031,False
LightGBM,LightGBM exploratory held-out F1 threshold,exploratory,0.55,0.8025,0.7113,0.5002,0.5605,0.8621,0.5286,0.7997,0.592,0.1595,32633,5219,4096,5223,54.9898,0.5869,0.1461,0.0031,False
Targeted LightGBM,Targeted LightGBM default threshold,default,0.5,0.8394,0.6722,0.6548,0.3958,0.9486,0.4933,0.7999,0.5945,0.1212,35908,1944,5631,3688,52.8694,0.5462,0.1231,0.0026,False
Targeted LightGBM,Targeted LightGBM official balanced precision-recall threshold,official,0.39,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,34059,3793,4648,4671,52.8694,0.5462,0.1231,0.0026,True
Targeted LightGBM,Targeted LightGBM training Youden threshold,recall sensitivity,0.29,0.7727,0.7192,0.4467,0.6306,0.8077,0.523,0.7999,0.5945,0.1212,30573,7279,3442,5877,52.8694,0.5462,0.1231,0.0026,False
Targeted LightGBM,Targeted LightGBM balanced precision-recall threshold,balanced precision-recall,0.39,0.8211,0.7005,0.5519,0.5012,0.8998,0.5253,0.7999,0.5945,0.1212,34059,3793,4648,4671,52.8694,0.5462,0.1231,0.0026,False
Targeted LightGBM,Targeted LightGBM exploratory held-out F1 threshold,exploratory,0.35,0.8069,0.7097,0.5105,0.549,0.8704,0.5291,0.7999,0.5945,0.1212,32947,4905,4203,5116,52.8694,0.5462,0.1231,0.0026,False
Calibrated Targeted LightGBM,Calibrated Targeted LightGBM default threshold,default,0.5,0.842,0.6414,0.7389,0.3098,0.9731,0.4366,0.7905,0.5825,0.1198,36832,1020,6432,2887,26.0327,0.6588,0.1248,0.0026,False
Calibrated Targeted LightGBM,Calibrated Targeted LightGBM official balanced precision-recall threshold,official,0.28,0.8135,0.7004,0.5287,0.5136,0.8873,0.521,0.7905,0.5825,0.1198,33586,4266,4533,4786,26.0327,0.6588,0.1248,0.0026,True
Calibrated Targeted LightGBM,Calibrated Targeted LightGBM validation Youden threshold,recall sensitivity,0.25,0.7986,0.7089,0.4914,0.5606,0.8572,0.5237,0.7905,0.5825,0.1198,32445,5407,4095,5224,26.0327,0.6588,0.1248,0.0026,False
Calibrated Targeted LightGBM,Calibrated Targeted LightGBM balanced precision-recall threshold,balanced precision-recall,0.28,0.8135,0.7004,0.5287,0.5136,0.8873,0.521,0.7905,0.5825,0.1198,33586,4266,4533,4786,26.0327,0.6588,0.1248,0.0026,False
Calibrated Targeted LightGBM,Calibrated Targeted LightGBM exploratory held-out F1 threshold,exploratory,0.25,0.7986,0.7089,0.4914,0.5606,0.8572,0.5237,0.7905,0.5825,0.1198,32445,5407,4095,5224,26.0327,0.6588,0.1248,0.0026,False
