mean_predicted_probability,observed_readmission_rate
0.0904,0.0233
0.1783,0.05
0.2275,0.0782
0.2748,0.0933
0.3244,0.1198
0.3797,0.141
0.4447,0.1866
0.5287,0.236
0.656,0.3502
0.8764,0.6973
