model,threshold_role,threshold,true_negatives,false_positives,false_negatives,true_positives
CatBoost default threshold,default,0.5,30549,7303,3434,5885
CatBoost official balanced precision-recall threshold,official,0.6,33837,4015,4566,4753
CatBoost training Youden threshold,recall sensitivity,0.47000000000000003,29176,8676,3124,6195
CatBoost balanced precision-recall threshold,balanced precision-recall,0.6,33837,4015,4566,4753
CatBoost exploratory held-out F1 threshold,exploratory,0.56,32729,5123,4153,5166
