mean_predicted_probability,observed_readmission_rate
0.0766,0.0208
0.1583,0.0522
0.2069,0.071
0.2527,0.0939
0.3028,0.1174
0.3602,0.1531
0.4296,0.1755
0.52,0.2436
0.6523,0.3502
0.8755,0.6979
