processed_feature_name,feature_importance
num__hemoglobin_lab_max_value,170
num__num_prn_pharmacy_orders,170
num__sodium_lab_std_value,169
num__wbc_lab_mean_value,169
num__hemoglobin_lab_first_value,168
num__hemoglobin_lab_min_value,168
num__wbc_lab_min_value,167
num__last_order_hours_from_admission,167
num__urea_nitrogen_lab_first_72h_mean,167
num__urea_nitrogen_lab_last_value,166
num__psych_diagnosis_group_count,165
num__creatinine_lab_first_72h_mean,164
num__creatinine_lab_last_to_first_ratio,164
num__previous_total_admissions,164
num__glucose_lab_value_range,163
num__min_previous_admission_gap_days_filled,162
num__previous_admission_los_days_filled,162
cat__race_UNKNOWN,162
num__sodium_lab_min_value,159
num__platelet_lab_first_24h_min,159
num__discharge_medication_continuity_score,158
num__platelet_lab_first_72h_max,157
num__microbiology_test_count,157
num__has_depression,157
num__platelet_lab_first_value,156
num__glucose_lab_first_24h_max,155
num__spo2_vital_rate_of_change_per_day,154
num__glucose_lab_max_value,153
num__hemoglobin_lab_first_72h_mean,152
num__last_safety_order_hours_from_admission,152
num__abnormal_lab_burden_score,152
num__glucose_lab_value_change,152
num__num_psychotropic_pharmacy_orders,152
num__hemoglobin_lab_first_72h_min,151
num__heart_rate_vital_rate_of_change_per_day,150
num__num_psych_diagnoses,150
num__sodium_lab_first_24h_mean,150
num__num_abnormal_lab_flags_last_48h,150
num__num_iv_pharmacy_orders,149
num__wbc_lab_first_value,148
num__orders_last_24h_before_discharge,148
num__previous_admission_late_order_count,148
num__platelet_lab_first_24h_max,148
num__wbc_lab_first_72h_mean,147
num__order_activity_duration_hours,147
num__systolic_bp_noninvasive_vital_rate_of_change_per_day,146
num__num_procedures,145
num__max_previous_los_days_filled,143
num__discharge_dayofweek,143
num__late_lab_order_share_last_12h,140
num__orders_after_72h_per_hospital_day,140
num__late_medication_change_intensity_score,138
num__emar_mean_delay_hours,138
num__glucose_lab_first_24h_mean,137
num__hemoglobin_lab_value_change,137
num__time_to_first_transfer_hours_filled,137
num__orders_first_72h_to_total_ratio,136
num__late_discontinued_medication_orders,136
num__delayed_administered_rate,136
num__hemoglobin_lab_value_range,135
num__potassium_lab_last_value,134
num__platelet_lab_first_72h_min,133
num__sodium_lab_first_value,132
num__potassium_lab_value_range,132
num__wbc_lab_first_24h_max,132
num__emar_administration_count_first_72h,131
num__admission_dayofweek,130
num__wbc_lab_first_72h_max,130
num__num_unique_drugs,128
num__wbc_lab_first_24h_min,127
num__hemoglobin_lab_first_24h_min,127
num__public_insurance_flag,126
num__admission_month,125
num__mean_bp_noninvasive_vital_rate_of_change_per_day,124
num__std_previous_admission_gap_days_filled,124
num__hemoglobin_lab_first_72h_max,123
