mean_predicted_probability,observed_readmission_rate
0.0642,0.0259
0.075,0.0562
0.0832,0.0729
0.0932,0.096
0.1058,0.1232
0.1233,0.1499
0.1494,0.1724
0.1969,0.2349
0.3205,0.3532
0.7232,0.6911
