model,threshold_role,threshold,true_negatives,false_positives,false_negatives,true_positives
Calibrated Targeted XGBoost default threshold,default,0.5,36679,1173,6314,3005
Calibrated Targeted XGBoost official validation F1 threshold,official,0.25,33741,4111,4558,4761
Calibrated Targeted XGBoost validation Youden threshold,recall sensitivity,0.16,29051,8801,3138,6181
Calibrated Targeted XGBoost exploratory held-out F1 threshold,exploratory,0.24,33453,4399,4448,4871
