hyperparameter,candidate_values
n_estimators,"[225, 300, 375, 450]"
learning_rate,"[0.01625, 0.02, 0.025, 0.03]"
max_depth,"[7, 8]"
min_child_weight,"[1, 6, 11]"
subsample,"[0.8, 0.9, 0.95]"
colsample_bytree,"[0.5, 0.6, 0.7]"
reg_alpha,"[0.0, 0.5, 1.0, 1.5]"
reg_lambda,"[7.5, 10.0, 15.0, 25.0]"
gamma,"[0.1, 0.15, 0.2, 0.3]"
scale_pos_weight_multiplier,"[0.3, 0.35, 0.4, 0.45, 0.5]"
