threshold,precision,recall_sensitivity,precision_recall_gap,f1_score,youden_index,sensitivity,specificity
0.01,0.20173954549070564,1.0,0.7982604545092944,0.3357458714705597,0.018038765404714274,1.0,0.01803876540471422
0.02,0.20365779878894308,1.0,0.7963422012110569,0.33839817096495833,0.029625328644776516,1.0,0.029625328644776586
0.03,0.205924867226454,0.9999474223822918,0.7940225551558379,0.34151881913518173,0.04303821641416783,0.9999474223822918,0.043090794031876094
0.04,0.20848819743665647,0.9998159783380215,0.791327780901365,0.3450287357625297,0.057846654025158095,0.9998159783380215,0.0580306756871367
0.05,0.21282457623796752,0.9991324693078156,0.7863078930698482,0.3509034336943375,0.08203902654582951,0.9991324693078156,0.08290655723801385
0.060000000000000005,0.22001787206387521,0.9967927653198033,0.7767748932559281,0.3604705882352941,0.1198478080191594,0.9967927653198033,0.12305504269935609
0.06999999999999999,0.23043869474998624,0.9896947869292042,0.759256092179218,0.3738344670075964,0.16947571215803237,0.9896947869292042,0.1797809252288281
0.08,0.2431715189254393,0.9804148374037173,0.737243318478278,0.3896888257298698,0.22317160438723116,0.9804148374037173,0.24275676698351395
0.09,0.2569663759507526,0.9689792055521964,0.7120128296014439,0.4062090170709397,0.27365493183268774,0.9689792055521964,0.3046757262804914
0.09999999999999999,0.27143731525990505,0.9559925339782854,0.6845552187183803,0.42282179628047045,0.3192078052774028,0.9559925339782854,0.3632152712991173
0.11,0.28611221965041106,0.9423749309918767,0.6562627113414656,0.43895450287456605,0.35885185898686633,0.9423749309918767,0.4164769279949896
0.12,0.30145224671108833,0.9276794868424512,0.6262272401313629,0.4550383948316881,0.3942017563996696,0.9276794868424512,0.4665222695572184
0.13,0.31729257322558235,0.9124319777070901,0.5951394044815077,0.4708499799900968,0.4252222126350982,0.9124319777070901,0.512790234928008
0.14,0.3333496179625975,0.8968952916743342,0.5635456737117368,0.4860490793175909,0.4517716299028165,0.8968952916743342,0.5548763382284824
0.15000000000000002,0.3490992165739978,0.87975498830148,0.5306557717274822,0.49985063480209113,0.4726856189732529,0.87975498830148,0.5929306306717728
0.16,0.36454611231702566,0.8609322011619653,0.4963860888449397,0.5122073290895726,0.4885050901697354,0.8609322011619653,0.6275728890077701
0.17,0.3811982245009376,0.8443702515839008,0.4631720270829632,0.5252622713557977,0.5042171993465066,0.8443702515839008,0.6598469477626059
0.18000000000000002,0.39812391752316656,0.8278871684323983,0.42976325090923173,0.537681406863582,0.5172876812161094,0.8278871684323983,0.689400512783711
0.19,0.4148592648404284,0.8105891322064197,0.3957298673659913,0.5488283509696252,0.5268618600722348,0.8105891322064197,0.7162727278658151
0.2,0.4310374441772587,0.7916611898314887,0.36062374565423,0.5581679842080387,0.5323335497456334,0.7916611898314887,0.7406723599141446
0.21000000000000002,0.44747288849681355,0.7734167564867636,0.32594386798995,0.5669358102248858,0.536420651294339,0.7734167564867636,0.7630038948075756
0.22,0.46364237449402507,0.7558032545545361,0.29216088006051105,0.5747241324164402,0.538822676400688,0.7558032545545361,0.7830194218461518
0.23,0.4804626017929241,0.738294907857725,0.2578323060648009,0.5821061031598802,0.5401751147979197,0.738294907857725,0.8018802069401948
0.24000000000000002,0.496560089799761,0.7210231604406004,0.22446307064083942,0.5881015942448511,0.5396112437646914,0.7210231604406004,0.818588083324091
0.25,0.512823461759632,0.7033307920818108,0.19050733032217881,0.5931558935361216,0.5375176776057833,0.7033307920818108,0.8341868855239724
0.26,0.52824464534919,0.6866111096506218,0.15836646430143175,0.5971056903134359,0.5344396076379785,0.6866111096506218,0.8478284979873566
0.27,0.5429484448231785,0.6699965824548489,0.12704813763167044,0.5998187787571047,0.5300314204321586,0.6699965824548489,0.8600348379773096
0.28,0.5570761913308804,0.6527511238465785,0.09567493251569814,0.6011306000411567,0.5239549912534978,0.6527511238465785,0.8712038674069194
0.29000000000000004,0.571310741386624,0.6373195930492389,0.06600885166261494,0.602512643992395,0.5186421313938478,0.6373195930492389,0.8813225383446089
0.3,0.5856789512738065,0.622492704855543,0.03681375358173644,0.6035249589009672,0.5132097539353375,0.622492704855543,0.8907170490797947
0.31,0.5991969952078746,0.6081127264123662,0.008915731204491628,0.6036219403997704,0.5071674037696381,0.6081127264123662,0.899054677357272
0.32,0.6115642019129163,0.5933647046452325,0.018199497267683773,0.6023270087796547,0.4998371311038281,0.5933647046452325,0.9064724264585956
0.33,0.6238745115804972,0.5792476142905965,0.04462689728990077,0.6007333996755593,0.49258325275850834,0.5792476142905965,0.9133356384679119
0.34,0.6355631722018674,0.5654722784510634,0.07009089375080402,0.5984725178414925,0.4850056844178825,0.5654722784510634,0.9195334059668191
0.35000000000000003,0.6478634585168982,0.5528273613922553,0.0950360971246429,0.5965843002638372,0.4782584324317187,0.5528273613922553,0.9254310710394634
0.36000000000000004,0.6588582613997369,0.5397618233917821,0.11909643800795477,0.5933932545302159,0.47040554309611604,0.5397618233917821,0.9306437197043339
0.37,0.6703759398496241,0.5273797944215147,0.14299614542810934,0.5903419457359779,0.4630273958854927,0.5273797944215147,0.935647601463978
0.38,0.6811977715877438,0.5143142564210416,0.1668835151667022,0.5861082400874789,0.4545808256631525,0.5143142564210416,0.9402665692421109
0.39,0.6922464056784847,0.5025105812455638,0.18973582443292092,0.5823128008286115,0.44706991997639145,0.5025105812455638,0.9445593387308276
0.4,0.7027189877231302,0.49054917321696156,0.21216981450616867,0.5777715851562862,0.4390489872839365,0.49054917321696156,0.948499814066975
0.41000000000000003,0.7118776338379897,0.47961302873366807,0.23226460510432168,0.5731069470840466,0.431440065352688,0.47961302873366807,0.95182703661902
0.42000000000000004,0.7222537035537926,0.46909750519203974,0.25315619836175285,0.5687783887162323,0.42433005195256457,0.46909750519203974,0.9552325467605248
0.43,0.7322861102944265,0.4583453823707248,0.27394072792370167,0.5638015780623464,0.41676162443595133,0.4583453823707248,0.9584162420652266
0.44,0.7418835407781356,0.4481453245353453,0.2937382162427903,0.5587623121425177,0.4094516834447992,0.4481453245353453,0.9613063589094539
0.45,0.7494817485353763,0.43720918005205184,0.31227256848332446,0.5522588786132926,0.40094245423476194,0.43720918005205184,0.9637332741827102
0.46,0.7565330605412443,0.42771892005573225,0.328814140485512,0.5464774540263666,0.3935594351880709,0.42771892005573225,0.9658405151323386
0.47000000000000003,0.7647256815886907,0.4180972160151424,0.3466284655735483,0.5406213882656876,0.3861754514128759,0.4180972160151424,0.9680782353977335
0.48000000000000004,0.7737331543090159,0.4090275769604879,0.364705577348528,0.5351516819151132,0.3793435326236163,0.4090275769604879,0.9703159556631284
0.49,0.782051282051282,0.40090433502458006,0.381146947026702,0.530075253306453,0.3731774804242056,0.40090433502458006,0.9722731453996255
0.5,0.788941263704253,0.391598096690239,0.397343167014014,0.5234012649332397,0.36560009302377017,0.391598096690239,0.9740019963335312
0.51,0.7974267725157405,0.38289650095954153,0.4145302715561989,0.5173699914748509,0.35875782754274477,0.38289650095954153,0.9758613265832033
0.52,0.8057236581641309,0.37451037093509293,0.431213287229038,0.5113424264178033,0.35210054845220196,0.37451037093509293,0.9775901775171091
0.53,0.813086837347641,0.3665185730434554,0.44656826430418556,0.5052730765049107,0.34560926269187897,0.3665185730434554,0.9790906896484235
0.54,0.8216564343324907,0.3588685296669208,0.4627879046655699,0.49955171719759206,0.3395380190361186,0.3588685296669208,0.9806694893691977
0.55,0.8274730716850316,0.35140250795236466,0.47607056373266693,0.4933109442178879,0.33322021530030743,0.35140250795236466,0.9818177073479427
0.56,0.8339497513072313,0.3438050421935382,0.49014470911369307,0.4868859477671674,0.326816635280744,0.3438050421935382,0.9830115930872059
0.5700000000000001,0.8402841731351138,0.3358132443019007,0.5044709288332132,0.47985575026765087,0.3199730553678515,0.3358132443019007,0.9841598110659507
0.5800000000000001,0.8476726828606324,0.3284260890139068,0.5192465938467256,0.47342592417151413,0.3137797858191207,0.3284260890139068,0.985353696805214
0.59,0.8545034642032333,0.32098635610820475,0.5335171080950285,0.46667176272741173,0.3074230312342805,0.32098635610820475,0.9864366751260757
0.6,0.8613596997690531,0.31375693367333524,0.5476027660957179,0.4599672415454283,0.30122439539396595,0.31375693367333524,0.9874674617206307
0.61,0.8671468884598248,0.306974420988985,0.5601724674708398,0.4534317056596447,0.2953030461936743,0.306974420988985,0.9883286252046894
0.62,0.8724575623183973,0.2999553090249481,0.5725022532934492,0.4464268247354109,0.28907333409002467,0.2999553090249481,0.9891180250650765
0.63,0.8779642322539982,0.29296248586976525,0.585001746384233,0.43932823464480014,0.2828568628636523,0.29296248586976525,0.989894376993887
0.64,0.8829311885612153,0.2857067746260417,0.5972244139351737,0.43171526177802494,0.2763057399250677,0.2857067746260417,0.990598965299026
0.65,0.8885628039577393,0.2785825074265885,0.6099802965311508,0.4241769238466927,0.2699121568939067,0.2785825074265885,0.9913296494673182
0.66,0.8940036341611145,0.27161597308025975,0.6223876610808547,0.41664650375030243,0.26362411498956373,0.27161597308025975,0.9920081419093039
0.67,0.899205428086778,0.26478088277820133,0.6344245453085766,0.4090982940698619,0.25741532540318435,0.26478088277820133,0.9926344426249829
0.68,0.9058899437736196,0.258366413417808,0.6475235303558116,0.4020618556701031,0.25170544434792985,0.258366413417808,0.9933390309301218
0.6900000000000001,0.9120806007033552,0.25226740976366363,0.6598131909396916,0.39522240527182867,0.2462327414094645,0.25226740976366363,0.9939653316458008
0.7000000000000001,0.9177059805558283,0.24566891874129182,0.6720370618145365,0.38758243125544356,0.24020183541067697,0.24566891874129182,0.994532916669385
0.7100000000000001,0.9225767120503963,0.23870238439496305,0.6838743276554332,0.37927361583926816,0.23373112246426064,0.23870238439496305,0.9950287380692976
0.72,0.9266680654637012,0.23220904860800756,0.6944590168556937,0.3713607029492758,0.22764879652196957,0.23220904860800756,0.995439747913962
0.73,0.9308182899146038,0.22637293304240386,0.7044453568722,0.3641784732501586,0.22219759493787694,0.22637293304240386,0.995824661895473
0.74,0.9341531581889324,0.21966928678461578,0.7144838714043167,0.355695555933935,0.2158266709352934,0.21966928678461578,0.9961573841506776
0.75,0.9394535772169483,0.21333368385078472,0.7261198933661637,0.3477087216402082,0.20992164974349148,0.21333368385078472,0.9965879658927068
0.76,0.9431273946360154,0.20707694734351587,0.7360504472924995,0.33959173115474983,0.20397806359406223,0.20707694734351587,0.9969011162505463
0.77,0.9483678788631004,0.20087278845395515,0.7474950904091452,0.3315255119750087,0.1981588186860126,0.20087278845395515,0.9972860302320574
0.78,0.952258726899384,0.1950629616972055,0.7571957652021785,0.3237983024590343,0.19263604642394916,0.1950629616972055,0.9975730847267437
