mean_predicted_probability,observed_readmission_rate
0.0371,0.022
0.0707,0.0526
0.0902,0.0795
0.1114,0.0888
0.1362,0.1208
0.1665,0.1435
0.2062,0.1802
0.2647,0.2357
0.3774,0.3515
0.7153,0.7009
