feature_family,processed_feature_count,total_mean_abs_shap,mean_abs_shap,max_mean_abs_shap
poe_order_pathway,176,1.4172338168888725,0.008052464868686776,0.5092080990442149
psychiatric_history,118,0.4884912567981369,0.004139756413543533,0.07058883564653091
prior_utilisation,134,0.4666015967801451,0.003482101468508546,0.0698299594462288
laboratory,136,0.4285855069006516,0.003151364021328321,0.01995347035963471
discharge_social,74,0.35571977801677196,0.004807024027253675,0.1341397592709425
other,98,0.2941197925712565,0.0030012223731760864,0.04443091376423475
medication_emar,70,0.20097747872935706,0.002871106838990815,0.025918002227282074
care_team_complexity,12,0.16894210016432562,0.014078508347027134,0.10687813430986416
ed_pathway,20,0.14082768261325454,0.007041384130662727,0.019521661827344577
procedure_comorbidity,45,0.12234879814961802,0.0027188621811026228,0.031476202279679975
admission_context,12,0.08682957202336332,0.00723579766861361,0.031075321153538903
vital_sign,72,0.07611403999576374,0.0010571394443856076,0.0035210998469858887
icu_care,6,0.029612311936481606,0.004935385322746935,0.021357086400204277
