finding_type,subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,calibration_direction,pr_auc_average_precision,recall_sensitivity,precision,f1_score,pr_auc_difference,recall_difference,classification_group,enrichment_ratio,subgroup_count_in_group,false_positive_admissions,readmitted_60d_psych_rate_among_30d_false_positives,readmitted_90d_psych_rate_among_30d_false_positives,readmitted_365d_psych_rate_among_30d_false_positives,interpretation_reliability
lowest_pr_auc,demographics,age_80plus,5476.0,700.0,0.12783053323593865,0.18721656507701176,,,0.3340200584381712,0.18714285714285714,0.4532871972318339,0.2649140546006067,,,,,,,,,,main_interpretation
lowest_pr_auc,demographics,age_70plus,11090.0,1520.0,0.13706041478809738,0.1997069654854726,,,0.37847726345749133,0.24144736842105263,0.4604767879548306,0.31678895123003886,,,,,,,,,,main_interpretation
lowest_pr_auc,medical_complexity,age_65plus_x_charlson,11407.0,1736.0,0.15218725344086964,0.2175943754030564,,,0.3820892503632611,0.27419354838709675,0.4335154826958106,0.3359209597741708,,,,,,,,,,main_interpretation
lowest_pr_auc,care_process,care_team_touchpoints_last_12h_before_discharge_high,4750.0,734.0,0.15452631578947368,0.22567997065040685,,,0.38821117494501334,0.39645776566757496,0.3844121532364597,0.3903420523138833,,,,,,,,,,main_interpretation
lowest_pr_auc,demographics,age_65plus,14783.0,2144.0,0.14503145504971926,0.20726665971610103,,,0.3907978845348333,0.2677238805970149,0.45161290322580644,0.33616398243045387,,,,,,,,,,main_interpretation
lowest_pr_auc,discharge_pathway,home_discharge_without_followup_order_flag,8116.0,1170.0,0.1441596845736816,0.2094814261501949,,,0.39505955233229884,0.36923076923076925,0.4467425025853154,0.4043051006083294,,,,,,,,,,main_interpretation
lowest_pr_auc,diagnosis,has_cognitive_delirium,6322.0,932.0,0.14742170199304017,0.20667697634479198,,,0.39554125161197157,0.26394849785407726,0.45724907063197023,0.3346938775510204,,,,,,,,,,main_interpretation
lowest_pr_auc,demographics,language_Russian,569.0,76.0,0.1335676625659051,0.19722544528653763,,,0.39735628012046975,0.25,0.5428571428571428,0.34234234234234234,,,,,,,,,,supporting_interpretation
lowest_pr_auc,care_process,late_order_type_diversity_last_12h_high,9714.0,1679.0,0.17284331892114474,0.24121378354915388,,,0.40594793896452236,0.4091721262656343,0.4222495390288875,0.41560798548094374,,,,,,,,,,main_interpretation
lowest_pr_auc,discharge_pathway,protective_aftercare_present_flag,34278.0,5927.0,0.17290973802438883,0.23908909249897137,,,0.41507309006903736,0.3919352117428716,0.4318646588585239,0.4109322483637007,,,,,,,,,,main_interpretation
