model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,model_family,matrix_set,processed_features,removed_processed_features,threshold_role,training_roc_auc,training_pr_auc_average_precision,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms
Targeted LightGBM shap_guided_reduced_feature_set,0.29,0.8043925293082614,0.7138723556270128,0.5044128933231006,0.564223629144758,0.8635210821092677,0.532644481588411,0.8000460380780343,0.5950303085551529,0.11829196081122087,32686,5166,4061,5258,Targeted LightGBM,shap_guided_reduced_feature_set,973,715,training_f1,0.8815569399298868,0.7121962944803291,30.314134738990106,0.38742472999729216,0.10193813800287899,0.0021610340676025313
Targeted LightGBM clean_feature_audit,0.29,0.803820143732378,0.7143650375638579,0.5030973029638807,0.5664770898165039,0.8622529853112121,0.5329093478699778,0.8002880359385263,0.5951870322689706,0.11826145854580124,32638,5214,4040,5279,Targeted LightGBM,clean_feature_audit,1618,70,training_f1,0.8821985083959915,0.7131689408590278,43.119311419999576,0.43377657199744135,0.09926415799418464,0.0021043471199292925
Targeted LightGBM runtime_trimmed_feature_audit,0.3,0.8078056432977889,0.710498609825582,0.5126613952557302,0.5496297886039274,0.8713674310472366,0.5305023303987572,0.7996672039684621,0.5945745031050687,0.11838406934708146,32983,4869,4197,5122,Targeted LightGBM,runtime_trimmed_feature_audit,1588,100,training_f1,0.8821122138172104,0.7125979093258406,42.85315735700715,0.43634162200032733,0.10676944199076388,0.0022634551311348896
Targeted LightGBM full_processed_matrix,0.3,0.8073392550507728,0.7093586701480628,0.5115835924180122,0.5473763279321816,0.8713410123639438,0.5288750648004147,0.7996889677018713,0.5943883709593745,0.1183963444148348,32982,4870,4218,5101,Targeted LightGBM,full_processed_matrix,1688,0,training_f1,0.8822326258265858,0.7127797664179369,42.990068291997886,0.4345959899947047,0.11843376599426847,0.002510732568617762
Targeted XGBoost shap_guided_reduced_feature_set,0.4,0.8071696593245851,0.7096169957697336,0.5111533460038011,0.5483420967915013,0.8708918947479658,0.5290950507351418,0.7983418629100363,0.5913007167185459,0.12687405943870544,32965,4887,4209,5110,Targeted XGBoost,shap_guided_reduced_feature_set,973,715,training_f1,0.8948121908044823,0.7339381564728453,41.18911006199778,0.35471323899400886,0.0877903460059315,0.0018611084353931757
Targeted XGBoost clean_feature_audit,0.41,0.8112611562188633,0.7076366165139002,0.5217118997912318,0.5363236398755231,0.8789495931522773,0.5289168739086724,0.7985248475158052,0.591418068512957,0.12683555483818054,33270,4582,4321,4998,Targeted XGBoost,clean_feature_audit,1618,70,training_f1,0.8936858279996485,0.732705839851719,61.56192996700702,0.4080125900072744,0.10021028299524914,0.0021244044645067767
Targeted XGBoost runtime_trimmed_feature_audit,0.4,0.8075724491742808,0.7102319736158574,0.5121048419367747,0.5493078656508209,0.871156081580894,0.5300543618949003,0.798001361263834,0.5911571903363815,0.12687264382839203,32975,4877,4200,5119,Targeted XGBoost,runtime_trimmed_feature_audit,1588,100,training_f1,0.8939521928839637,0.7330291422671638,62.117104207995,0.4190656660066452,0.11487633299839217,0.002435316889580297
Targeted XGBoost full_processed_matrix,0.41,0.8118335417947468,0.7077101573512539,0.5232204633609393,0.5355724863182745,0.8798478283842334,0.5293244246473645,0.7982518398079905,0.5908578653979232,0.12682993710041046,33304,4548,4328,4991,Targeted XGBoost,full_processed_matrix,1688,0,training_f1,0.8948262164133632,0.7343813738896825,62.99367879200145,0.4248385889950441,0.10641791400848888,0.0022560029257062365
