source_notebook,model_family,model_group,model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms,threshold_role_normalised,threshold_role,evaluation_subset,subset_admissions,precision_recall_gap,ensemble_members,ensemble_weights,ensemble_blend_note,recommended_threshold_label,threshold_selection_note
WP3.5,Hourly Clinical GRU,hourly_clinical_gru,Hourly Clinical GRU,0.49,0.4579567241851547,0.5440328098861367,0.1733917454461609,0.6684444444444444,0.419621175327829,0.2753570120834859,0.5500150018887271,0.171979929731826,0.2372464835643768,2592,3585,373,752,3.325619095005095,0.1684917079983279,0.0420384229946648,0.0057571107908333,validation_f1,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hourly Clinical GRU,hourly_clinical_gru,Hourly Clinical GRU,0.55,0.8459326211996713,0.5,0.0,0.0,1.0,0.0,0.5500150018887271,0.171979929731826,0.2372464835643768,6177,0,1125,0,3.325619095005095,0.1684917079983279,0.0420384229946648,0.0057571107908333,balanced_precision_recall,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hourly Clinical LSTM,hourly_clinical_lstm,Hourly Clinical LSTM,0.5,0.5190358805806629,0.5390590901732233,0.1743519781718963,0.568,0.5101181803464465,0.2668058455114822,0.5516173618980807,0.1711627050275798,0.2432122379541397,3151,3026,486,639,3.0147218519996386,0.1696808600099757,0.0420799380081007,0.005762796221323,default,default,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hourly Clinical LSTM,hourly_clinical_lstm,Hourly Clinical LSTM,0.49,0.4608326485894276,0.5395531811559009,0.1716487622606258,0.6533333333333333,0.4257730289784685,0.2718697984094692,0.5516173618980807,0.1711627050275798,0.2432122379541397,2630,3547,390,735,3.0147218519996386,0.1696808600099757,0.0420799380081007,0.005762796221323,validation_f1,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hourly Clinical LSTM,hourly_clinical_lstm,Hourly Clinical LSTM,0.57,0.8459326211996713,0.5,0.0,0.0,1.0,0.0,0.5516173618980807,0.1711627050275798,0.2432122379541397,6177,0,1125,0,3.0147218519996386,0.1696808600099757,0.0420799380081007,0.005762796221323,balanced_precision_recall,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hybrid Tabular + Hourly Clinical GRU,hybrid_tabular_hourly_clinical_gru,Hybrid Tabular + Hourly Clinical GRU,0.5,0.726650232812928,0.6810378285035886,0.3068736141906873,0.6151111111111112,0.7469645458960661,0.4094674556213017,0.7627240120159013,0.4323421513553908,0.1700544208288192,4614,1563,433,692,4.547916055991664,0.2526262780011166,0.0698592050030129,0.0095671329776791,default,default,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hybrid Tabular + Hourly Clinical GRU,hybrid_tabular_hourly_clinical_gru,Hybrid Tabular + Hourly Clinical GRU,0.6,0.7801972062448644,0.6632516323997626,0.3492462311557789,0.4942222222222222,0.8322810425773028,0.4092749355907251,0.7627240120159013,0.4323421513553908,0.1700544208288192,5141,1036,569,556,4.547916055991664,0.2526262780011166,0.0698592050030129,0.0095671329776791,validation_f1,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hybrid Tabular + Hourly Clinical GRU,hybrid_tabular_hourly_clinical_gru,Hybrid Tabular + Hourly Clinical GRU,0.66,0.8122432210353328,0.6422079758242945,0.3919156414762741,0.3964444444444444,0.8879715072041444,0.3941670349094123,0.7627240120159013,0.4323421513553908,0.1700544208288192,5485,692,679,446,4.547916055991664,0.2526262780011166,0.0698592050030129,0.0095671329776791,balanced_precision_recall,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hybrid Tabular + Hourly Clinical LSTM,hybrid_tabular_hourly_clinical_lstm,Hybrid Tabular + Hourly Clinical LSTM,0.5,0.7065187619830183,0.690585289514867,0.298015873015873,0.6675555555555556,0.7136150234741784,0.4120713305898491,0.7627300559422949,0.4349040962534598,0.1869153976440429,4408,1769,374,751,3.615333230001852,0.2486211729992646,0.0658464080042904,0.0090175853196782,default,default,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hybrid Tabular + Hourly Clinical LSTM,hybrid_tabular_hourly_clinical_lstm,Hybrid Tabular + Hourly Clinical LSTM,0.63,0.8163516844700082,0.6482713291241703,0.4042553191489361,0.4053333333333333,0.8912093249150073,0.4047936085219707,0.7627300559422949,0.4349040962534598,0.1869153976440429,5505,672,669,456,3.615333230001852,0.2486211729992646,0.0658464080042904,0.0090175853196782,validation_f1,validation_f1,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.5,Hybrid Tabular + Hourly Clinical LSTM,hybrid_tabular_hourly_clinical_lstm,Hybrid Tabular + Hourly Clinical LSTM,0.63,0.8163516844700082,0.6482713291241703,0.4042553191489361,0.4053333333333333,0.8912093249150073,0.4047936085219707,0.7627300559422949,0.4349040962534598,0.1869153976440429,5505,672,669,456,3.615333230001852,0.2486211729992646,0.0658464080042904,0.0090175853196782,balanced_precision_recall,balanced_precision_recall,admissions_with_first72h_hourly_clinical_sequence,7302.0,,,,,,
WP3.6,Ensemble - boosting top 3 average,ensemble_boosting_top_3_average,Ensemble - boosting top 3 average,0.34,0.8157978418943843,0.7070256344971679,0.5342540234884733,0.527202489537504,0.8868487794568318,0.5307048339184445,0.8008056964158259,0.5956653307585954,0.11927398808768919,33569,4283,4406,4913,,,,,ensemble_threshold_search,,,,0.0070515339509692465,"Targeted LightGBM, Targeted XGBoost, Targeted CatBoost",equal weights,simple average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
WP3.6,Ensemble - boosting plus neural average,ensemble_boosting_plus_neural_average,Ensemble - boosting plus neural average,0.4,0.8134235017277565,0.7088626359102203,0.52734375,0.5360017169224166,0.8817235548980239,0.5316374860305465,0.8006838002312324,0.5960524353459108,0.12552481610784222,33375,4477,4324,4995,,,,,ensemble_threshold_search,,,,0.008657966922416604,"Targeted LightGBM, Targeted XGBoost, Targeted CatBoost, PyTorch MLP - current_reference",equal weights,simple average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
WP3.6,Ensemble - LightGBM/XGBoost average,ensemble_lightgbm/xgboost_average,Ensemble - LightGBM/XGBoost average,0.34,0.8153526531131415,0.7061820155483944,0.5331374469474371,0.5257001824230068,0.8866638486737821,0.5293926950507889,0.8007348204097089,0.5955439184387039,0.1192141973884241,33562,4290,4420,4899,,,,,ensemble_threshold_search,,,,0.007437264524430387,"Targeted LightGBM, Targeted XGBoost",equal weights,simple average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
WP3.6,Ensemble - LightGBM-heavy blend 50,ensemble_lightgbm-heavy_blend_50,Ensemble - LightGBM-heavy blend 50,0.38,0.8128299166860995,0.7082096629570213,0.5258275353152013,0.535250563365168,0.8811687625488746,0.5304972081893113,0.80138249913702,0.5964790342960908,0.12278740412405476,33354,4498,4331,4988,,,,,ensemble_threshold_search,,,,0.009423028049966642,"Targeted LightGBM, Targeted XGBoost, Targeted CatBoost, PyTorch MLP - current_reference","Targeted LightGBM: 0.625, Targeted XGBoost: 0.125, Targeted CatBoost: 0.125, PyTorch MLP - current_reference: 0.125",0.50 targeted lightgbm plus 0.50 boosting-neural average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
WP3.6,Ensemble - LightGBM-heavy blend 60,ensemble_lightgbm-heavy_blend_60,Ensemble - LightGBM-heavy blend 60,0.38,0.8135082995908504,0.7065292487283964,0.5279144385026738,0.529670565511321,0.8833879319454718,0.5287910439766458,0.801271795243621,0.5962708820032356,0.122376823340582,33438,4414,4383,4936,,,,,ensemble_threshold_search,,,,0.0017561270086471348,"Targeted LightGBM, Targeted XGBoost, Targeted CatBoost, PyTorch MLP - current_reference","Targeted LightGBM: 0.700, Targeted XGBoost: 0.100, Targeted CatBoost: 0.100, PyTorch MLP - current_reference: 0.100",0.60 targeted lightgbm plus 0.40 boosting-neural average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
WP3.6,Ensemble - LightGBM-heavy blend 70,ensemble_lightgbm-heavy_blend_70,Ensemble - LightGBM-heavy blend 70,0.38,0.8152466557842742,0.7062777467756478,0.5328189524016518,0.5261294130271489,0.8864260805241467,0.529453053290859,0.8010646187895981,0.5959595361149822,0.12201187642820417,33553,4299,4416,4903,,,,,ensemble_threshold_search,,,,0.006689539374502895,"Targeted LightGBM, Targeted XGBoost, Targeted CatBoost, PyTorch MLP - current_reference","Targeted LightGBM: 0.775, Targeted XGBoost: 0.075, Targeted CatBoost: 0.075, PyTorch MLP - current_reference: 0.075",0.70 targeted lightgbm plus 0.30 boosting-neural average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
WP3.6,Ensemble - LightGBM-heavy blend 80,ensemble_lightgbm-heavy_blend_80,Ensemble - LightGBM-heavy blend 80,0.37,0.8131903076042484,0.707948887958554,0.5268395976707253,0.5339628715527417,0.8819349043643665,0.5303773182690258,0.800763129989209,0.5955611776209045,0.12169256338692126,33383,4469,4343,4976,,,,,ensemble_threshold_search,,,,0.00712327388201639,"Targeted LightGBM, Targeted XGBoost, Targeted CatBoost, PyTorch MLP - current_reference","Targeted LightGBM: 0.850, Targeted XGBoost: 0.050, Targeted CatBoost: 0.050, PyTorch MLP - current_reference: 0.050",0.80 targeted lightgbm plus 0.20 boosting-neural average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
WP3.6,Ensemble - LightGBM-heavy blend 90,ensemble_lightgbm-heavy_blend_90,Ensemble - LightGBM-heavy blend 90,0.37,0.8138262915774522,0.7059993881434083,0.5288740724809119,0.5277390277926817,0.884259748494135,0.5283059404877001,0.8003698632670556,0.5950757384051927,0.12141888421673327,33471,4381,4401,4918,,,,,ensemble_threshold_search,,,,0.0011350446882302245,"Targeted LightGBM, Targeted XGBoost, Targeted CatBoost, PyTorch MLP - current_reference","Targeted LightGBM: 0.925, Targeted XGBoost: 0.025, Targeted CatBoost: 0.025, PyTorch MLP - current_reference: 0.025",0.90 targeted lightgbm plus 0.10 boosting-neural average,ensemble closest usable precision-recall threshold,Exploratory ensemble selected by closest usable precision-recall balance.
