mean_predicted_probability,observed_readmission_rate
0.0453,0.0229
0.0815,0.0532
0.1036,0.0776
0.1268,0.0937
0.1534,0.1109
0.1862,0.1497
0.2296,0.1844
0.293,0.2298
0.4111,0.353
0.7417,0.7004
