model,threshold_role,threshold,true_negatives,false_positives,false_negatives,true_positives
Targeted CatBoost default threshold,default,0.5,36273,1579,5888,3431
Targeted CatBoost official balanced precision-recall threshold,official,0.35000000000000003,33776,4076,4510,4809
Targeted CatBoost training Youden threshold,recall sensitivity,0.26,30000,7852,3315,6004
Targeted CatBoost balanced precision-recall threshold,balanced precision-recall,0.35000000000000003,33776,4076,4510,4809
Targeted CatBoost exploratory held-out F1 threshold,exploratory,0.34,33466,4386,4391,4928
