model,threshold_role,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms
Targeted CatBoost default threshold,default,0.5,0.8417,0.6632,0.6848,0.3682,0.9583,0.4789,0.7979,0.5912,0.1202,36273,1579,5888,3431,49.5074,0.9577,0.2183,0.0046
Targeted CatBoost official balanced precision-recall threshold,official,0.35,0.818,0.7042,0.5412,0.516,0.8923,0.5283,0.7979,0.5912,0.1202,33776,4076,4510,4809,49.5074,0.9577,0.2183,0.0046
Targeted CatBoost training Youden threshold,recall sensitivity,0.26,0.7633,0.7184,0.4333,0.6443,0.7926,0.5181,0.7979,0.5912,0.1202,30000,7852,3315,6004,49.5074,0.9577,0.2183,0.0046
Targeted CatBoost balanced precision-recall threshold,balanced precision-recall,0.35,0.818,0.7042,0.5412,0.516,0.8923,0.5283,0.7979,0.5912,0.1202,33776,4076,4510,4809,49.5074,0.9577,0.2183,0.0046
Targeted CatBoost exploratory held-out F1 threshold,exploratory,0.34,0.8139,0.7065,0.5291,0.5288,0.8841,0.529,0.7979,0.5912,0.1202,33466,4386,4391,4928,49.5074,0.9577,0.2183,0.0046
