model,threshold,true_negatives,false_positives,false_negatives,true_positives
Regularised Random Forest default threshold,0.5,33012,4840,4382,4937
Regularised Random Forest training Youden threshold,0.43,29889,7963,3420,5899
Regularised Random Forest balanced precision-recall threshold,0.53,33971,3881,4792,4527
Regularised Random Forest held-out F1 threshold,0.49,32667,5185,4259,5060
Regularised Random Forest recall-oriented threshold,0.3,20163,17689,1560,7759
