processed_feature_name,clean_train_nonzero_count,clean_test_nonzero_count,clean_train_nonzero_percent,clean_test_nonzero_percent,all_zero_train,near_zero_train,core_rapid_trial_keep,clinically_relevant_extra_candidate,explicit_aftercare_addback_candidate,rapid_trial_mean_abs_shap,high_recent_shap_signal,extra_keep_after_sparsity_check,keep_in_primary_reduced_matrix,primary_reduced_selection_reason
num__platelet_lab_first_72h_count,191320,47171,100.0,100.0,False,False,False,False,False,0.0004398150705548646,False,False,False,removed_not_selected_by_signal_or_family_rule
num__potassium_lab_first_72h_count,191320,47171,100.0,100.0,False,False,False,False,False,0.000985523469739067,False,False,False,removed_not_selected_by_signal_or_family_rule
num__sodium_lab_first_72h_count,191320,47171,100.0,100.0,False,False,False,False,False,0.001009158921302205,False,False,False,removed_not_selected_by_signal_or_family_rule
num__urea_nitrogen_lab_first_72h_count,191320,47171,100.0,100.0,False,False,False,False,False,0.0001614676294042072,False,False,False,removed_not_selected_by_signal_or_family_rule
num__wbc_lab_first_72h_count,191320,47171,100.0,100.0,False,False,False,False,False,0.0003148623239260216,False,False,False,removed_not_selected_by_signal_or_family_rule
num__creatinine_lab_first_72h_max,191320,47171,100.0,100.0,False,False,False,False,False,0.001169432948186188,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_first_72h_max,191320,47171,100.0,100.0,False,False,True,False,False,0.002411394260262108,False,False,True,kept_rapid_trial_core
num__hemoglobin_lab_first_72h_max,191320,47171,100.0,100.0,False,False,True,False,False,0.002320024122527754,False,False,True,kept_rapid_trial_core
num__platelet_lab_first_72h_max,191320,47171,100.0,100.0,False,False,True,False,False,0.002382060587706721,False,False,True,kept_rapid_trial_core
num__potassium_lab_first_72h_max,191320,47171,100.0,100.0,False,False,True,False,False,0.002814794808583796,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__sodium_lab_first_72h_max,191320,47171,100.0,100.0,False,False,True,False,False,0.001347152044344486,False,False,True,kept_rapid_trial_core
num__urea_nitrogen_lab_first_72h_max,191320,47171,100.0,100.0,False,False,True,False,False,0.001448668043344212,False,False,True,kept_rapid_trial_core
num__wbc_lab_first_72h_max,191320,47171,100.0,100.0,False,False,True,False,False,0.002708613423746646,False,False,True,kept_rapid_trial_core
num__creatinine_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.001868349895583683,False,False,True,kept_rapid_trial_core
num__glucose_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.003505263586548881,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hemoglobin_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.003182758417640492,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__platelet_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.002336826819507579,False,False,True,kept_rapid_trial_core
num__potassium_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.001728403755712166,False,False,True,kept_rapid_trial_core
num__sodium_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.003816823831285056,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__urea_nitrogen_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.002204180335225638,False,False,True,kept_rapid_trial_core
num__wbc_lab_first_72h_mean,191320,47171,100.0,100.0,False,False,True,False,False,0.00167194339929613,False,False,True,kept_rapid_trial_core
num__creatinine_lab_first_72h_min,191320,47171,100.0,100.0,False,False,False,False,False,0.0006499117889040512,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_first_72h_min,191320,47171,100.0,100.0,False,False,True,False,False,0.006617276385529291,True,False,True,kept_rapid_trial_core; kept_high_recent_shap_signal
num__hemoglobin_lab_first_72h_min,191320,47171,100.0,100.0,False,False,True,False,False,0.002149931576884634,False,False,True,kept_rapid_trial_core
num__platelet_lab_first_72h_min,191320,47171,100.0,100.0,False,False,True,False,False,0.00148476418124374,False,False,True,kept_rapid_trial_core
num__potassium_lab_first_72h_min,191320,47171,100.0,100.0,False,False,True,False,False,0.001577607842965457,False,False,True,kept_rapid_trial_core
num__sodium_lab_first_72h_min,191320,47171,100.0,100.0,False,False,True,False,False,0.002426093318154668,False,False,True,kept_rapid_trial_core
num__urea_nitrogen_lab_first_72h_min,191320,47171,100.0,100.0,False,False,False,False,False,0.001124959004981453,False,False,False,removed_not_selected_by_signal_or_family_rule
num__wbc_lab_first_72h_min,191320,47171,100.0,100.0,False,False,True,False,False,0.00235213078577139,False,False,True,kept_rapid_trial_core
num__creatinine_lab_first_value,191320,47171,100.0,100.0,False,False,False,False,False,0.001111575063368686,False,False,False,removed_not_selected_by_signal_or_family_rule
num__glucose_lab_first_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002665822969150446,False,False,True,kept_rapid_trial_core
num__hemoglobin_lab_first_value,191320,47171,100.0,100.0,False,False,True,False,False,0.002433471447769376,False,False,True,kept_rapid_trial_core
num__platelet_lab_first_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001498545029264314,False,False,True,kept_rapid_trial_core
num__potassium_lab_first_value,191320,47171,100.0,100.0,False,False,True,False,False,0.001539169515469572,False,False,True,kept_rapid_trial_core
