processed_feature_name,train_nonzero_count,test_nonzero_count,train_nonzero_percent,test_nonzero_percent,all_zero_train,all_zero_test,very_rare_train,rare_train,timing_or_leakage_flags,has_timing_or_leakage_flag,feature_family,random_forest_importance,random_forest_importance_normalised,regularised_random_forest_importance,regularised_random_forest_importance_normalised,xgboost_importance,xgboost_importance_normalised,targeted_xgboost_importance,targeted_xgboost_importance_normalised,catboost_importance,catboost_importance_normalised,targeted_catboost_importance,targeted_catboost_importance_normalised,lightgbm_importance,lightgbm_importance_normalised,targeted_lightgbm_importance,targeted_lightgbm_importance_normalised,available_model_signal_count,mean_available_model_signal,removal_review_reason,review_for_removal
num__had_social_work_discharge_plan_order,0,0,0.0,0.0,True,True,True,True,,False,had_social_work_discharge_plan_order,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_snf_or_rehab_placement_order,0,0,0.0,0.0,True,True,True,True,,False,had_snf_or_rehab_placement_order,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_transport_arranged_order,0,0,0.0,0.0,True,True,True,True,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__num_intramuscular_pharmacy_orders,0,0,0.0,0.0,True,True,True,True,,False,pharmacy_complexity_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__num_subcutaneous_pharmacy_orders,0,0,0.0,0.0,True,True,True,True,,False,pharmacy_complexity_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__abnormal_microbiology_interpretation,0,0,0.0,0.0,True,True,True,True,,False,infection_microbiology_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__had_restraint_related_procedure,0,0,0.0,0.0,True,True,True,True,,False,procedure_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__emar_refused_event_count,0,0,0.0,0.0,True,True,True,True,,False,emar_process_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__emar_psychotropic_refused_count,0,0,0.0,0.0,True,True,True,True,,False,emar_process_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__dose_due_to_given_gap_count,0,0,0.0,0.0,True,True,True,True,,False,emar_process_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__emar_refusal_rate,0,0,0.0,0.0,True,True,True,True,,False,emar_process_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__emar_psychotropic_refusal_rate,0,0,0.0,0.0,True,True,True,True,,False,emar_process_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__discharge_planning_order_proportion,0,0,0.0,0.0,True,True,True,True,,False,healthcare_intensity_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__discharge_planning_order_density_per_day,0,0,0.0,0.0,True,True,True,True,,False,discharge_planning_order_density_per_day,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__discharge_planning_and_psych_followup_flag,0,0,0.0,0.0,True,True,True,True,,False,psychiatric_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__previous_ed_visits_without_admission_30d,0,0,0.0,0.0,True,True,True,True,,False,utilisation_trajectory_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__previous_ed_visits_without_admission_90d,0,0,0.0,0.0,True,True,True,True,,False,utilisation_trajectory_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__prior_ed_only_high_use_flag,0,0,0.0,0.0,True,True,True,True,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__late_transport_or_placement_activity_flag,0,0,0.0,0.0,True,True,True,True,,False,late_transport_or_placement_activity_flag,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__prior_ed_only_use_with_current_self_harm_flag,0,0,0.0,0.0,True,True,True,True,,False,psychiatric_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__prior_ed_only_use_with_current_smi_flag,0,0,0.0,0.0,True,True,True,True,,False,ed_timing_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__prior_ed_only_use_with_current_psychosis_flag,0,0,0.0,0.0,True,True,True,True,,False,psychiatric_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__prior_ed_only_use_with_substance_use_flag,0,0,0.0,0.0,True,True,True,True,,False,psychiatric_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__ed_heavy_low_inpatient_psych_history_flag,0,0,0.0,0.0,True,True,True,True,,False,discharge_continuity_and_mixed_risk_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
num__ed_heavy_home_discharge_no_followup_flag,0,0,0.0,0.0,True,True,True,True,,False,discharge_continuity_and_mixed_risk_features,,,,,,,,,,,,,,,,,0,,all_zero_in_training; very_rare_and_low_recorded_model_signal,True
cat__last_careunit_before_discharge_UNKNOWN,191317,47170,99.99843194647711,99.99788005342265,False,False,False,False,full_record_not_early_prediction,True,icu_care_features,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.299577303692007e-05,1.440127672033595e-05,0.0,0.0,0.0,0.0,0.0,0.0,8,1.8001595900419937e-06,full_record_only_not_for_early_prediction,True
num__self_harm_and_late_safety_order_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,safety_observation_features,5.199762081073195e-07,2.7634709382472838e-05,3.3341526001855117e-20,1.1664143595524228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.4543386728092504e-06,full_record_only_not_for_early_prediction,True
num__late_safety_order_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,safety_observation_features,1.9708506085415537e-05,0.001047430304581832,1.997541810784074e-05,0.0006988166803688751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.00021828087311883838,full_record_only_not_for_early_prediction,True
num__late_care_team_activity_flag,191320,47171,100.0,100.0,False,False,False,False,full_record_not_early_prediction,True,late_care_team_activity_flag,3.102680251404973e-05,0.0016489536582146409,3.1759976970892944e-05,0.0011110857132286805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.00034500492143041514,full_record_only_not_for_early_prediction,True
