mean_predicted_probability,observed_readmission_rate
0.0264,0.0248
0.0519,0.0577
0.0712,0.0793
0.0914,0.0975
0.1142,0.1276
0.1414,0.1448
0.1775,0.1806
0.2325,0.2251
0.3421,0.347
0.6889,0.6911
