processed_feature_name,feature_importance
num__order_activity_last_48h_to_total_ratio,167
num__late_discontinued_medication_orders,167
num__emar_administration_count_first_24h,165
num__late_order_severity_score_last_12h,165
num__hemoglobin_lab_value_range,165
num__urea_nitrogen_lab_last_value,164
num__num_scheduled_pharmacy_orders,164
num__urea_nitrogen_lab_min_value,164
num__glucose_lab_value_range,164
num__last_safety_order_hours_from_admission,162
num__hemoglobin_lab_first_24h_min,162
num__admission_frequency_acceleration,161
num__emar_administration_count_first_72h,160
num__max_previous_los_days_filled,159
num__hemoglobin_lab_first_72h_mean,159
num__platelet_lab_first_72h_min,159
num__mean_bp_noninvasive_vital_rate_of_change_per_day,159
num__ed_visit_to_admission_ratio_365d,158
num__platelet_lab_first_24h_min,158
num__wbc_lab_first_24h_max,157
num__platelet_lab_first_value,157
num__wbc_lab_first_72h_mean,156
num__microbiology_test_count,156
num__first_safety_order_hours_from_admission,155
num__hemoglobin_lab_max_value,155
num__spo2_vital_rate_of_change_per_day,154
num__potassium_lab_first_24h_max,153
num__days_since_previous_icu_admission_filled,151
num__order_activity_duration_hours,151
num__hemoglobin_lab_value_change,150
num__num_psych_diagnoses,149
num__glucose_lab_first_24h_mean,149
num__late_lab_order_share_last_12h,147
num__num_provider_order_changes,145
num__potassium_lab_first_24h_min,144
num__previous_total_admissions,143
num__glucose_lab_value_change,143
num__abnormal_lab_burden_score,143
num__wbc_lab_first_24h_mean,143
num__potassium_lab_max_value,142
num__urea_nitrogen_lab_first_24h_mean,142
num__medical_complexity_score,142
num__hemoglobin_lab_first_72h_max,141
num__orders_last_12h_before_discharge,140
num__orders_after_72h_per_hospital_day,140
num__systolic_bp_noninvasive_vital_rate_of_change_per_day,139
num__sodium_lab_first_24h_mean,139
num__hemoglobin_lab_first_24h_max,138
num__num_unique_careunits,137
num__hemoglobin_lab_first_72h_min,135
num__potassium_lab_first_24h_mean,135
num__sodium_lab_max_value,134
num__sodium_lab_min_value,133
num__hemoglobin_lab_first_value,132
num__hemoglobin_lab_first_24h_mean,131
num__quiet_risk_summary_score,130
num__potassium_lab_first_72h_max,130
num__previous_nonpsych_admissions,130
num__delayed_administered_rate,127
num__urea_nitrogen_lab_max_value,126
num__num_medication_frequency_types,125
num__orders_last_6h_before_discharge,124
num__num_unique_order_subtypes,124
num__orders_first_72h_to_total_ratio,122
num__potassium_lab_value_range,122
num__potassium_lab_first_72h_min,122
num__platelet_lab_first_72h_mean,122
num__emar_delayed_or_not_given_last_24h,120
num__num_lab_events_last_48h_before_discharge,118
num__discontinued_orders_per_hospital_day,118
num__last_order_hours_from_admission_filled,117
num__num_discontinued_pharmacy_orders,117
num__creatinine_lab_first_24h_mean,117
num__num_care_team_touchpoints,116
num__systolic_bp_arterial_vital_rate_of_change_per_day,116
num__emar_unique_medication_count,116
num__platelet_lab_first_24h_mean,115
num__potassium_lab_min_value,114
num__num_scheduled_psychotropic_orders,114
num__num_psychotropic_pharmacy_orders,112
num__sodium_lab_first_value,111
num__num_iv_pharmacy_orders,110
num__days_since_previous_icu_admission,110
num__urea_nitrogen_lab_first_24h_min,110
num__psych_diagnosis_group_count,109
num__emar_mean_delay_hours,109
num__safety_order_proportion,108
num__potassium_lab_value_change,107
num__charlson_comorbidity_index_simplified,106
cat__gender_F,106
num__num_abnormal_lab_flags_last_48h,106
num__num_prescription_rows,105
num__num_unique_pharmacy_medications,105
num__has_depression,105
num__num_dose_due_records,103
num__num_steroid_prescriptions,103
num__latest_weight_kg_before_admission_filled,103
num__urea_nitrogen_lab_first_24h_max,102
num__discharge_medication_continuity_score,101
num__sodium_lab_first_72h_max,99
num__potassium_lab_first_value,99
num__num_unique_order_providers_first_72h,99
num__not_married_flag,99
num__num_medication_route_types,97
num__emar_infusion_administration_count,96
num__num_unique_poe_order_categories,96
num__num_critical_or_priority_labs,95
num__emar_total_delay_hours,95
num__pharmacy_infusion_complexity_score,93
num__num_psych_med_classes,92
num__urea_nitrogen_lab_first_72h_max,91
cat__race_UNKNOWN,90
num__num_started_emar_events,90
num__elixhauser_psychoses,90
cat__anchor_year_group_2008 - 2010,89
num__num_abnormal_lab_flags,89
num__num_stopped_emar_events,88
num__sodium_lab_first_72h_min,88
num__num_lab_events_last_24h_before_discharge,87
cat__last_service_OMED,87
num__num_antibiotic_prescriptions,87
num__late_orders_without_prior_psych_history_flag,87
num__orders_after_72h_to_total_ratio,86
num__emar_administered_event_count,86
num__prior_instability_score,85
num__drg_severity,85
num__ed_only_crisis_pattern_score,85
num__psychiatric_aftercare_planning_score,83
num__medicaid_flag,83
num__late_medical_to_psych_order_ratio_last_12h,83
num__elixhauser_solid_tumour,81
num__num_unique_order_types,80
num__urea_nitrogen_lab_value_range,79
num__num_unique_drugs,79
num__num_unique_order_providers_first_24h,79
num__late_nonroutine_order_count_last_12h,79
num__num_infusion_pharmacy_orders,78
num__emar_administration_record_count,78
num__num_lab_events_first_24h,78
num__previous_psych_admissions_180d,77
num__previous_psych_admissions_90d,77
num__psychotropic_pharmacy_orders_per_day,77
num__num_lab_events_first_72h,77
num__sodium_lab_first_24h_max,76
num__has_cancer,76
num__emar_missed_or_not_given_count_first_72h,76
num__num_unique_order_providers,75
num__sodium_lab_value_range,75
num__last_order_close_to_discharge_hours_filled,75
num__safety_order_activity_duration_hours,75
num__num_transfer_events,75
num__num_unique_procedure_codes,74
cat__anchor_year_group_2011 - 2013,73
num__height_change_recent,73
num__num_pharmacy_records,72
cat__drg_mortality_category_Moderate,71
num__num_procedures,71
num__quiet_smi_psychosis_low_activity_score,71
num__previous_total_admissions_365d,69
num__physical_comorbidity_count,69
num__older_medical_complexity_score,69
num__heart_rate_vital_first_value,69
cat__marital_status_Unknown,68
num__num_unique_enter_providers,68
num__mean_bp_noninvasive_vital_relative_range,68
num__num_recurrent_psych_diagnosis_groups,67
num__creatinine_lab_first_24h_max,67
num__late_discontinued_lab_orders,67
num__late_psych_safety_activity_score_near_discharge,66
num__new_substance_use_this_admission_flag,65
num__num_prn_psychotropic_orders,65
num__discharged_to_psych_facility_flag,64
num__num_prn_benzodiazepine_orders,64
num__num_floor_stock_pharmacy_orders,64
num__depression_without_antidepressant_continuity_flag,62
num__public_insurance_flag,62
num__late_clinical_order_count_last_12h,60
num__drg_mortality,60
num__late_medication_orders_last_12h,60
num__systolic_bp_noninvasive_vital_first_value,59
num__previous_ed_visits_180d,59
num__late_lab_order_share_last_6h,59
num__antipsychotic_prescription_count,59
num__chart_acuity_event_density_per_day,59
num__late_clinical_order_count_last_6h,58
num__emergency_room_admission_flag,58
num__mean_bp_noninvasive_vital_mean_value,58
num__latest_bmi_before_admission_filled,57
num__prn_psychotropic_orders_last_24h_before_discharge,57
num__num_careunit_transfers,57
num__emar_not_given_event_count,56
num__mean_oxygen_flow_rate,56
num__late_imaging_order_share_last_12h,56
num__low_order_activity_with_self_harm_flag,56
cat__discharge_location_grouped_Other,56
num__prior_discharge_instability_score,56
num__late_order_type_diversity_last_6h,55
num__late_medication_orders_last_6h,55
num__new_antidepressant_started_flag,55
num__pharmacy_logistics_complexity_score,55
num__emar_missed_or_not_given_count_first_24h,54
num__heart_rate_72h_std,54
num__previous_total_admissions_180d,53
cat__first_service_VSURG,53
num__rass_extreme_flag,52
num__late_order_type_diversity_last_12h,52
num__num_distinct_specimen_types,52
num__respiratory_rate_vital_mean_value,52
num__orders_after_72h_count,52
num__psychotropic_medication_change_count,51
num__medicine_service_involved_anytime,51
cat__first_service_OBS,50
num__antipsychotic_plus_benzodiazepine,50
num__late_discharge_admin_orders_last_12h,50
num__previous_ed_visits_365d,50
num__substance_use_on_current_and_previous_admission_flag,50
num__systolic_bp_noninvasive_vital_max_value,49
num__elixhauser_valvular_disease,49
num__heart_rate_vital_last_value,49
num__spo2_vital_mean_value,48
num__num_abnormal_labs,47
cat__race_WHITE,46
num__late_consult_order_share_last_12h,46
num__depression_and_previous_psych_365d,46
num__emar_nonpsychotropic_not_given_count,46
num__safety_order_density_per_day,46
num__previous_psych_admissions_60d,46
num__mean_bp_noninvasive_vital_min_value,45
num__elixhauser_depression,45
num__discharged_against_advice,44
num__finer_substance_use_category_count,44
num__no_recent_psych_history_and_long_ed_los,43
num__mean_bp_noninvasive_72h_min,43
num__psychotropic_orders_last_48h_before_discharge,43
num__previous_total_admissions_90d,43
num__previous_weight_kg_before_admission_filled,43
num__psychosis_or_self_harm_low_aftercare_quality_flag,43
num__emar_new_iv_bag_count,42
num__age_65plus_x_charlson,42
num__low_order_activity_with_smi_flag,42
num__emar_started_stopped_activity_last_24h,42
num__icu_event_density_per_day,42
num__systolic_bp_noninvasive_vital_last_value,41
num__ed_admission_with_smi_flag,41
num__late_order_severity_x_low_aftercare_score,39
num__systolic_bp_noninvasive_vital_mean_value,39
num__late_discharge_admin_orders_last_6h,39
num__sodium_lab_count,39
num__systolic_bp_noninvasive_vital_value_range,39
num__late_orders_and_psych_facility_discharge_flag,38
num__admitted_from_emergency_transfer_flag,38
num__late_discharge_hour_with_no_followup_flag,38
num__late_followup_aftercare_order_share_last_12h,37
num__mean_bp_noninvasive_72h_std,37
num__mean_bp_arterial_vital_last_value,37
num__has_alcohol_related_disorder,36
num__systolic_bp_noninvasive_vital_min_value,36
num__num_hcpcs_events,36
num__previous_total_admissions_60d,36
num__late_routine_care_orders_last_6h,35
num__substance_use_without_followup_or_withdrawal_plan_flag,35
num__heart_rate_vital_value_range,35
num__num_outputevents,35
num__discharged_home_with_services_flag,34
num__quiet_medical_frailty_low_psych_history_score,34
num__systolic_bp_arterial_vital_first_value,34
num__previous_icu_admissions,34
num__previous_ed_visits_60d,34
num__care_team_touchpoints_last_24h_before_discharge,33
num__previous_psych_admissions,33
num__previous_bmi_before_admission_filled,33
num__respiratory_rate_vital_rate_of_change_per_day,33
num__elixhauser_chronic_pulmonary,33
num__had_one_hr_max_order,33
cat__psych_diagnosis_burden_category_3-4 diagnoses,33
num__previous_admission_had_late_safety_orders,32
num__late_routine_care_orders_last_12h,32
num__heart_rate_vital_min_value,32
num__has_substance_use,32
cat__last_service_NMED,31
num__weight_change_recent_filled,31
num__has_cognitive_delirium,31
num__has_dementia,31
num__followup_order_last_48h_before_discharge,31
num__aftercare_quality_score,31
num__systolic_bp_noninvasive_vital_value_change,31
num__num_observation_safety_orders,31
num__latest_height_cm_before_admission_filled,30
num__weekend_or_friday_discharge_with_no_followup_flag,30
num__num_discontinued_orders,30
cat__drg_severity_category_Minor,30
num__respiratory_rate_vital_last_value,30
num__home_discharge_without_followup_order_flag,29
cat__psych_diagnosis_burden_category_2 diagnoses,29
num__num_pain_chart_events,29
num__num_cam_delirium_chart_events,28
cat__nonpsych_diagnosis_burden_category_6-10,28
num__mean_bp_noninvasive_vital_value_range,28
num__had_antidepressant,28
num__safety_orders_last_24h_before_discharge,28
num__has_other_psych_diagnosis,28
cat__discharge_location_grouped_Facility / rehab / long-term care,28
num__previous_ed_visits_90d,28
cat__psych_medication_burden_category_1 class,27
cat__last_service_MED,27
num__spo2_72h_mean,27
num__pain_max_score,27
num__late_admin_aftercare_order_count_last_12h,27
cat__discharge_season_winter,27
num__num_positive_blood_culture,27
num__num_oral_pharmacy_orders,26
num__num_followup_referral_orders,26
cat__insurance_Private,26
num__late_admin_to_total_late_order_ratio,26
num__smi_without_followup_order_flag,26
num__has_opioid_related_disorder,26
num__heart_rate_vital_max_value,26
num__had_discharge_planning_order,26
num__systolic_bp_arterial_vital_value_range,26
num__elixhauser_fluid_electrolyte,26
num__hypotension_72h_hour_percentage,26
num__respiratory_rate_vital_first_value,26
cat__discharge_season_autumn,26
cat__first_service_MED,26
num__psychotropic_orders_last_24h_before_discharge,25
num__late_lab_activity_without_followup_flag,25
num__late_medication_orders_and_psychotropic_change_flag,25
num__substance_use_x_benzodiazepine,25
num__had_central_line_procedure,25
num__heart_rate_vital_value_change,25
num__respiratory_rate_vital_relative_range,25
num__elixhauser_peripheral_vascular,25
num__mean_bp_noninvasive_vital_last_value,25
num__self_harm_recurrent_flag,25
num__num_rass_sedation_chart_events,24
num__spo2_72h_std,24
cat__first_service_OMED,24
num__late_discharge_hour_with_late_orders_flag,24
num__discontinued_orders_last_24h_before_discharge,24
num__systolic_bp_noninvasive_vital_relative_range,24
num__emar_psychotropic_not_given_count,23
num__smi_x_antipsychotic_polypharmacy,23
num__elixhauser_congestive_heart_failure,23
num__num_oxygen_support_chart_events,23
num__previous_nonpsych_admissions_365d,23
num__previous_admission_had_safety_order,23
num__heart_rate_vital_mean_value,23
num__had_outpatient_followup_order,23
num__num_inputevent_rate_changes,23
num__previous_admission_had_late_lab_orders,23
num__new_smi_this_admission_flag,23
num__psych_diagnosis_group_count_increased_from_previous_flag,22
num__respiratory_rate_vital_value_change,22
num__poe_order_density_first_72h,22
cat__anchor_year_group_2020 - 2022,22
num__discontinued_orders_last_12h_before_discharge,21
cat__admission_location_CLINIC REFERRAL,21
num__bmi_change_recent_filled,21
num__spo2_72h_observed_hours,21
num__has_severe_mental_illness,21
num__care_team_touchpoints_after_72h,21
num__systolic_bp_arterial_vital_value_change,21
num__heart_rate_vital_relative_range,21
cat__discharge_season_summer,20
num__has_liver_disease,20
num__late_psych_safety_order_share_last_12h,20
num__systolic_bp_arterial_vital_max_value,20
num__late_order_type_diversity_x_low_aftercare_flag,20
num__num_datetimeevents,20
num__hcpcs_observation_to_total_ratio,20
num__prior_psych_90d_x_substance_use,20
num__mean_bp_noninvasive_vital_first_value,19
num__tachycardia_72h_hour_percentage,19
cat__drg_mortality_category_Minor,19
num__num_med_orders_with_duration,19
num__previous_nonpsych_admissions_180d,19
num__night_admission,19
num__discharged_home_flag,19
num__emar_delayed_administration_count,19
num__previous_height_cm_before_admission_filled,19
num__age_65plus_x_elixhauser_group_count,19
num__had_benzodiazepine,18
num__elixhauser_rheumatoid_collagen,18
num__mean_bp_noninvasive_vital_max_value,18
num__elixhauser_diabetes_uncomplicated,18
num__elixhauser_hypertension,18
num__had_benzodiazepine_order,18
num__had_prn_benzodiazepine,18
num__has_self_harm_or_suicidal_ideation,18
num__elixhauser_coagulopathy,18
num__vital_72h_mean_instability_score,17
num__respiratory_rate_vital_min_value,17
cat__first_service_NMED,17
num__elixhauser_other_neurological,17
num__spo2_vital_value_change,17
num__previous_ed_visits_14d,17
num__vital_72h_longest_abnormal_run_hours,17
num__no_recent_psych_history_and_discharge_to_facility,17
num__transfer_admission_with_psych_history_flag,17
num__late_medication_change_without_discharge_med_plan_flag,17
num__quiet_prior_psych_low_activity_score,17
cat__service_transfer_category_1 transfer,16
cat__marital_status_SINGLE,16
num__no_recent_psych_history_and_high_charlson,16
num__had_lockout_interval_order,16
num__spo2_vital_first_value,16
num__spo2_vital_relative_range,16
num__num_social_work_case_management_orders,16
num__vital_72h_abnormal_window_percentage,16
num__late_consult_orders_last_6h,16
num__night_discharge_flag,15
num__bipolar_without_mood_stabiliser_continuity_flag,15
cat__discharge_location_grouped_Unknown / not modelled,15
num__previous_admission_had_discharge_planning_order,15
num__safety_orders_first_72h,15
num__mean_bp_arterial_vital_value_range,15
num__spo2_vital_last_value,15
num__days_since_latest_body_measure_missing,15
num__respiratory_rate_vital_max_value,15
num__glucose_lab_first_24h_count,15
num__sodium_lab_abnormal,15
cat__drg_severity_category_Major,14
num__low_order_activity_with_psychosis_flag,14
cat__time_since_previous_psych_category_31-90 days,14
num__elixhauser_metastatic_cancer,14
num__ed_admission_with_self_harm_flag,14
num__low_psych_marker_medical_instability_flag,13
cat__last_service_VSURG,13
num__quiet_self_harm_low_activity_score,13
num__mean_bp_arterial_vital_first_value,13
num__admitted_from_hospital_transfer_flag,13
num__mean_bp_noninvasive_vital_value_change,13
num__vital_72h_abnormal_window_count,13
num__prior_psych_365d_x_self_harm,13
num__max_oxygen_flow_rate,13
num__vital_72h_hourly_rows,13
num__late_psych_safety_orders_last_12h,12
num__previous_psych_admissions_14d,12
num__late_medication_change_home_discharge_flag,12
num__previous_admission_had_home_discharge_no_followup,12
num__discharged_to_snf_flag,12
num__month_end_discharge_flag,12
num__previous_icu_admissions_365d,12
num__discharged_to_acute_hospital_flag,12
num__discharged_to_psych_facility_or_transfer_flag,12
num__mean_bp_arterial_vital_rate_of_change_per_day,12
num__mean_bp_arterial_vital_relative_range,12
num__elixhauser_hypothyroidism,12
cat__first_service_SURG,11
num__had_mood_stabiliser_order,11
num__psychosis_without_followup_order_flag,11
num__previous_psych_admissions_30d,11
num__icu_event_interruption_score,11
num__had_basal_rate_order,11
num__substance_use_and_withdrawal_treatment_flag,11
num__psych_related_order_proportion,11
num__num_icu_procedure_events,11
num__late_lab_orders_last_12h,11
num__num_stopped_inputevents,11
num__discharged_to_facility_flag,11
num__spo2_72h_max,10
num__safety_orders_first_24h,10
num__systolic_bp_arterial_vital_last_value,10
num__elixhauser_lymphoma,10
num__prior_psych_365d_x_smi,10
num__elixhauser_weight_loss,10
num__emergency_admission_with_recent_psych_history_flag,10
num__depression_on_current_and_previous_admission_flag,10
num__had_social_work_case_management_order,10
num__facility_discharge_with_discharge_planning_flag,10
num__previous_nonpsych_admissions_90d,9
num__mean_bp_arterial_vital_max_value,9
num__home_discharge_with_discharge_planning_order_flag,9
num__home_discharge_without_medication_or_followup_plan_flag,9
num__discharged_to_rehab_flag,9
num__medical_complexity_no_aftercare_flag,9
num__depression_and_substance_use_flag,9
num__num_gcs_chart_events,9
num__safety_order_and_self_harm_flag,9
num__previous_nonpsych_admissions_60d,9
num__mostly_psych_readmission_pattern_flag,9
num__older_medical_complexity_home_discharge_flag,9
cat__first_service_NSURG,9
num__respiratory_rate_vital_value_range,9
num__self_harm_without_aftercare_or_safety_plan_flag,9
num__had_steroid_exposure,9
num__admissions_per_365d,8
num__medical_to_psych_service_transfer,8
num__previous_height_cm_before_admission_missing,8
num__antidepressant_antipsychotic_combination,8
num__severe_mental_illness_x_antipsychotic,8
num__elixhauser_drug_abuse,8
num__emar_complete_dose_not_given_rate,8
cat__gender_M,8
cat__psych_medication_burden_category_2 classes,8
num__num_change_dose_rate_inputevents,8
num__mean_bp_arterial_vital_mean_value,8
cat__discharge_season_spring,8
cat__nonpsych_diagnosis_burden_category_1-5,8
num__systolic_bp_arterial_vital_min_value,8
num__previous_discharge_to_facility_flag,8
num__num_iv_route_pharmacy_orders,8
num__no_late_orders_but_self_harm_flag,8
