csv_path,sheet_name,rows,columns,rows_written,note
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_04_512-256-64_wd0p0003_bs2048_test_predictions.csv,wd0p0003_bs2048_test_prediction,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_04_512-256-64_wd0p0003_bs2048_training_history.csv,wd0p0003_bs2048_training_histor,15,9,15,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_04_512-256-64_wd0p0003_bs2048_validation_threshold_search.csv,bs2048_validation_threshold_s_1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_05_256-64_wd0p0001_bs2048_performance.csv,64_wd0p0001_bs2048_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_05_256-64_wd0p0001_bs2048_test_predictions.csv,wd0p0001_bs2048_test_prediction,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_05_256-64_wd0p0001_bs2048_training_history.csv,wd0p0001_bs2048_training_histor,14,9,14,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_05_256-64_wd0p0001_bs2048_validation_threshold_search.csv,bs2048_validation_threshold_s_2,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_06_384-192-64_wd0p0001_bs512_performance.csv,64_wd0p0001_bs512_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_06_384-192-64_wd0p0001_bs512_test_predictions.csv,wd0p0001_bs512_test_predictio_1,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_06_384-192-64_wd0p0001_bs512_training_history.csv,wd0p0001_bs512_training_histo_1,10,9,10,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_06_384-192-64_wd0p0001_bs512_validation_threshold_search.csv,bs512_validation_threshold_se_1,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_07_384-96_wd0p0003_bs2048_performance.csv,96_wd0p0003_bs2048_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_07_384-96_wd0p0003_bs2048_test_predictions.csv,wd0p0003_bs2048_test_predicti_1,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_07_384-96_wd0p0003_bs2048_training_history.csv,wd0p0003_bs2048_training_hist_1,13,9,13,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_07_384-96_wd0p0003_bs2048_validation_threshold_search.csv,bs2048_validation_threshold_s_3,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_08_384-96_wd0p001_bs512_performance.csv,96_wd0p001_bs512_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_08_384-96_wd0p001_bs512_test_predictions.csv,wd0p001_bs512_test_predictions,47171,15,47171,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_08_384-96_wd0p001_bs512_training_history.csv,wd0p001_bs512_training_history,11,9,11,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_08_384-96_wd0p001_bs512_validation_threshold_search.csv,bs512_validation_threshold_se_2,99,7,99,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_09_512-128_wd0p001_bs512_performance.csv,128_wd0p001_bs512_performance,3,20,3,complete
/scratch/DissProject/outputs/WP3_5/csv_tables/t3_5_pytorch_mlp_mlp_screen_09_512-128_wd0p001_bs512_test_predictions.csv,wd0p001_bs512_test_prediction_1,47171,15,47171,complete
