processed_feature_name,feature_importance
cat__last_careunit_before_discharge_UNKNOWN,0.0
num__num_dosing_by_pharmacy_orders,0.0
num__num_unverified_pharmacy_orders,0.0
num__emar_had_iv_administration,0.0
num__num_paused_procedureevents,0.0
num__psych_facility_discharge_and_safety_orders_flag,0.0
num__late_psych_safety_home_discharge_flag,7.13076300965801e-19
num__self_harm_and_late_safety_order_flag,5.199762081073195e-07
cat__discharge_location_OTHER FACILITY,7.202020938173954e-07
num__late_orders_and_psych_facility_discharge_flag,1.3420667180694088e-06
num__had_substance_use_followup_order,1.7818780876113793e-06
num__tachycardia_last_24h_before_discharge_flag,2.6110391017315543e-06
num__late_social_work_or_case_management_orders_last_6h,2.735493287620666e-06
num__late_orders_but_psych_facility_discharge_flag,3.0017648953447852e-06
num__num_discharge_med_proc_type_orders,3.0605499767433843e-06
num__hypotension_last_24h_before_discharge_flag,5.389988759235667e-06
num__previous_admission_had_psych_facility_discharge,5.866972290201765e-06
num__had_long_acting_injectable_antipsychotic,6.696752502184049e-06
num__num_stopped_procedureevents,7.085611369621201e-06
num__late_social_work_or_case_management_orders_last_12h,9.082473619817373e-06
num__spo2_low_last_24h_before_discharge_flag,9.200035306989196e-06
num__previous_icu_admissions_7d,1.125912967088751e-05
num__recent_icu_admission_7d_flag,1.2078041509672822e-05
num__new_orders_last_24h_before_discharge_flag,1.2454666140088616e-05
num__polypharmacy_5plus,1.3049872530582172e-05
num__previous_nonpsych_admissions_7d,1.4032162315633535e-05
num__late_order_discontinuation_share,1.4666094098562541e-05
num__emar_complete_dose_not_given_flag,1.501936405681145e-05
num__num_psych_related_poe_orders,1.5062416279464271e-05
cat__last_service_TRAUM,1.50965578990201e-05
cat__race_UNABLE TO OBTAIN,1.7411551941605525e-05
num__recent_icu_admission_14d_flag,1.88126294700031e-05
cat__admission_location_CLINIC REFERRAL,1.902234568761238e-05
num__late_safety_order_flag,1.9708506085415537e-05
num__psychosis_with_late_safety_order_flag,1.981069533012643e-05
num__previous_nonpsych_admissions_14d,1.9959017302487256e-05
num__antipsychotic_polypharmacy_3plus,2.041807204416044e-05
num__emar_complete_dose_not_given_count,2.062746316694761e-05
num__previous_admission_within_27_33d_flag,2.1577304242739163e-05
num__previous_icu_admissions_30d,2.2136548615537344e-05
num__late_activity_with_low_aftercare_quality_flag,2.2287465310712014e-05
num__holiday_period_discharge_flag,2.24649496554018e-05
num__respiratory_culture_positive,2.2585041826989437e-05
num__psychosis_home_discharge_no_followup_flag,2.2704890530602895e-05
num__discharged_to_residential_care_flag,2.2708439789952445e-05
