processed_feature_name,model_family,model_name,model_mean_abs_shap,model_mean_signed_shap
num__has_cognitive_delirium,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00089237962393096,0.00011707456428691499
num__has_depression,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.026539571420243935,0.0038633022883787092
num__has_eating_disorder,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__has_neurodevelopmental_disorder,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__has_other_psych_diagnosis,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00014550426814266,4.2732641487731624e-05
num__has_personality_disorder,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00022130778822827048,2.115730635511319e-05
num__has_psychotic_disorder,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00026052450401677844,7.986548442237034e-05
num__has_substance_use,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0014760182124977546,0.00014230528833086142
num__num_prescription_rows,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0033467498970103024,-0.0001884608924934516
num__num_unique_drugs,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0014673179836036424,-0.00017888115209033656
num__had_antidepressant,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001936221764494055,2.4014459433489205e-05
num__had_antipsychotic,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.000871710847810813,0.00017643759837660366
num__had_mood_stabiliser,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,6.350762351708248e-05,2.406572717272852e-07
num__had_benzodiazepine,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0007548588481098395,-4.1712862987727174e-05
num__had_stimulant,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__had_sedative_hypnotic,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,3.082363788195784e-05,6.556021409588946e-06
num__num_psych_med_classes,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00260283271837658,4.6839559408179904e-05
num__creatinine_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0008446004145636877,9.230131191419358e-05
num__glucose_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00011272241829201026,-4.1699424130372494e-05
num__hemoglobin_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0027665450255064455,-0.00011854606396645628
num__platelet_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,8.232067662997014e-05,-6.389127802158666e-06
num__potassium_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__sodium_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0035078236441034656,-0.00030338828649376147
num__urea_nitrogen_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__wbc_lab_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00011047431634152838,6.063062179911473e-05
num__creatinine_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0006490832335220845,0.00029056855809141884
num__glucose_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0010136428797762208,-0.0004578454377450144
num__hemoglobin_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0009012072610135987,-0.00029320331438416553
num__platelet_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00046833436524609383,-4.574181627670344e-05
num__potassium_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00044868194636181355,-0.00012292638590389479
num__sodium_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001610561018075781,0.0003570084748436326
num__urea_nitrogen_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0006775671870037732,-0.00023215443008926998
num__wbc_lab_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0008864876741338957,-0.00032794609447259833
num__creatinine_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0001254309862033779,-5.7333197838951945e-06
num__glucose_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0013048507325394542,-7.269379554562028e-05
num__hemoglobin_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0009006416446030021,-0.00017989660440514543
num__platelet_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.00022970815527617678,-1.535280779112054e-05
num__potassium_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001301005179437314,0.00024923492776998847
num__sodium_lab_first_24h_count,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0005823236374900957,-1.918774719486726e-05
