processed_feature_name,feature_name_clean,feature_family,importance_rank,mean_abs_shap,mean_signed_shap,nonzero_train_percent,selection_reason
num__late_orders_and_psych_facility_discharge_flag,late_orders_and_psych_facility_discharge_flag,psychiatric_history,300,0.0029717090112423737,-0.0003620511967872838,100.0,top_global_shap
num__wbc_lab_first_value,wbc_lab_first_value,lab_vital_hourly,301,0.0029659008237154965,5.0116836180587315e-05,33.56000418147606,top_global_shap
num__emar_missed_or_not_given_count_first_24h,emar_missed_or_not_given_count_first_24h,medication_emar_pharmacy,302,0.0029625487621248846,0.00032436387736456895,100.0,top_global_shap
num__sodium_lab_first_24h_mean,sodium_lab_first_24h_mean,lab_vital_hourly,303,0.0029587987478203602,-0.00014017690915938915,0.13223918043069202,top_global_shap
cat__drg_mortality_category_Minor,drg_mortality_category_Minor,medical_comorbidity,304,0.002955831345974189,0.00017774854710472836,100.0,top_global_shap
num__tachycardia_72h_hour_percentage,tachycardia_72h_hour_percentage,demographic_admin,305,0.002939539643780713,0.0004397758074799846,0.003658791553418357,top_global_shap
num__sodium_lab_mean_value,sodium_lab_mean_value,lab_vital_hourly,306,0.002930469711715399,-0.0002272847718473305,0.19077984528538572,top_global_shap
num__num_orders_first_12h,num_orders_first_12h,poe_late_order_pathway,307,0.0029276684150743087,0.0005865986525213737,100.0,top_global_shap
num__max_previous_los_days_filled,max_previous_los_days_filled,prior_utilisation,308,0.0029145033946713058,-0.00043690636157647637,100.0,top_global_shap
num__spo2_vital_mean_value,spo2_vital_mean_value,lab_vital_hourly,309,0.002900468551175789,0.00020526382843273505,2.6202174367551745,top_global_shap
num__admission_frequency_acceleration,admission_frequency_acceleration,other,310,0.0028985106905963934,0.00012509858921491834,100.0,top_global_shap
num__urea_nitrogen_lab_last_to_first_ratio,urea_nitrogen_lab_last_to_first_ratio,lab_vital_hourly,311,0.0028984143576102836,-0.0001743663337215654,20.31883754965503,top_global_shap
cat__anchor_year_group_2020 - 2022,anchor_year_group_2020 - 2022,other,312,0.0028936625803597494,-0.0001397135645669751,100.0,top_global_shap
num__potassium_lab_value_change,potassium_lab_value_change,lab_vital_hourly,313,0.0028816791687710543,0.0004825981667559172,100.0,top_global_shap
num__hemoglobin_lab_std_value,hemoglobin_lab_std_value,lab_vital_hourly,314,0.002880244701883617,0.00016522618630255352,100.0,top_global_shap
num__platelet_lab_mean_value,platelet_lab_mean_value,lab_vital_hourly,315,0.0028787022953186527,0.0002369940441537064,100.0,top_global_shap
num__night_discharge,night_discharge,discharge_aftercare,316,0.002869902327338321,0.0006849373200822862,100.0,top_global_shap
num__previous_weight_kg_before_admission,previous_weight_kg_before_admission,prior_utilisation,317,0.0028621604697512274,0.00036985230298899603,100.0,top_global_shap
