processed_feature_name,mean_abs_shap,max_abs_shap,mean_signed_shap,shap_model_count,feature_name_clean,feature_family,nonzero_train_percent,importance_rank
num__systolic_bp_arterial_72h_max,0.0008523511061702626,0.0010992839819335852,7.496595596243753e-05,2,systolic_bp_arterial_72h_max,lab_vital_hourly,0.003658791553418357,653
num__num_lab_value_missing_indicators,0.0008496164715780673,0.0011675299610942602,-0.0002893157217865361,2,num_lab_value_missing_indicators,lab_vital_hourly,100.0,654
num__electrolyte_abnormality_count,0.0008422929145059312,0.0009693987667560577,-0.00010916321136249165,2,electrolyte_abnormality_count,other,100.0,655
num__transfer_admission_with_psych_history_flag,0.0008384165090571563,0.0009640546631999314,0.00010881537010390187,2,transfer_admission_with_psych_history_flag,psychiatric_history,1.3652519339326783,656
num__late_followup_or_aftercare_orders_last_6h,0.0008375436719451795,0.0011829001596197486,5.051994901944377e-05,2,late_followup_or_aftercare_orders_last_6h,discharge_aftercare,100.0,657
cat__last_service_ORTHO,0.0008308685355407994,0.0012913754908367991,5.283178103639724e-05,2,last_service_ORTHO,demographic_admin,100.0,658
num__new_safety_order_last_24h_before_discharge_flag,0.0008293117321564446,0.0010060179130179068,0.0005294617116296334,2,new_safety_order_last_24h_before_discharge_flag,discharge_aftercare,100.0,659
num__creatinine_lab_value_range,0.0008217687278780585,0.0009509520889780413,6.57085847180148e-05,2,creatinine_lab_value_range,lab_vital_hourly,100.0,660
num__discontinued_orders_last_24h_before_discharge,0.0008199776999451578,0.0008985460874222934,-2.62055609457498e-05,2,discontinued_orders_last_24h_before_discharge,discharge_aftercare,100.0,661
num__late_routine_care_orders_last_12h,0.0008184146086156613,0.001186175039038062,2.7425464491110948e-05,2,late_routine_care_orders_last_12h,poe_late_order_pathway,100.0,662
num__depression_and_previous_psych_365d,0.0008151912467078012,0.0010814197594299912,2.1862516844174807e-05,2,depression_and_previous_psych_365d,prior_utilisation,100.0,663
num__hemoglobin_lab_count,0.0008138250225422836,0.0009012072610135987,-0.000284581243917206,2,hemoglobin_lab_count,lab_vital_hourly,100.0,664
num__late_orders_but_psych_facility_discharge_flag,0.0008135356909740105,0.0009873092928259343,-8.310245654048511e-05,2,late_orders_but_psych_facility_discharge_flag,psychiatric_history,100.0,665
num__num_inputevent_rate_changes,0.0008007756050913007,0.0012048501685735526,-0.00013805674643604764,2,num_inputevent_rate_changes,icu_care,100.0,666
num__psychotropic_orders_last_48h_before_discharge,0.0007993862657903336,0.0010192354062763258,2.228100538631733e-05,2,psychotropic_orders_last_48h_before_discharge,psychiatric_history,100.0,667
cat__marital_status_MARRIED,0.0007923542344529119,0.0012931969360552604,6.1019003494120595e-05,2,marital_status_MARRIED,demographic_admin,100.0,668
num__tachypnoea_72h_hour_percentage,0.000791274095868789,0.000993821187876165,-0.00034495101643587666,2,tachypnoea_72h_hour_percentage,demographic_admin,1.7264269287058331,669
