threshold,precision,recall_sensitivity,precision_recall_gap,f1_score,youden_index,sensitivity,specificity
0.01,0.19973221317931217,1.0,0.8002677868206878,0.33296132417753155,0.005675850235841384,1.0,0.0056758502358413634
0.02,0.20164864291772688,1.0,0.7983513570822731,0.33561997361908247,0.017484228312706795,1.0,0.01748422831270673
0.03,0.20255489999787002,1.0,0.79744510000213,0.3368742666105785,0.022990455438051782,1.0,0.02299045543805168
0.04,0.20337904670248885,1.0,0.7966209532975111,0.3380132756337916,0.027955193402965817,1.0,0.027955193402965796
0.05,0.2042197943789762,1.0,0.7957802056210238,0.33917362151366004,0.032978647059974886,1.0,0.03297864705997482
0.060000000000000005,0.20501336610184107,1.0,0.7949866338981589,0.34026737274300817,0.03768242639335595,1.0,0.03768242639335599
0.06999999999999999,0.20599496358073163,0.999973711191146,0.7939787476104143,0.3416167476447502,0.04344941920453316,0.999973711191146,0.043475708013387175
0.08,0.20689617658737713,0.9999211335734378,0.7930249569860607,0.3428519920677844,0.048694301806943674,0.9999211335734378,0.04877316823350578
0.09,0.2078220104686868,0.9999211335734378,0.792099123104751,0.3441222106115507,0.054037429787580527,0.9999211335734378,0.054116296214142656
0.09999999999999999,0.20881141916003293,0.9998948447645837,0.7910834256045507,0.3454759320402018,0.05969351518035593,0.9998948447645837,0.05979867041577234
0.11,0.20981729114259234,0.9998685559557297,0.7900512648131373,0.3468499072093967,0.06538874436786157,0.9998685559557297,0.06552018841213196
0.12,0.21103157427445757,0.9997634007203133,0.7887318264458558,0.348501024059675,0.07218594493649144,0.9997634007203133,0.07242254421617814
0.13,0.21262021919033774,0.999631956676043,0.7870117374857053,0.35065635677036505,0.08095971419328252,0.999631956676043,0.08132775751723959
0.14,0.21462847335915183,0.9994479350140645,0.7848194616549127,0.35337147318669165,0.09185991040566543,0.9994479350140645,0.09241197539160105
0.15000000000000002,0.21710612769604343,0.9989484476458371,0.7818423199497937,0.35669094732099277,0.10499551153503406,0.9989484476458371,0.10604706388919696
0.16,0.22018327340215751,0.9980283393359447,0.7778450659337872,0.3607733572809906,0.12084199530113282,0.9980283393359447,0.12281365596518812
0.17,0.22349757702239043,0.996635032466679,0.7731374554442885,0.3651168949991573,0.13733087865766147,0.996635032466679,0.14069584619098258
0.18000000000000002,0.22735355962751577,0.9948473934646022,0.7674938338370864,0.3701225982815702,0.15581972532569388,0.9948473934646022,0.16097233186109172
0.19,0.23192774782961062,0.9930597544625253,0.7611320066329146,0.3760334074947863,0.17691815830905555,0.9930597544625253,0.18385840384653024
0.2,0.23703358678684727,0.989983963826599,0.7529503770397518,0.3824875197424217,0.19918797476076566,0.989983963826599,0.20920401093416666
0.21000000000000002,0.24248594143882102,0.9862246641604668,0.7437387227216459,0.3892627199103497,0.22164849359790528,0.9862246641604668,0.23542382943743842
0.22,0.24835163374365246,0.9822813428323562,0.7339297090887038,0.39646455268421305,0.24450562372822726,0.9822813428323562,0.26222428089587096
0.23,0.25453824161092187,0.9783117326953916,0.7237734910844698,0.4039708859591513,0.2672777493576002,0.9783117326953916,0.2889660166622086
0.24000000000000002,0.2608395256694068,0.9726333499829123,0.7117938243135055,0.41136084411360846,0.2886346808719331,0.9726333499829123,0.3160013308890208
0.25,0.2674760987313243,0.9671652777412656,0.6996891790099413,0.4190586841625661,0.3098431047387409,0.9671652777412656,0.34267782699747523
0.26,0.27438864350473563,0.9619075159704514,0.6875188724657157,0.42697940369916565,0.3306420623264903,0.9619075159704514,0.3687345463560389
0.27,0.28174034326449965,0.9558610899340151,0.6741207466695154,0.43520413659377355,0.351122081185377,0.9558610899340151,0.3952609912513619
0.28,0.28944923264233763,0.9499723967507032,0.6605231641083655,0.44370499069884517,0.37124443960011044,0.9499723967507032,0.4212720428494073
0.29000000000000004,0.2971326402225018,0.9436630826257262,0.6465304424032243,0.45195691451522535,0.3897000996076092,0.9436630826257262,0.44603701698188297
0.3,0.3049441376653397,0.9363810825731486,0.6314369449078089,0.46006303117976804,0.40672639608232464,0.9363810825731486,0.47034531350917597
0.31,0.3129490984804855,0.9285470175346355,0.6155979190541501,0.46812543073742247,0.42265261444488544,0.9285470175346355,0.4941055969102498
0.32,0.3214646325567733,0.9206603748784142,0.599195742321641,0.4765377837951844,0.43840229983975965,0.9206603748784142,0.5177419249613455
0.33,0.32992912922042145,0.9129840426930256,0.5830549134726042,0.48470003698508735,0.45282916374521065,0.9129840426930256,0.5398451210521852
0.34,0.3384227675890651,0.9037566707852467,0.5653339031961816,0.4924438842016301,0.4653135499809722,0.9037566707852467,0.5615568791957255
0.35000000000000003,0.34705888352831976,0.8945030100686138,0.5474441265402941,0.5000881834215167,0.47687134012909094,0.8945030100686138,0.5823683300604772
0.36000000000000004,0.35576018353085453,0.8846447067483373,0.5288845232174828,0.5074494073649607,0.4870872795394856,0.8846447067483373,0.6024425727911483
0.37,0.364596688473213,0.8746812481926444,0.5100845597194313,0.5146640267293652,0.49638909195671177,0.8746812481926444,0.6217078437640673
0.38,0.3740504889697521,0.8647440784458056,0.49069358947605346,0.5222140197969503,0.5056258576617554,0.8647440784458056,0.6408817792159498
0.39,0.38374712508108744,0.8553326848760483,0.47158555979496086,0.5297987364033088,0.5144619964019386,0.8553326848760483,0.6591293115258904
0.4,0.39357847577545474,0.8452640710849392,0.45168559530948443,0.5370783326234204,0.5220602819656093,0.8452640710849392,0.6767962108806701
0.41000000000000003,0.40331905917633454,0.8344067930282079,0.4310877338518733,0.5437911184210527,0.5280609315059057,0.8344067930282079,0.6936541384776979
0.42000000000000004,0.41353363607561516,0.8235232261626225,0.40998959008700736,0.5505883593605821,0.5336895220505669,0.8235232261626225,0.7101662958879443
0.43,0.42365721182860594,0.8120087278845396,0.38835151605593365,0.5568064030573157,0.5378716854591901,0.8120087278845396,0.7258629575746505
0.44,0.43442412484665205,0.8005993848418728,0.3661752599952207,0.5632276379911412,0.5419371892664264,0.8005993848418728,0.7413378044245535
0.45,0.4453028659723357,0.7879281789742106,0.34262531300187493,0.5690201811174606,0.5443559162671563,0.7879281789742106,0.7564277372929457
0.46,0.45550942289586194,0.775835326901338,0.3203259040054761,0.5740070797837165,0.5456893857866532,0.775835326901338,0.7698540588853152
0.47000000000000003,0.46622848602696576,0.7626909224743027,0.29646243644733694,0.5787006562543634,0.5459973988151408,0.7626909224743027,0.783306476340838
0.48000000000000004,0.47731610138279706,0.7495465180472672,0.2722304166644702,0.5832284986652757,0.545855258204234,0.7495465180472672,0.7963087401569666
0.49,0.4886040134830676,0.7354557165014853,0.24685170301841775,0.5871390194761585,0.5444274742535877,0.7354557165014853,0.8089717577521024
0.5,0.5002001674127452,0.7226267777806987,0.22242661036795353,0.5911842826879442,0.5434395334386082,0.7226267777806987,0.8208127556579093
0.51,0.5119685398381397,0.7084571098083546,0.1964885699702149,0.5943954916902853,0.5408629526721147,0.7084571098083546,0.8324058428637601
0.52,0.5231301939058172,0.6950498172927785,0.17191962338696132,0.5969586470833945,0.537815717828396,0.6950498172927785,0.8427659005356176
0.53,0.5343404325573716,0.6806698388496017,0.14632940629223012,0.5986935661020868,0.5334630748018725,0.6806698388496017,0.8527932359522706
0.54,0.5462559813769022,0.6662372827887169,0.11998130141181462,0.6003103052124169,0.5289012789787209,0.6662372827887169,0.862663996190004
0.55,0.5571669098664273,0.6524619469491837,0.09529503708275644,0.6010607381575124,0.5237701978087161,0.6524619469491837,0.8713082508595325
0.56,0.56752264800206,0.637345881858093,0.06982323385603306,0.6004111047821887,0.5168156139188183,0.637345881858093,0.8794697320607251
0.5700000000000001,0.5787239233866048,0.6235442572097059,0.04482033382310102,0.6002986434500911,0.5109014639085139,0.6235442572097059,0.887357206698808
0.5800000000000001,0.5893856169260503,0.6092957228107995,0.019910105884749174,0.5991753163657045,0.5039532472267414,0.6092957228107995,0.8946575244159419
0.59,0.5998675496688741,0.5953100765004338,0.004557473168440351,0.5975801237646624,0.4967655732678087,0.5953100765004338,0.9014554967673749
0.6,0.6109578459501214,0.5821919608822524,0.028765885067868924,0.596228142205231,0.4901909953353156,0.5821919608822524,0.9079990344530633
0.61,0.6210411462371149,0.5686006467046978,0.05244049953241714,0.5936650838525512,0.48249734623040563,0.5686006467046978,0.9138966995257077
0.62,0.6320627601281552,0.5549304661005809,0.07713229402757427,0.5909905369841536,0.4747639744936629,0.5549304661005809,0.919833508393082
0.63,0.6431916089155273,0.5416546176292752,0.10153699128625204,0.5880724387424543,0.4670856886687387,0.5416546176292752,0.9254310710394634
0.64,0.6548609072823924,0.5278792817897421,0.12698162549265035,0.5845535792262234,0.4588361518519155,0.5278792817897421,0.9309568700621734
0.65,0.6664064356267608,0.5161281842319725,0.15027825139478834,0.5817185185185185,0.45201064846433003,0.5161281842319725,0.9358824642323575
0.66,0.6773440814594824,0.5036410000262888,0.17370308143319368,0.5777181369962154,0.4441032882420495,0.5036410000262888,0.9404622882157606
0.67,0.688294930875576,0.49081206130550226,0.19748286957007377,0.5730157755816094,0.435651930565228,0.49081206130550226,0.9448398692597256
0.68,0.6982901056676273,0.47774652330502904,0.22054358236259824,0.5673389110889111,0.42652034393511373,0.47774652330502904,0.9487738206300846
0.6900000000000001,0.7095375722543352,0.46468098530455587,0.24485658694977935,0.5615796413083192,0.4174735688602478,0.46468098530455587,0.9527925835556919
0.7000000000000001,0.7187970553789527,0.4517731801572071,0.2670238752217456,0.5548291281256558,0.40791255816230887,0.4517731801572071,0.9561393780051017
