model,threshold_role,threshold,true_negatives,false_positives,false_negatives,true_positives
XGBoost default threshold,default,0.5,30487,7365,3431,5888
XGBoost official balanced precision-recall threshold,official,0.59,33672,4180,4471,4848
XGBoost training Youden threshold,recall sensitivity,0.47000000000000003,29042,8810,3062,6257
XGBoost balanced precision-recall threshold,balanced precision-recall,0.59,33672,4180,4471,4848
XGBoost exploratory held-out F1 threshold,exploratory,0.59,33672,4180,4471,4848
