model,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc_average_precision,brier_score,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,train_inference_time_seconds,test_inference_time_seconds,test_inference_time_per_admission_ms
Regularised Random Forest default threshold,0.5,0.8045,0.701,0.505,0.5298,0.8721,0.5171,0.789,0.5798,0.1521,33012,4840,4382,4937,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest training F1 threshold,0.49,0.7998,0.703,0.4939,0.543,0.863,0.5173,0.789,0.5798,0.1521,32667,5185,4259,5060,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest training Youden threshold,0.43,0.7587,0.7113,0.4256,0.633,0.7896,0.509,0.789,0.5798,0.1521,29889,7963,3420,5899,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest balanced precision-recall threshold,0.53,0.8161,0.6916,0.5384,0.4858,0.8975,0.5107,0.789,0.5798,0.1521,33971,3881,4792,4527,879.3197,5.5291,1.2023,0.0255
Regularised Random Forest recall-oriented threshold,0.3,0.5919,0.6826,0.3049,0.8326,0.5327,0.4463,0.789,0.5798,0.1521,20163,17689,1560,7759,879.3197,5.5291,1.2023,0.0255
