mean_predicted_probability,observed_readmission_rate
0.1148,0.0265
0.1871,0.0602
0.2237,0.0787
0.2587,0.0941
0.296,0.1259
0.3417,0.1439
0.3963,0.1825
0.4629,0.2379
0.5735,0.3364
0.8285,0.6894
