model,threshold_role,threshold,selection_data,used_for_saved_predictions
Calibrated Targeted CatBoost,default,0.5,standard probability cut-off,False
Calibrated Targeted CatBoost,official,0.25,validation F1 threshold after sigmoid calibration,True
Calibrated Targeted CatBoost,recall sensitivity,0.18,validation Youden index after sigmoid calibration,False
Calibrated Targeted CatBoost,balanced precision-recall,0.25,validation threshold balancing precision and recall,True
Calibrated Targeted CatBoost,exploratory,0.25,held-out F1 sweep,False
