mean_predicted_probability,observed_readmission_rate
0.0634,0.0259
0.0745,0.0553
0.0832,0.0763
0.0932,0.1043
0.1061,0.1249
0.1232,0.1446
0.1495,0.1815
0.1989,0.2266
0.3249,0.3483
0.7196,0.6879
